ts,state,d_min_mm,v_mps,ttc_s,target_deg,reason
1760011365.511,SAFE,,0.0,,0,no_measure_keep
1760011365.811,BRAKE,129.04999999999998,0.0,129050.0,140,dist<600
1760011365.992,BRAKE,129.04999999999998,0.0,129050.0,140,tick
1760011366.173,BRAKE,129.04999999999998,0.0,129050.0,140,tick
1760011366.353,BRAKE,188.962,0.0,188962.0,140,tick
1760011366.535,BRAKE,193.1172,0.0,193117.2,140,tick
1760011366.715,BRAKE,196.15032,0.0,196150.32,140,tick
1760011366.896,BRAKE,196.1860768,0.0,196186.08,140,tick
1760011367.077,BRAKE,196.1860768,0.0,196186.08,140,tick
1760011367.258,BRAKE,179.029658432,0.0,179029.66,140,tick
1760011367.439,BRAKE,179.029658432,0.0,179029.66,140,tick
1760011367.620,BRAKE,186.14779505919998,0.0,186147.8,140,tick
1760011367.801,BRAKE,186.14779505919998,0.0,186147.8,140,tick
1760011367.982,BRAKE,194.5670824885248,0.0,194567.08,140,tick
1760011368.163,BRAKE,194.5670824885248,0.0,194567.08,140,tick
1760011368.344,BRAKE,480.04024949311486,0.0,480040.25,140,tick
1760011368.525,BRAKE,892.9241496958689,0.0,892924.15,140,tick
1760011369.211,SAFE,1116.2944898175213,0.0,1116294.49,0,brake_release_ok
1760011369.392,SAFE,1264.8766938905128,0.0,1264876.69,0,tick
1760011369.573,SAFE,1370.5260163343075,0.0,1370526.02,0,tick
1760011369.754,SAFE,1438.0556098005845,0.0,1438055.61,0,tick
1760011369.935,SAFE,1487.2533658803507,0.0,1487253.37,0,tick
1760011370.116,SAFE,1523.0520195282104,0.0,1523052.02,0,tick
1760011370.297,SAFE,1552.671211716926,0.0,1552671.21,0,tick
1760011370.478,SAFE,1572.1827270301555,0.0,1572182.73,0,tick
1760011370.659,SAFE,1585.8496362180933,0.0,1585849.64,0,tick
1760011370.840,SAFE,1595.079781730856,0.0,1595079.78,0,tick
1760011371.021,SAFE,1603.4378690385136,0.0,1603437.87,0,tick
1760011371.202,SAFE,1615.7027214231082,0.0,1615702.72,0,tick
1760011371.382,SAFE,1626.041632853865,0.0,1626041.63,0,tick
1760011371.563,SAFE,1630.4249797123189,0.0,1630424.98,0,tick
1760011371.745,SAFE,1632.0949878273914,0.0,1632094.99,0,tick
1760011371.925,SAFE,1632.8369926964347,0.0,1632836.99,0,tick
1760011372.106,SAFE,1632.8369926964347,0.0,1632836.99,0,tick
1760011372.287,SAFE,1619.4561269482865,0.0,1619456.13,0,tick
1760011372.468,SAFE,1585.8268782471444,0.0,1585826.88,0,tick
1760011372.649,SAFE,1405.8524507793147,0.0,1405852.45,0,tick
1760011372.830,SAFE,761.5709803117259,0.0,761570.98,0,tick
1760011373.016,BRAKE,379.2383921246904,0.0,379238.39,140,dist<600
1760011373.197,BRAKE,214.72535684987616,0.0,214725.36,140,tick
1760011373.378,BRAKE,149.67014273995045,0.0,149670.14,140,tick
