ts,state,d_min_mm,v_mps,ttc_s
1760272889.035,SAFE,,0.41,
1760272889.209,BRAKE,362.0,0.41,0.88
1760272889.369,BRAKE,369.0,0.41,0.9
1760272889.542,BRAKE,372.5,0.41,0.91
1760272889.718,BRAKE,372.5,0.41,0.91
1760272889.888,BRAKE,346.0,0.41,0.84
1760272890.067,CORNER,286.5,0.41,0.7
1760272890.242,BRAKE,240.0,0.41,0.59
1760272890.405,BRAKE,240.0,0.41,0.59
1760272890.568,BRAKE,255.5,0.41,0.62
1760272890.734,SAFE,270.0,0.0,0.0
1760272890.897,SAFE,289.0,0.0,0.0
1760272891.063,SAFE,289.0,0.0,0.0
1760272891.228,SAFE,274.5,0.0,0.0
1760272891.404,CORNER,258.75,0.0,0.0
1760272891.582,CORNER,251.5,0.0,0.0
1760272891.753,CORNER,170.0,0.0,0.0
1760272891.928,CORNER,170.0,0.0,0.0
1760272892.099,CORNER,202.0,0.0,0.0
1760272892.274,CORNER,248.75,0.0,0.0
1760272892.450,CORNER,3359.0,0.0,0.0
1760272892.635,SAFE,3387.5,0.0,0.0
1760272892.798,CORNER,3387.5,0.0,0.0
1760272892.972,CORNER,3348.0,0.0,0.0
1760272893.148,CORNER,3348.0,0.0,0.0
1760272893.331,CORNER,3397.0,0.0,0.0
1760272893.515,CORNER,3983.0,0.0,0.0
1760272893.697,CORNER,3983.0,0.0,0.0
1760272893.876,CORNER,225.0,0.0,0.0
1760272894.054,CORNER,217.5,0.0,0.0
1760272894.230,CORNER,192.5,0.0,0.0
1760272894.403,CORNER,186.0,0.0,0.0
1760272894.583,CORNER,185.0,0.0,0.0
1760272894.759,CORNER,180.75,0.82,0.22
1760272894.932,CORNER,180.75,0.82,0.22
1760272895.103,CORNER,186.75,0.82,0.23
1760272895.277,CORNER,186.75,0.82,0.23
1760272895.447,CORNER,184.0,0.82,0.22
1760272895.623,CORNER,159.5,0.82,0.19
1760272895.791,CORNER,159.5,0.0,0.0
1760272895.961,CORNER,151.75,0.0,0.0
1760272896.130,CORNER,151.0,0.0,0.0
1760272896.295,CORNER,151.75,0.0,0.0
1760272896.471,CORNER,152.0,0.0,0.0
1760272896.640,CORNER,159.5,0.0,0.0
1760272896.810,CORNER,169.5,0.82,0.21
1760272896.986,CORNER,169.5,0.82,0.21
1760272897.172,CORNER,169.5,0.82,0.21
1760272897.357,CORNER,156.5,0.82,0.19
1760272897.538,CORNER,145.0,0.82,0.18
1760272897.726,CORNER,145.0,0.0,0.0
1760272897.909,CORNER,173.0,0.0,0.0
1760272898.088,CORNER,252.0,0.0,0.0
1760272898.268,CORNER,252.0,0.0,0.0
1760272898.457,CORNER,1561.0,0.0,0.0
1760272898.632,CORNER,1488.0,0.0,0.0
1760272898.813,CORNER,1561.0,0.0,0.0
1760272898.991,CORNER,1965.0,0.0,0.0
1760272899.169,CORNER,1965.0,0.0,0.0
1760272899.350,CORNER,1850.0,0.0,0.0
1760272899.541,SAFE,1850.0,0.0,0.0
1760272899.714,SAFE,1910.5,0.0,0.0
1760272899.892,SAFE,1910.5,0.0,0.0
1760272900.075,SAFE,1844.5,0.0,0.0
1760272900.266,SAFE,1844.5,0.0,0.0
1760272900.447,SAFE,1868.0,0.0,0.0
1760272900.630,SAFE,1958.0,0.0,0.0
1760272900.813,SAFE,3382.5,0.82,4.12
1760272900.996,SAFE,3585.0,0.82,4.37
1760272901.177,SAFE,3382.5,0.82,4.12
1760272901.355,SAFE,1859.5,0.82,2.27
1760272901.531,SAFE,1842.5,0.82,2.25
1760272901.704,SAFE,1448.5,0.0,0.0
1760272901.882,SAFE,1448.5,0.0,0.0
1760272902.056,SAFE,1442.0,0.0,0.0
1760272902.239,SAFE,1298.5,0.0,0.0
1760272902.419,SAFE,1160.5,0.0,0.0
1760272902.600,SAFE,1160.5,0.0,0.0
1760272902.781,SAFE,1187.0,0.82,1.45
1760272902.961,SAFE,1500.5,0.82,1.83
1760272903.142,SAFE,1504.5,0.82,1.83
1760272903.323,SAFE,1569.0,0.82,1.91
1760272903.511,SAFE,1569.0,0.82,1.91
1760272903.689,SAFE,739.0,0.0,0.0
1760272903.875,SAFE,694.0,0.0,0.0
1760272904.056,SAFE,659.5,0.0,0.0
1760272904.239,SAFE,619.5,0.0,0.0
1760272904.422,SAFE,598.0,0.0,0.0
1760272904.600,SAFE,598.0,0.0,0.0
1760272904.776,SAFE,4991.5,0.0,0.0
1760272904.967,SAFE,4991.5,0.0,0.0
1760272905.153,SAFE,1500.5,0.0,0.0
1760272905.333,SAFE,1404.0,0.0,0.0
1760272905.519,SAFE,1340.5,0.0,0.0
1760272905.697,SAFE,1282.5,0.82,1.56
1760272905.873,SAFE,1252.5,0.82,1.53
1760272906.054,SAFE,1165.5,0.82,1.42
1760272906.229,SAFE,1165.5,0.82,1.42
1760272906.402,SAFE,1383.5,0.82,1.69
1760272906.573,SAFE,3017.0,0.82,3.68
1760272906.746,SAFE,3113.5,1.63,1.91
1760272906.917,SAFE,3113.5,1.63,1.91
1760272907.082,SAFE,5714.0,1.63,3.51
1760272907.251,SAFE,5766.5,1.63,3.54
1760272907.421,SAFE,5768.0,1.63,3.54
1760272907.592,SAFE,5811.0,1.63,3.57
1760272907.760,SAFE,5811.0,0.82,6.0
1760272907.936,SAFE,1304.5,0.82,1.59
1760272908.111,SAFE,1287.5,0.82,1.57
1760272908.287,SAFE,1062.0,0.82,1.3
1760272908.465,SAFE,1030.0,0.82,1.26
1760272908.644,SAFE,1030.0,0.82,1.26
1760272908.819,SAFE,1041.5,0.41,2.54
1760272909.005,SAFE,1128.5,0.41,2.75
1760272909.185,SAFE,1142.0,0.41,2.79
