ts,state,d_min_mm,ttc_s
1760198259.135,SAFE,,
1760198259.321,SAFE,3812.75,6.0
1760198259.512,SAFE,3812.25,6.0
1760198259.688,SAFE,3812.75,6.0
1760198259.873,SAFE,3815.0,6.0
1760198260.054,SAFE,3815.0,6.0
1760198260.232,SAFE,3815.0,6.0
1760198260.411,SAFE,3814.75,6.0
1760198260.589,SAFE,3814.5,6.0
1760198260.770,SAFE,3814.5,6.0
1760198260.940,SAFE,3814.0,6.0
1760198261.114,SAFE,3812.75,6.0
1760198261.291,SAFE,3812.75,6.0
1760198261.464,SAFE,3814.5,6.0
1760198261.643,SAFE,3814.5,6.0
1760198261.816,SAFE,3814.0,6.0
1760198261.997,SAFE,3814.0,6.0
1760198262.167,SAFE,3814.5,6.0
1760198262.345,SAFE,3814.5,6.0
1760198262.521,SAFE,3814.5,6.0
1760198262.700,SAFE,3814.5,6.0
1760198262.878,SAFE,3814.75,6.0
1760198263.051,SAFE,3814.75,6.0
1760198263.226,SAFE,3814.75,6.0
1760198263.405,SAFE,3814.75,6.0
1760198263.583,SAFE,3814.75,6.0
1760198263.756,SAFE,3814.0,6.0
1760198263.937,BRAKE,284.5,0.57
1760198264.115,BRAKE,136.0,0.27
1760198264.298,BRAKE,123.0,0.25
1760198264.472,BRAKE,123.0,0.25
1760198264.652,BRAKE,125.5,0.25
1760198264.833,BRAKE,134.75,0.27
1760198265.013,BRAKE,159.5,0.32
1760198265.194,BRAKE,3813.5,6.0
1760198265.360,SAFE,3814.75,6.0
1760198265.538,SAFE,3814.75,6.0
1760198265.714,SAFE,3813.5,6.0
