ts,state,d_min_mm,ttc_s
1760200254.082,SAFE,,
1760200254.277,SAFE,3817.0,6.0
1760200254.473,SAFE,3815.0,6.0
1760200254.651,SAFE,3814.75,6.0
1760200254.845,SAFE,3813.75,6.0
1760200255.033,SAFE,3814.75,6.0
1760200255.211,SAFE,3815.5,6.0
1760200255.394,SAFE,3815.5,6.0
1760200255.575,SAFE,3815.5,6.0
1760200255.759,SAFE,3816.25,6.0
1760200255.931,SAFE,3816.75,6.0
1760200256.109,SAFE,3816.75,6.0
1760200256.291,SAFE,3816.75,6.0
1760200256.469,SAFE,3816.75,6.0
1760200256.647,SAFE,3817.25,6.0
1760200256.825,SAFE,3817.25,6.0
1760200256.998,SAFE,3816.25,6.0
1760200257.179,SAFE,3814.5,6.0
1760200257.357,SAFE,3813.25,6.0
1760200257.536,SAFE,3814.5,6.0
1760200257.713,SAFE,3814.75,6.0
1760200257.887,SAFE,3815.5,6.0
