ts,state,d_min_mm,v_mps,ttc_s
1760269818.456,SAFE,,0.0,
1760269818.631,SAFE,2846.25,0.0,0.0
1760269818.809,SAFE,2847.125,0.0,0.0
1760269818.980,SAFE,2846.25,0.0,0.0
1760269819.159,SAFE,2842.5,0.0,0.0
1760269819.339,SAFE,2842.5,0.0,0.0
1760269819.513,SAFE,2845.25,0.0,0.0
1760269819.681,SAFE,2848.25,0.0,0.0
1760269819.856,SAFE,2848.5,0.0,0.0
1760269820.022,SAFE,2848.25,0.0,0.0
1760269820.193,SAFE,2849.0,0.0,0.0
1760269820.368,SAFE,2847.0,0.0,0.0
1760269820.542,SAFE,2849.0,0.0,0.0
1760269820.717,SAFE,2850.75,0.0,0.0
1760269820.893,SAFE,2851.5,0.0,0.0
1760269821.071,SAFE,2851.5,0.0,0.0
1760269821.247,SAFE,2848.25,0.0,0.0
1760269821.420,SAFE,2847.25,0.0,0.0
1760269821.593,SAFE,2848.25,0.0,0.0
1760269821.769,SAFE,2849.0,0.0,0.0
1760269821.942,SAFE,2849.0,0.0,0.0
1760269822.123,SAFE,2846.75,0.0,0.0
1760269822.296,SAFE,2846.75,0.0,0.0
1760269822.474,SAFE,2846.75,2.28,1.25
1760269822.650,SAFE,2847.0,2.23,1.28
1760269822.825,SAFE,2846.75,2.19,1.3
1760269822.996,SAFE,2846.5,2.18,1.31
1760269823.172,SAFE,2846.5,2.16,1.32
1760269823.350,SAFE,2846.5,2.16,1.32
1760269823.526,SAFE,2844.75,2.16,1.32
1760269823.701,SAFE,2844.75,2.15,1.32
1760269823.879,SAFE,2847.0,2.14,1.33
1760269824.058,SAFE,2847.0,2.14,1.33
1760269824.228,SAFE,2845.5,2.14,1.33
1760269824.399,SAFE,2845.5,2.13,1.34
1760269824.574,SAFE,2845.5,2.13,1.34
1760269824.750,SAFE,2846.0,2.14,1.33
1760269824.926,SAFE,2845.5,1.99,1.43
1760269825.097,SAFE,2845.5,1.99,1.43
1760269825.272,SAFE,2845.25,2.13,1.34
1760269825.445,SAFE,2845.25,2.13,1.34
1760269825.626,SAFE,2844.75,2.12,1.34
1760269825.802,SAFE,2845.0,2.12,1.34
1760269825.977,SAFE,2845.0,2.13,1.34
1760269826.148,SAFE,2845.0,2.12,1.34
1760269826.326,SAFE,2844.25,2.12,1.34
1760269826.499,SAFE,2844.25,2.12,1.34
1760269826.675,SAFE,2847.0,2.12,1.34
1760269826.848,SAFE,2847.0,2.13,1.34
1760269827.021,SAFE,2847.0,2.13,1.34
1760269827.197,SAFE,2846.75,2.12,1.34
1760269827.370,SAFE,2846.75,2.13,1.34
1760269827.548,SAFE,2845.0,1.99,1.43
1760269827.719,SAFE,2845.0,2.12,1.34
1760269827.889,SAFE,2845.25,2.12,1.34
1760269828.063,SAFE,2847.25,2.12,1.34
1760269828.238,SAFE,2845.25,2.12,1.34
1760269828.414,SAFE,2846.25,2.12,1.34
1760269828.585,SAFE,2846.25,2.12,1.34
1760269828.760,SAFE,2846.25,2.11,1.35
1760269828.936,SAFE,2846.25,2.13,1.34
1760269829.112,SAFE,2846.5,2.13,1.34
1760269829.288,SAFE,2846.5,1.79,1.59
1760269829.463,SAFE,2845.75,0.0,0.0
1760269829.644,SAFE,2845.75,0.0,0.0
1760269829.819,SAFE,2845.5,0.0,0.0
1760269829.995,SAFE,2846.0,0.0,0.0
1760269830.171,SAFE,2846.0,0.0,0.0
1760269830.349,SAFE,2846.0,0.0,0.0
1760269830.520,SAFE,2846.25,0.0,0.0
1760269830.693,SAFE,2845.75,0.0,0.0
1760269830.863,SAFE,2845.75,0.0,0.0
1760269831.039,SAFE,2845.75,0.0,0.0
1760269831.210,SAFE,2846.75,0.0,0.0
1760269831.383,SAFE,2847.0,0.0,0.0
1760269831.556,SAFE,2846.75,0.0,0.0
1760269831.729,SAFE,2846.0,0.0,0.0
1760269831.905,SAFE,2845.5,0.0,0.0
1760269832.081,SAFE,2846.0,0.0,0.0
1760269832.257,SAFE,2846.0,0.0,0.0
1760269832.427,SAFE,2846.75,0.0,0.0
1760269832.598,SAFE,2846.75,0.0,0.0
1760269832.771,SAFE,2847.75,0.0,0.0
1760269832.946,SAFE,2846.75,0.0,0.0
1760269833.117,SAFE,2847.75,0.0,0.0
1760269833.288,SAFE,2847.75,0.0,0.0
1760269833.464,SAFE,2847.75,0.0,0.0
1760269833.636,SAFE,2847.0,0.0,0.0
1760269833.812,SAFE,2847.0,0.0,0.0
1760269833.983,SAFE,2847.25,0.09,6.0
1760269834.159,SAFE,2847.25,0.0,0.0
1760269834.335,SAFE,2847.25,0.88,3.24
1760269834.508,SAFE,2847.0,2.28,1.25
1760269834.681,SAFE,2847.0,2.21,1.29
1760269834.851,SAFE,2846.0,2.21,1.29
1760269835.022,SAFE,2846.0,2.04,1.4
1760269835.195,SAFE,2846.75,2.18,1.31
1760269835.371,SAFE,2847.25,2.15,1.32
1760269835.549,SAFE,2847.25,2.15,1.32
1760269835.720,SAFE,2847.75,2.14,1.33
1760269835.893,SAFE,2846.0,2.14,1.33
1760269836.068,SAFE,2847.75,2.13,1.34
1760269836.244,SAFE,2846.0,2.12,1.34
1760269836.413,SAFE,2846.0,2.13,1.34
1760269836.583,SAFE,2845.75,2.13,1.34
1760269836.759,SAFE,2845.75,2.12,1.34
1760269836.929,SAFE,2845.75,2.12,1.34
1760269837.103,SAFE,2846.25,2.12,1.34
1760269837.276,SAFE,2846.5,2.13,1.34
1760269837.451,SAFE,2846.5,2.07,1.38
1760269837.629,SAFE,2845.25,2.07,1.37
1760269837.803,SAFE,2845.25,1.34,2.12
1760269837.976,SAFE,2846.5,1.34,2.12
1760269838.149,SAFE,2846.5,0.0,0.0
1760269838.322,SAFE,2846.5,0.0,0.0
1760269838.496,SAFE,2844.75,0.0,0.0
1760269838.669,SAFE,2847.5,0.0,0.0
