ts,state,d_min_mm,v_mps,ttc_s
1760262682.605,SAFE,,0.0,
1760262682.782,CORNER,2900.25,0.0,0.0
1760262682.953,CORNER,2900.0,0.0,0.0
1760262683.138,SAFE,2900.25,0.0,0.0
1760262683.307,SAFE,2901.25,0.0,0.0
1760262683.477,SAFE,2901.25,0.0,0.0
1760262683.646,SAFE,2901.0,0.0,0.0
1760262683.816,SAFE,2901.0,0.0,0.0
1760262683.987,SAFE,2901.25,0.0,0.0
1760262684.153,SAFE,2901.5,0.0,0.0
1760262684.324,SAFE,2901.5,0.0,0.0
1760262684.497,SAFE,2901.5,0.0,0.0
1760262684.665,SAFE,2895.25,0.0,0.0
1760262684.838,SAFE,150.0,0.0,0.0
1760262685.008,SAFE,139.0,0.0,0.0
1760262685.177,SAFE,139.0,0.0,0.0
1760262685.353,SAFE,139.0,0.0,0.0
1760262685.528,SAFE,143.0,0.0,0.0
1760262685.701,SAFE,150.0,0.0,0.0
1760262685.872,SAFE,2901.25,0.0,0.0
1760262686.047,SAFE,2901.25,0.0,0.0
1760262686.218,SAFE,2901.25,0.0,0.0
1760262686.386,SAFE,2901.5,0.0,0.0
1760262686.555,SAFE,2901.5,0.0,0.0
1760262686.728,SAFE,157.5,0.0,0.0
1760262686.896,SAFE,150.5,0.0,0.0
1760262687.067,SAFE,150.5,0.0,0.0
1760262687.232,SAFE,2902.5,0.0,0.0
1760262687.405,SAFE,2902.5,0.0,0.0
1760262687.571,SAFE,2901.75,0.0,0.0
1760262687.742,SAFE,2901.0,0.0,0.0
1760262687.907,SAFE,2901.0,0.0,0.0
1760262688.078,SAFE,2901.0,0.0,0.0
1760262688.246,SAFE,2900.75,0.0,0.0
1760262688.422,SAFE,2902.0,0.0,0.0
1760262688.595,SAFE,2902.0,0.0,0.0
1760262688.769,SAFE,2902.0,0.0,0.0
1760262688.937,SAFE,2901.5,0.0,0.0
1760262689.107,SAFE,2900.75,0.0,0.0
1760262689.278,SAFE,2900.75,0.0,0.0
1760262689.451,SAFE,2900.75,0.0,0.0
1760262689.629,SAFE,2901.0,0.0,0.0
1760262689.805,SAFE,2901.75,0.0,0.0
1760262689.981,SAFE,2901.75,0.0,0.0
1760262690.151,SAFE,2900.5,0.0,0.0
1760262690.330,SAFE,2900.5,0.0,0.0
1760262690.505,SAFE,2895.75,0.0,0.0
1760262690.678,SAFE,2888.5,0.0,0.0
1760262690.852,SAFE,2888.5,0.0,0.0
1760262691.020,SAFE,2892.0,0.0,0.0
1760262691.193,SAFE,3017.5,0.0,0.0
1760262691.371,SAFE,3119.5,0.0,0.0
1760262691.542,SAFE,3119.5,0.0,0.0
1760262691.710,SAFE,3198.5,0.0,0.0
1760262691.883,SAFE,3838.5,0.78,4.92
1760262692.059,SAFE,3838.5,1.32,2.91
1760262692.237,SAFE,3325.0,1.97,1.69
1760262692.420,SAFE,3325.0,2.16,1.54
1760262692.596,SAFE,3666.5,2.38,1.54
1760262692.776,SAFE,3778.0,2.49,1.52
1760262692.957,SAFE,3778.0,2.54,1.49
1760262693.135,SAFE,3737.5,2.21,1.69
1760262693.306,SAFE,3737.5,2.47,1.51
1760262693.482,BRAKE,453.5,2.78,0.16
1760262693.652,BRAKE,498.0,2.93,0.17
1760262693.826,BRAKE,453.5,3.01,0.15
1760262694.001,BRAKE,424.5,3.04,0.14
1760262694.175,BRAKE,395.0,3.05,0.13
1760262694.348,BRAKE,395.0,3.07,0.13
1760262694.523,BRAKE,451.0,3.07,0.15
1760262694.694,BRAKE,1058.5,3.07,0.34
1760262694.862,BRAKE,1435.5,3.08,0.47
1760262695.040,BRAKE,1435.5,3.08,0.47
1760262695.211,BRAKE,1009.0,1.51,0.67
1760262695.386,BRAKE,259.75,1.06,0.25
1760262695.558,SAFE,1009.0,0.52,1.94
1760262695.736,SAFE,1800.0,0.25,6.0
1760262695.916,SAFE,1800.0,0.12,6.0
1760262696.097,SAFE,1796.0,0.06,6.0
1760262696.277,SAFE,1549.5,0.04,0.0
1760262696.458,SAFE,1796.0,0.02,0.0
1760262696.641,SAFE,2695.0,0.01,0.0
1760262696.825,SAFE,2695.0,0.01,0.0
1760262697.004,SAFE,2483.0,0.0,0.0
1760262697.183,SAFE,2346.0,0.0,0.0
1760262697.362,SAFE,2328.0,0.0,0.0
1760262697.545,SAFE,2262.0,0.0,0.0
1760262697.726,SAFE,2103.0,0.0,0.0
1760262697.904,SAFE,2103.0,1.16,1.81
1760262698.072,WARN,2104.5,1.92,1.1
1760262698.240,WARN,2338.0,2.83,0.83
1760262698.411,WARN,2581.0,2.28,1.13
1760262698.582,SAFE,2706.0,1.71,1.58
1760262698.743,SAFE,2706.0,1.03,2.63
1760262698.918,SAFE,1251.0,0.84,1.49
1760262699.091,SAFE,1251.0,0.66,1.9
1760262699.254,SAFE,1297.0,0.62,2.09
1760262699.428,SAFE,1540.5,0.63,2.45
1760262699.601,SAFE,3590.5,0.62,5.79
1760262699.772,SAFE,3590.5,0.62,5.79
1760262699.939,SAFE,3241.0,0.6,5.4
1760262700.113,SAFE,2892.5,0.58,4.99
1760262700.291,SAFE,2746.0,0.57,4.82
1760262700.469,SAFE,2489.5,0.54,4.61
1760262700.645,SAFE,2233.5,0.53,4.21
1760262700.818,SAFE,1951.5,0.51,3.83
1760262700.996,SAFE,1793.5,0.49,3.66
1760262701.172,SAFE,1793.5,0.48,3.74
1760262701.347,SAFE,1652.0,0.51,3.24
1760262701.518,SAFE,2641.0,0.52,5.08
1760262701.691,SAFE,2456.0,0.51,4.82
1760262701.869,SAFE,2456.0,0.5,4.91
1760262702.048,SAFE,2198.0,0.53,4.15
1760262702.233,BRAKE,479.5,0.57,0.84
1760262702.399,BRAKE,472.0,0.58,0.81
1760262702.570,BRAKE,479.5,0.61,0.79
1760262702.740,BRAKE,1167.5,0.62,1.88
1760262702.919,SAFE,1167.5,0.62,1.88
1760262703.079,SAFE,1116.5,0.62,1.8
1760262703.247,SAFE,1107.0,0.62,1.79
1760262703.418,SAFE,1088.0,0.49,2.22
1760262703.596,SAFE,1088.0,0.46,2.37
1760262703.759,SAFE,2615.0,0.41,6.0
1760262703.925,SAFE,3764.0,0.39,6.0
1760262704.103,SAFE,3764.0,0.34,6.0
1760262704.274,SAFE,3592.0,0.33,6.0
1760262704.440,SAFE,3359.0,0.31,6.0
1760262704.612,SAFE,3133.0,0.31,6.0
1760262704.780,SAFE,3000.5,0.35,6.0
1760262704.946,SAFE,2870.0,0.37,6.0
1760262705.117,SAFE,2870.0,0.43,6.0
1760262705.287,SAFE,3044.5,0.44,6.0
1760262705.448,SAFE,3175.5,0.46,6.0
1760262705.616,SAFE,3175.5,0.47,6.0
1760262705.789,SAFE,2144.0,0.48,4.47
1760262705.952,SAFE,2067.0,0.51,4.05
1760262706.121,SAFE,2067.0,0.54,3.83
1760262706.286,SAFE,2067.0,0.56,3.69
1760262706.444,SAFE,3473.0,0.56,6.0
1760262706.610,SAFE,3473.0,0.58,5.99
1760262706.771,SAFE,3306.0,0.59,5.6
1760262706.936,SAFE,2987.5,0.6,4.98
1760262707.105,SAFE,2687.5,0.58,4.63
1760262707.265,SAFE,2559.5,0.57,4.49
1760262707.431,SAFE,2269.0,0.54,4.2
1760262707.594,SAFE,1911.5,0.52,3.68
1760262707.757,SAFE,1498.0,0.5,3.0
1760262707.925,SAFE,1229.5,0.49,2.51
1760262708.097,CORNER,1163.5,0.44,2.64
1760262708.251,CORNER,1054.0,2.81,0.38
1760262708.420,CORNER,884.0,3.97,0.22
1760262708.583,CORNER,781.5,4.53,0.17
1760262708.741,CORNER,741.0,4.7,0.16
1760262708.911,CORNER,741.0,4.89,0.15
1760262709.075,CORNER,1162.0,4.95,0.23
1760262709.240,CORNER,1225.0,5.01,0.24
1760262709.421,BRAKE,1580.0,5.03,0.31
1760262709.597,BRAKE,2308.5,5.06,0.46
1760262709.778,BRAKE,2682.5,5.07,0.53
1760262709.953,BRAKE,3484.0,5.07,0.69
1760262710.140,SAFE,3484.0,3.55,0.98
1760262710.305,SAFE,3484.0,2.49,1.4
1760262710.476,SAFE,3473.5,1.22,2.85
1760262710.641,SAFE,2156.0,0.6,3.59
1760262710.812,SAFE,2079.5,0.29,6.0
1760262710.975,SAFE,2156.0,0.2,6.0
1760262711.136,SAFE,2260.0,0.1,6.0
1760262711.304,SAFE,2908.5,0.05,0.0
1760262711.467,SAFE,2976.0,0.03,0.0
1760262711.635,SAFE,2908.5,0.02,0.0
1760262711.800,SAFE,2976.0,0.01,0.0
1760262711.966,SAFE,3661.0,0.88,4.16
1760262712.134,SAFE,3661.0,1.85,1.98
1760262712.300,SAFE,2753.5,2.13,1.29
1760262712.471,WARN,2624.0,2.46,1.07
1760262712.639,WARN,2522.0,2.63,0.96
1760262712.802,SAFE,2393.5,1.41,1.7
1760262712.977,SAFE,2225.5,1.06,2.1
1760262713.151,SAFE,2078.5,0.65,3.2
1760262713.324,SAFE,1874.5,0.44,4.26
1760262713.500,SAFE,1758.5,0.4,4.4
1760262713.670,SAFE,1758.5,0.34,5.17
1760262713.841,SAFE,3686.0,0.32,6.0
1760262714.007,SAFE,3686.0,0.39,6.0
1760262714.175,SAFE,3518.0,0.41,6.0
1760262714.341,SAFE,3177.0,0.5,6.0
1760262714.509,SAFE,2851.5,0.53,5.38
1760262714.679,SAFE,2673.5,0.54,4.95
1760262714.843,SAFE,2359.5,0.54,4.37
1760262715.013,SAFE,2039.5,0.55,3.71
1760262715.181,SAFE,1879.5,0.55,3.42
1760262715.347,SAFE,1879.5,0.56,3.36
1760262715.522,SAFE,1681.5,0.54,3.11
1760262715.698,SAFE,1681.5,0.53,3.17
1760262715.876,SAFE,1542.0,0.52,2.97
1760262716.052,SAFE,1345.0,0.48,2.8
1760262716.233,SAFE,1345.0,0.45,2.99
1760262716.406,SAFE,1356.5,0.44,3.08
1760262716.587,SAFE,1356.5,0.41,3.31
1760262716.762,SAFE,1094.5,0.4,2.74
1760262716.941,SAFE,620.5,0.39,1.59
1760262717.135,BRAKE,514.5,0.39,1.32
1760262717.317,BRAKE,499.5,0.4,1.25
1760262717.510,BRAKE,489.5,0.4,1.22
1760262717.691,BRAKE,480.0,0.4,1.2
1760262717.877,BRAKE,489.5,0.4,1.22
1760262718.060,BRAKE,1252.5,0.4,3.13
1760262718.247,SAFE,1252.5,0.4,3.13
1760262718.429,SAFE,1332.5,0.4,3.33
1760262718.613,SAFE,1346.0,0.4,3.37
1760262718.790,SAFE,1384.0,0.4,3.46
1760262718.971,SAFE,1402.0,0.4,3.5
1760262719.152,SAFE,1470.0,0.4,3.67
1760262719.330,SAFE,1483.0,0.34,4.36
1760262719.508,WARN,1483.5,2.14,0.69
1760262719.688,BRAKE,1483.5,2.66,0.56
1760262719.865,BRAKE,1458.0,3.28,0.44
1760262720.040,BRAKE,1458.0,1.82,0.8
1760262720.225,SAFE,1480.0,1.1,1.35
1760262720.399,SAFE,1480.0,0.89,1.66
1760262720.572,WARN,1473.75,1.63,0.9
1760262720.747,BRAKE,1473.75,2.7,0.55
1760262720.921,BRAKE,3171.5,3.21,0.99
1760262721.093,SAFE,3171.5,3.36,0.94
1760262721.267,SAFE,2965.5,1.82,1.63
1760262721.438,SAFE,2959.5,1.06,2.79
1760262721.614,SAFE,1464.5,0.69,2.12
1760262721.785,SAFE,1453.0,0.59,2.46
1760262721.960,SAFE,1449.5,0.47,3.08
1760262722.133,SAFE,1413.0,0.41,3.45
1760262722.304,SAFE,1404.5,0.38,3.7
1760262722.472,SAFE,1362.0,0.37,3.68
1760262722.648,SAFE,1362.0,0.35,3.89
1760262722.826,SAFE,3548.5,0.37,6.0
