ts,state,d_min_mm,v_mps,ttc_s
1760205547.210,SAFE,,,
1760205547.376,SAFE,2223.0,,
1760205547.542,SAFE,2223.75,,
1760205547.713,SAFE,2223.25,,
1760205547.881,SAFE,2224.5,,
1760205548.047,SAFE,2225.5,,
1760205548.210,SAFE,2227.5,,
1760205548.370,SAFE,2228.75,,
1760205548.538,SAFE,2228.75,,
1760205548.699,SAFE,2251.5,,
1760205548.865,SAFE,3891.0,,
1760205549.031,SAFE,3891.0,,
1760205549.194,SAFE,3882.5,,
1760205549.367,SAFE,2238.75,,
1760205549.533,SAFE,2243.5,,
1760205549.693,SAFE,2242.0,,
1760205549.866,SAFE,2242.0,,
1760205550.027,SAFE,2224.5,,
1760205550.190,SAFE,2224.5,,
1760205550.356,SAFE,2220.5,,
1760205550.514,SAFE,2208.0,,
1760205550.677,SAFE,2205.0,,
1760205550.847,SAFE,2205.0,,
1760205551.011,SAFE,2214.0,,
1760205551.176,SAFE,2221.75,,
1760205551.345,SAFE,2234.0,,
1760205551.508,SAFE,2239.5,,
1760205551.673,SAFE,2239.5,,
1760205551.837,SAFE,2239.5,,
1760205552.002,SAFE,2237.5,,
1760205552.173,SAFE,2233.0,,
1760205552.338,SAFE,2227.5,,
1760205552.499,SAFE,2223.0,,
1760205552.670,SAFE,2223.0,,
1760205552.833,SAFE,2222.75,,
1760205552.996,SAFE,2222.75,,
1760205553.164,SAFE,2222.75,,
1760205553.325,BRAKE,3861.5,22.4,0.17
1760205553.486,BRAKE,3861.5,22.4,0.17
1760205553.656,BRAKE,3861.5,22.4,0.17
1760205553.817,BRAKE,3868.5,22.4,0.17
1760205553.978,BRAKE,2221.0,22.4,0.1
1760205554.143,BRAKE,2216.75,22.4,0.1
1760205554.304,BRAKE,2216.75,22.4,0.1
1760205554.469,BRAKE,2216.75,22.4,0.1
1760205554.635,BRAKE,2216.25,22.4,0.1
1760205554.795,BRAKE,2216.25,22.4,0.1
1760205554.969,BRAKE,2216.25,22.4,0.1
1760205555.132,BRAKE,2234.5,22.4,0.1
1760205555.293,BRAKE,2234.5,22.4,0.1
1760205555.463,BRAKE,2234.5,22.4,0.1
1760205555.629,BRAKE,2235.5,22.4,0.1
1760205555.795,BRAKE,2239.5,22.4,0.1
1760205555.960,BRAKE,2239.5,22.4,0.1
1760205556.123,BRAKE,2222.0,22.4,0.1
1760205556.286,BRAKE,2222.0,22.4,0.1
1760205556.454,BRAKE,2222.0,22.4,0.1
1760205556.620,BRAKE,3906.5,22.4,0.17
1760205556.778,BRAKE,3885.0,22.4,0.17
1760205556.944,BRAKE,3885.0,22.4,0.17
1760205557.107,BRAKE,3878.5,22.4,0.17
1760205557.273,BRAKE,2218.0,22.4,0.1
1760205557.441,BRAKE,2227.0,22.4,0.1
1760205557.604,BRAKE,2227.0,,
1760205557.767,SAFE,3860.5,,
1760205557.930,SAFE,3860.5,,
1760205558.091,BRAKE,2222.5,22.4,0.1
1760205558.257,BRAKE,2213.0,22.4,0.1
1760205558.422,BRAKE,2209.0,22.4,0.1
1760205558.583,BRAKE,2209.0,22.4,0.1
1760205558.751,BRAKE,2209.0,22.4,0.1
1760205558.912,BRAKE,2208.0,22.4,0.1
1760205559.077,BRAKE,2208.0,22.4,0.1
1760205559.248,BRAKE,2224.5,22.4,0.1
1760205559.411,BRAKE,2243.5,22.4,0.1
1760205559.574,BRAKE,2236.25,22.4,0.1
1760205559.742,BRAKE,2236.25,22.4,0.1
1760205559.903,BRAKE,2236.25,22.4,0.1
1760205560.071,BRAKE,3896.0,22.4,0.17
1760205560.239,BRAKE,3896.0,22.4,0.17
1760205560.400,BRAKE,3893.0,22.4,0.17
1760205560.565,BRAKE,3892.5,22.4,0.17
1760205560.734,BRAKE,3892.5,22.4,0.17
1760205560.897,BRAKE,2272.5,22.4,0.1
1760205561.072,BRAKE,2272.5,22.4,0.1
1760205561.250,BRAKE,2272.5,22.4,0.1
1760205561.424,BRAKE,3881.0,22.4,0.17
1760205561.599,BRAKE,3881.0,22.4,0.17
1760205561.771,BRAKE,3885.25,22.4,0.17
1760205561.946,BRAKE,3885.25,22.4,0.17
1760205562.114,BRAKE,3885.25,22.4,0.17
1760205562.285,BRAKE,2284.5,22.4,0.1
1760205562.460,BRAKE,1636.5,22.4,0.07
1760205562.628,BRAKE,1636.5,22.4,0.07
1760205562.799,BRAKE,3880.25,22.4,0.17
1760205562.972,BRAKE,3880.25,22.4,0.17
1760205563.148,BRAKE,2010.0,22.4,0.09
1760205563.314,BRAKE,2010.0,22.4,0.09
1760205563.481,BRAKE,3878.0,22.4,0.17
1760205563.657,BRAKE,3878.0,22.4,0.17
1760205563.830,BRAKE,2294.5,22.4,0.1
1760205564.001,BRAKE,2290.0,22.4,0.1
