ts,state,d_min_mm,v_mps,ttc_s
1760260671.673,SAFE,,0.0,
1760260671.851,SAFE,3081.0,0.0,0.0
1760260672.029,SAFE,3080.625,0.0,0.0
1760260672.217,SAFE,3080.25,0.0,0.0
1760260672.401,SAFE,3080.0,0.0,0.0
1760260672.582,SAFE,3078.75,0.0,0.0
1760260672.767,SAFE,3078.75,0.0,0.0
1760260672.948,SAFE,3078.75,0.0,0.0
1760260673.131,SAFE,2729.0,0.0,0.0
1760260673.307,SAFE,3087.75,0.0,0.0
1760260673.490,SAFE,2729.0,0.0,0.0
1760260673.666,SAFE,3135.0,0.0,0.0
1760260673.844,SAFE,2845.0,0.0,0.0
1760260674.020,SAFE,2855.0,0.0,0.0
1760260674.191,SAFE,2851.0,0.0,0.0
1760260674.361,SAFE,2855.0,0.09,6.0
1760260674.532,SAFE,2959.5,0.15,6.0
1760260674.705,SAFE,3016.0,0.23,6.0
1760260674.876,SAFE,3016.0,0.26,6.0
1760260675.054,SAFE,3016.0,0.28,6.0
1760260675.227,SAFE,2132.5,1.5,1.42
1760260675.405,WARN,2280.5,2.35,0.97
1760260675.578,WARN,2224.0,3.36,0.66
1760260675.760,BRAKE,2270.0,3.85,0.59
1760260675.935,BRAKE,2224.0,4.09,0.54
1760260676.113,BRAKE,2205.0,4.16,0.53
1760260676.301,BRAKE,2205.0,4.25,0.52
1760260676.484,BRAKE,3039.5,4.29,0.71
1760260676.667,SAFE,3039.5,4.31,0.71
1760260676.833,WARN,2810.5,3.11,0.9
1760260677.006,WARN,2616.0,2.27,1.15
1760260677.184,SAFE,2456.5,1.79,1.37
1760260677.353,SAFE,2456.5,1.55,1.58
1760260677.524,SAFE,2484.0,1.44,1.73
1760260677.694,SAFE,2484.0,1.4,1.77
1760260677.862,SAFE,2293.5,1.36,1.69
1760260678.030,SAFE,2291.0,1.34,1.71
1760260678.203,SAFE,2077.5,1.03,2.02
1760260678.377,WARN,1913.5,2.27,0.84
