ts,state,d_min_mm,v_mps,ttc_s
1760261860.856,SAFE,,0.0,
1760261861.032,SAFE,2861.25,0.0,0.0
1760261861.215,SAFE,2858.25,0.0,0.0
1760261861.401,SAFE,2858.75,0.0,0.0
1760261861.582,SAFE,2858.75,0.0,0.0
1760261861.760,SAFE,2858.75,0.0,0.0
1760261861.935,SAFE,2855.5,0.0,0.0
1760261862.111,SAFE,2850.5,0.0,0.0
1760261862.284,SAFE,2850.5,0.0,0.0
1760261862.457,SAFE,2864.5,0.0,0.0
1760261862.633,SAFE,2888.0,0.0,0.0
1760261862.814,SAFE,2919.5,0.0,0.0
1760261862.987,SAFE,2979.0,0.0,0.0
1760261863.162,SAFE,3020.0,0.0,0.0
1760261863.338,SAFE,3092.5,0.0,0.0
1760261863.514,SAFE,3181.0,0.0,0.0
1760261863.687,SAFE,3278.5,0.0,0.0
1760261863.863,SAFE,3424.5,1.46,2.35
1760261864.043,SAFE,3454.0,1.87,1.85
1760261864.219,SAFE,3454.0,2.07,1.67
1760261864.395,SAFE,3520.0,2.17,1.62
1760261864.570,SAFE,3622.0,2.19,1.65
1760261864.749,SAFE,3622.0,2.23,1.62
1760261864.915,SAFE,3621.5,2.24,1.62
1760261865.082,SAFE,3538.0,1.63,2.17
1760261865.256,WARN,2159.0,2.12,1.02
1760261865.424,WARN,2159.0,2.36,0.91
1760261865.599,WARN,2212.5,2.43,0.91
1760261865.767,WARN,2299.0,2.51,0.92
1760261865.943,WARN,2368.5,2.55,0.93
1760261866.114,WARN,2368.5,2.56,0.93
1760261866.288,BRAKE,973.0,1.86,0.52
1760261866.463,BRAKE,973.0,1.01,0.96
1760261866.643,BRAKE,975.5,0.6,1.63
1760261866.817,SAFE,986.5,0.48,2.06
1760261866.990,SAFE,1226.0,0.34,3.61
1760261867.163,SAFE,1226.0,0.27,4.54
1760261867.344,SAFE,1226.0,0.24,5.11
1760261867.525,SAFE,1296.5,0.22,5.89
1760261867.710,SAFE,1297.5,0.21,6.0
1760261867.894,SAFE,1297.5,0.21,6.0
1760261868.074,SAFE,1552.5,0.21,6.0
1760261868.257,SAFE,2636.5,0.14,6.0
1760261868.435,SAFE,2636.5,0.07,6.0
1760261868.613,SAFE,2471.0,0.05,0.0
1760261868.794,SAFE,2376.5,0.09,6.0
1760261868.970,SAFE,2376.5,0.15,6.0
