ts,state,d_min_mm,v_mps,ttc_s,target_deg,reason
1760012088.039,SAFE,,,,0,tick
1760012088.225,BRAKE,225.35,,0.45,140,dist_or_ttc_below_brake
1760012088.406,BRAKE,275.46999999999997,,0.55,140,dist_or_ttc_below_brake
1760012088.587,BRAKE,275.46999999999997,,0.55,140,dist_or_ttc_below_brake
1760012088.768,BRAKE,306.352,,0.61,140,dist_or_ttc_below_brake
1760012088.949,BRAKE,323.91119999999995,,0.65,140,dist_or_ttc_below_brake
1760012089.130,BRAKE,334.41671999999994,,0.67,140,dist_or_ttc_below_brake
1760012089.310,BRAKE,341.26003199999997,,0.68,140,dist_or_ttc_below_brake
1760012089.492,BRAKE,345.26601919999996,,0.69,140,dist_or_ttc_below_brake
1760012089.672,BRAKE,347.74961152,,0.7,140,dist_or_ttc_below_brake
1760012089.853,BRAKE,349.09976691199995,,0.7,140,dist_or_ttc_below_brake
1760012090.034,BRAKE,349.74986014719997,,0.7,140,dist_or_ttc_below_brake
1760012090.215,BRAKE,350.44991608832,,0.7,140,dist_or_ttc_below_brake
1760012090.396,BRAKE,350.68994965299197,,0.7,140,dist_or_ttc_below_brake
1760012090.577,BRAKE,350.7839697917952,,0.7,140,dist_or_ttc_below_brake
1760012090.758,BRAKE,350.8703818750771,,0.7,140,dist_or_ttc_below_brake
1760012090.939,BRAKE,351.2222291250463,,0.7,140,dist_or_ttc_below_brake
1760012091.120,BRAKE,351.2222291250463,,0.7,140,dist_or_ttc_below_brake
1760012091.301,BRAKE,282.2513349900111,,0.56,140,dist_or_ttc_below_brake
1760012091.482,BRAKE,251.56053399600444,,0.5,140,dist_or_ttc_below_brake
1760012091.663,BRAKE,242.6595281590411,,0.49,140,dist_or_ttc_below_brake
1760012091.844,BRAKE,242.6595281590411,,0.49,140,dist_or_ttc_below_brake
1760012092.025,BRAKE,244.83571689542464,,0.49,140,dist_or_ttc_below_brake
1760012092.206,BRAKE,244.83571689542464,,0.49,140,dist_or_ttc_below_brake
1760012092.387,BRAKE,242.7045720549019,,0.49,140,dist_or_ttc_below_brake
1760012092.568,BRAKE,241.05182882196075,,0.48,140,dist_or_ttc_below_brake
1760012092.749,BRAKE,240.24143891727056,,0.48,140,dist_or_ttc_below_brake
1760012092.930,BRAKE,240.24143891727056,,0.48,140,dist_or_ttc_below_brake
1760012093.111,BRAKE,246.32486335036234,,0.49,140,dist_or_ttc_below_brake
1760012093.292,BRAKE,574.4349180102174,,1.15,140,dist_or_ttc_below_brake
1760012093.472,BRAKE,910.6609508061305,,1.82,140,tick
1760012093.658,SAFE,1096.6965704836782,,2.19,0,brake_release_ok
1760012093.840,SAFE,1208.357942290207,,2.42,0,normal_safe
1760012094.020,SAFE,1275.404765374124,,2.55,0,normal_safe
1760012094.201,SAFE,1316.4028592244745,,2.63,0,normal_safe
1760012094.382,SAFE,1341.9917155346848,,2.68,0,normal_safe
1760012094.563,SAFE,1350.4350293208108,,2.7,0,normal_safe
1760012094.744,SAFE,1360.8510175924864,,2.72,0,normal_safe
1760012094.925,SAFE,1384.9206105554917,,2.77,0,normal_safe
1760012095.106,SAFE,1481.3523663332949,,2.96,0,normal_safe
1760012095.287,SAFE,1560.0514197999769,,3.12,0,normal_safe
1760012095.468,SAFE,1642.170851879986,,3.28,0,normal_safe
1760012095.649,SAFE,1642.170851879986,,3.28,0,normal_safe
1760012095.830,SAFE,1581.1930044511964,,3.16,0,normal_safe
1760012096.010,SAFE,1536.8272017804786,,3.07,0,normal_safe
1760012096.192,SAFE,1536.8272017804786,,3.07,0,normal_safe
1760012096.373,SAFE,1518.7358807121914,,3.04,0,normal_safe
1760012096.554,SAFE,1467.5771668225555,,2.94,0,normal_safe
1760012096.735,SAFE,1467.5771668225555,,2.94,0,normal_safe
1760012096.915,SAFE,1483.8563000935333,,2.97,0,normal_safe
1760012097.097,SAFE,1493.2937800561199,,2.99,0,normal_safe
1760012097.277,SAFE,1543.3935072134686,,3.09,0,normal_safe
1760012097.458,SAFE,1543.3935072134686,,3.09,0,normal_safe
1760012097.639,SAFE,1519.9674028853874,,3.04,0,normal_safe
1760012097.820,SAFE,1510.146961154155,,3.02,0,normal_safe
1760012098.001,SAFE,1506.5787844616618,,3.01,0,normal_safe
1760012098.182,SAFE,1504.7465137846646,,3.01,0,normal_safe
1760012098.363,SAFE,1504.6136055138659,,3.01,0,normal_safe
1760012098.544,SAFE,1503.8104422055465,,3.01,0,normal_safe
1760012098.725,SAFE,1503.7141768822187,,3.01,0,normal_safe
1760012098.906,SAFE,1503.5706707528875,,3.01,0,normal_safe
1760012099.087,SAFE,1503.5706707528875,,3.01,0,normal_safe
1760012099.268,SAFE,1503.513268301155,,3.01,0,normal_safe
1760012099.449,SAFE,1589.7427106353664,,3.18,0,normal_safe
1760012099.630,SAFE,1553.5070842541465,,3.11,0,normal_safe
1760012099.811,SAFE,1553.5070842541465,,3.11,0,normal_safe
1760012099.992,SAFE,1117.5428337016585,,2.24,0,normal_safe
1760012100.173,SAFE,724.0671334806634,,1.45,0,normal_safe
1760012100.358,BRAKE,561.7268533922654,,1.12,140,dist_or_ttc_below_brake
1760012100.540,BRAKE,492.8007413569061,,0.99,140,dist_or_ttc_below_brake
1760012100.720,BRAKE,462.8902965427624,,0.93,140,dist_or_ttc_below_brake
1760012100.902,BRAKE,452.44667117026296,,0.9,140,dist_or_ttc_below_brake
1760012101.083,BRAKE,452.44667117026296,,0.9,140,dist_or_ttc_below_brake
1760012101.263,BRAKE,453.0280027021578,,0.91,140,dist_or_ttc_below_brake
1760012101.444,BRAKE,453.97680162129467,,0.91,140,dist_or_ttc_below_brake
1760012101.625,BRAKE,455.12608097277683,,0.91,140,dist_or_ttc_below_brake
1760012101.806,BRAKE,455.8456485836661,,0.91,140,dist_or_ttc_below_brake
1760012101.987,BRAKE,456.72738915019966,,0.91,140,dist_or_ttc_below_brake
1760012102.168,BRAKE,457.9964334901198,,0.92,140,dist_or_ttc_below_brake
1760012102.349,BRAKE,457.9964334901198,,0.92,140,dist_or_ttc_below_brake
1760012102.530,BRAKE,458.61786009407183,,0.92,140,dist_or_ttc_below_brake
1760012102.711,BRAKE,460.1102864225772,,0.92,140,dist_or_ttc_below_brake
1760012102.892,BRAKE,713.8061718535463,,1.43,140,tick
1760012103.077,SAFE,948.8637031121277,,1.9,0,brake_release_ok
1760012103.259,SAFE,1097.0782218672766,,2.19,0,normal_safe
1760012103.440,SAFE,1186.2169331203659,,2.37,0,normal_safe
1760012103.621,SAFE,1238.3901598722196,,2.48,0,normal_safe
1760012103.801,SAFE,1267.1140959233317,,2.53,0,normal_safe
1760012103.982,SAFE,1282.928457553999,,2.57,0,normal_safe
1760012104.164,SAFE,1296.0170745323994,,2.59,0,normal_safe
1760012104.345,SAFE,1296.0170745323994,,2.59,0,normal_safe
1760012104.525,SAFE,896.7600978877758,,1.79,0,normal_safe
1760012104.712,BRAKE,481.04403915511034,,0.96,140,dist_or_ttc_below_brake
1760012104.892,BRAKE,458.51761566204414,,0.92,140,dist_or_ttc_below_brake
1760012105.073,BRAKE,310.09704626481766,,0.62,140,dist_or_ttc_below_brake
1760012105.254,BRAKE,252.49881850592703,,0.5,140,dist_or_ttc_below_brake
1760012105.435,BRAKE,227.6895274023708,,0.46,140,dist_or_ttc_below_brake
1760012105.616,BRAKE,227.1408109609483,,0.45,140,dist_or_ttc_below_brake
