ts,state,d_min_mm,ttc_s,target_deg,reason
1760008632.439,SAFE,,,0,no_measure_keep
1760008632.639,BRAKE,157.27499999999998,0.31,140,dist<600
1760008632.839,BRAKE,158.68499999999997,0.32,140,tick
1760008633.040,BRAKE,158.68499999999997,0.32,140,tick
1760008633.240,BRAKE,159.44099999999997,0.32,140,tick
1760008633.440,BRAKE,160.32459999999998,0.32,140,tick
1760008633.641,BRAKE,160.71475999999998,0.32,140,tick
1760008633.841,BRAKE,160.71475999999998,0.32,140,tick
1760008634.041,BRAKE,160.3795424,0.32,140,tick
1760008634.241,BRAKE,159.94181695999998,0.32,140,tick
1760008634.442,BRAKE,159.94181695999998,0.32,140,tick
1760008634.642,BRAKE,160.4320360704,0.32,140,tick
1760008634.842,BRAKE,160.90922164224,0.32,140,tick
1760008635.042,BRAKE,272.545532985344,0.55,140,tick
1760008635.243,BRAKE,676.4873197912063,1.35,140,tick
1760008635.443,SAFE,893.7123918747238,1.79,0,brake_release_ok
1760008635.643,SAFE,1022.2274351248343,2.04,0,tick
1760008635.843,SAFE,1100.0164610749007,2.2,0,tick
1760008636.044,SAFE,1147.3898766449404,2.29,0,tick
1760008636.244,SAFE,1176.1339259869642,2.35,0,tick
1760008636.444,SAFE,1194.1103555921786,2.39,0,tick
1760008636.644,SAFE,1206.2262133553072,2.41,0,tick
1760008636.844,SAFE,1213.0257280131843,2.43,0,tick
1760008637.045,SAFE,1218.9654368079107,2.44,0,tick
1760008637.245,SAFE,1223.2392620847463,2.45,0,tick
1760008637.445,SAFE,1225.4535572508478,2.45,0,tick
1760008637.646,SAFE,1225.4535572508478,2.45,0,tick
1760008637.846,SAFE,791.9468537402034,1.58,0,tick
1760008638.046,BRAKE,553.5087414960814,1.11,140,dist<600
1760008638.247,BRAKE,546.3634965984324,1.09,140,tick
1760008638.447,BRAKE,529.015398639373,1.06,140,tick
1760008638.647,BRAKE,517.5761594557491,1.04,140,tick
1760008638.848,BRAKE,485.8204637822996,0.97,140,tick
1760008639.048,BRAKE,467.8681855129198,0.94,140,tick
1760008639.248,BRAKE,363.3222742051679,0.73,140,tick
1760008639.449,BRAKE,243.57890968206715,0.49,140,tick
1760008639.649,BRAKE,193.25156387282686,0.39,140,tick
1760008639.849,BRAKE,175.06437532947845,0.35,140,tick
1760008640.049,BRAKE,175.06437532947845,0.35,140,tick
1760008640.250,BRAKE,257.3786251976871,0.51,140,tick
1760008640.450,BRAKE,631.7471751186122,1.26,140,tick
1760008640.650,BRAKE,875.3083050711673,1.75,140,tick
1760008640.851,SAFE,1019.0849830427004,2.04,0,brake_release_ok
