ts,state,d_min_mm,v_mps,ttc_s
1760261470.322,SAFE,,0.0,
1760261470.496,SAFE,3041.0,0.0,0.0
1760261470.684,SAFE,3043.0,0.0,0.0
1760261470.870,SAFE,3045.0,0.0,0.0
1760261471.048,SAFE,3054.0,0.0,0.0
1760261471.231,SAFE,3059.0,0.0,0.0
1760261471.412,SAFE,3069.0,0.0,0.0
1760261471.593,SAFE,3083.5,0.0,0.0
1760261471.774,SAFE,3103.5,0.0,0.0
1760261471.949,SAFE,3121.0,0.0,0.0
1760261472.125,SAFE,3137.5,0.0,0.0
1760261472.303,SAFE,3148.0,0.0,0.0
1760261472.481,SAFE,3148.0,0.0,0.0
1760261472.660,SAFE,3148.0,0.0,0.0
1760261472.838,SAFE,3148.0,0.0,0.0
1760261473.016,SAFE,3142.75,0.0,0.0
1760261473.189,SAFE,3142.75,0.0,0.0
1760261473.365,SAFE,3148.0,0.0,0.0
1760261473.540,SAFE,3150.5,0.0,0.0
1760261473.719,SAFE,3153.0,0.0,0.0
1760261473.897,SAFE,3153.25,0.0,0.0
1760261474.075,SAFE,3157.0,0.0,0.0
1760261474.256,SAFE,3160.25,0.0,0.0
1760261474.429,SAFE,3166.0,0.0,0.0
1760261474.602,SAFE,3168.0,0.0,0.0
1760261474.775,SAFE,3168.5,0.0,0.0
1760261474.953,SAFE,3172.0,0.0,0.0
1760261475.132,SAFE,3172.5,0.0,0.0
1760261475.305,SAFE,3176.0,0.0,0.0
1760261475.481,SAFE,3176.0,0.0,0.0
1760261475.661,SAFE,3179.75,0.0,0.0
1760261475.837,SAFE,3179.75,0.0,0.0
1760261476.015,SAFE,303.5,0.0,0.0
1760261476.198,SAFE,247.0,0.0,0.0
1760261476.374,SAFE,238.25,0.0,0.0
1760261476.554,SAFE,232.0,0.0,0.0
1760261476.730,SAFE,229.0,0.0,0.0
1760261476.909,SAFE,229.0,0.0,0.0
1760261477.092,SAFE,229.25,0.0,0.0
1760261477.270,SAFE,229.5,0.0,0.0
1760261477.450,SAFE,233.75,0.0,0.0
1760261477.626,SAFE,253.5,0.0,0.0
1760261477.809,SAFE,311.5,0.0,0.0
1760261477.988,SAFE,3185.0,0.0,0.0
1760261478.164,SAFE,3185.0,0.0,0.0
1760261478.347,SAFE,3178.5,0.0,0.0
1760261478.523,SAFE,3178.5,0.0,0.0
1760261478.698,SAFE,3181.0,0.0,0.0
1760261478.874,SAFE,3182.5,0.0,0.0
1760261479.054,SAFE,3183.0,0.0,0.0
1760261479.240,SAFE,3182.5,0.0,0.0
1760261479.424,SAFE,3181.0,0.0,0.0
1760261479.602,SAFE,3181.0,0.0,0.0
1760261479.782,SAFE,3188.0,0.0,0.0
1760261479.965,SAFE,3189.0,0.0,0.0
1760261480.146,SAFE,3194.25,0.0,0.0
1760261480.314,SAFE,3204.5,0.0,0.0
1760261480.487,SAFE,3229.5,0.0,0.0
1760261480.658,SAFE,3274.0,0.0,0.0
1760261480.834,SAFE,3363.5,0.0,0.0
1760261481.005,SAFE,3474.5,0.0,0.0
1760261481.173,SAFE,3474.5,1.81,1.92
1760261481.344,WARN,3038.0,3.07,0.99
1760261481.520,BRAKE,1359.0,4.57,0.3
1760261481.700,BRAKE,1359.0,5.31,0.26
1760261481.868,BRAKE,1444.5,5.67,0.25
1760261482.046,BRAKE,1444.5,5.77,0.25
1760261482.222,BRAKE,180.0,5.93,0.03
1760261482.402,BRAKE,180.0,5.96,0.03
1760261482.581,BRAKE,2148.5,5.99,0.36
1760261482.751,BRAKE,3027.5,6.0,0.5
1760261482.922,BRAKE,3027.5,6.01,0.5
1760261483.095,BRAKE,2848.5,6.01,0.47
1760261483.264,BRAKE,2741.0,3.07,0.89
1760261483.432,BRAKE,2594.5,4.51,0.58
1760261483.607,BRAKE,2435.0,4.93,0.49
1760261483.778,BRAKE,2042.5,5.43,0.38
1760261483.951,BRAKE,1871.0,5.67,0.33
1760261484.124,BRAKE,1871.0,5.74,0.33
