ts,state,d_min_mm,v_mps,ttc_s
1760273822.709,SAFE,,0.0,
1760273822.890,SAFE,4938.0,0.0,0.0
1760273823.076,SAFE,4929.5,0.0,0.0
1760273823.259,SAFE,4925.0,0.0,0.0
1760273823.445,SAFE,4921.0,0.0,0.0
1760273823.628,SAFE,4925.0,0.0,0.0
1760273823.807,SAFE,4917.5,0.0,0.0
1760273823.985,SAFE,4908.75,0.0,0.0
1760273824.161,SAFE,4908.5,0.0,0.0
1760273824.344,SAFE,4898.25,0.0,0.0
1760273824.517,SAFE,4898.25,0.0,0.0
1760273824.693,SAFE,4904.75,0.0,0.0
1760273824.863,SAFE,4909.5,0.0,0.0
1760273825.039,SAFE,4915.5,0.0,0.0
1760273825.220,SAFE,4915.5,0.0,0.0
1760273825.395,SAFE,4900.25,0.0,0.0
1760273825.573,SAFE,4865.25,0.0,0.0
1760273825.747,SAFE,1077.0,0.0,0.0
1760273825.918,SAFE,1065.5,0.0,0.0
1760273826.088,SAFE,986.0,0.0,0.0
1760273826.261,SAFE,894.5,0.0,0.0
1760273826.435,SAFE,814.5,0.0,0.0
1760273826.618,SAFE,814.5,0.0,0.0
1760273826.794,SAFE,4915.25,0.0,0.0
1760273826.979,SAFE,4915.75,0.0,0.0
1760273827.157,SAFE,4915.25,0.0,0.0
1760273827.333,SAFE,4899.75,0.0,0.0
1760273827.514,SAFE,4896.75,0.0,0.0
1760273827.695,SAFE,4890.75,0.0,0.0
1760273827.870,SAFE,4569.0,0.0,0.0
1760273828.044,SAFE,4430.5,0.0,0.0
1760273828.214,SAFE,4040.0,0.0,0.0
1760273828.387,SAFE,3866.5,0.0,0.0
1760273828.565,SAFE,3761.5,0.0,0.0
1760273828.743,SAFE,3714.0,0.0,0.0
1760273828.919,SAFE,2635.0,0.0,0.0
1760273829.095,SAFE,1956.5,0.0,0.0
1760273829.273,SAFE,1639.0,0.0,0.0
1760273829.441,SAFE,1544.5,0.0,0.0
1760273829.617,SAFE,1325.5,0.0,0.0
1760273829.790,SAFE,1275.5,0.0,0.0
1760273829.966,SAFE,1275.5,0.0,0.0
1760273830.134,SAFE,1315.0,0.41,3.21
1760273830.307,SAFE,1404.0,0.41,3.42
1760273830.475,SAFE,1486.0,0.41,3.62
1760273830.653,SAFE,1579.5,0.41,3.85
1760273830.829,SAFE,1683.5,0.41,4.11
1760273831.010,SAFE,1763.0,0.41,4.3
1760273831.180,SAFE,1825.0,0.41,4.45
1760273831.351,SAFE,1981.5,0.41,4.83
1760273831.524,SAFE,2111.5,0.41,5.15
1760273831.695,SAFE,2285.0,0.41,5.57
1760273831.863,SAFE,2904.5,0.41,6.0
1760273832.032,SAFE,3036.0,0.41,6.0
1760273832.202,SAFE,3103.5,0.41,6.0
1760273832.383,SAFE,3169.0,0.41,6.0
1760273832.561,SAFE,3232.0,0.41,6.0
1760273832.732,SAFE,3247.0,0.41,6.0
1760273832.910,SAFE,3265.5,0.41,6.0
1760273833.083,SAFE,3346.0,0.41,6.0
1760273833.256,SAFE,3360.0,0.0,0.0
1760273833.427,SAFE,3360.0,0.0,0.0
1760273833.595,SAFE,3315.0,0.0,0.0
1760273833.771,SAFE,3262.0,0.0,0.0
1760273833.939,SAFE,3194.0,0.0,0.0
1760273834.110,SAFE,2597.5,0.0,0.0
1760273834.283,SAFE,2423.5,0.0,0.0
1760273834.459,SAFE,2146.5,0.0,0.0
1760273834.629,SAFE,2093.5,0.0,0.0
1760273834.803,SAFE,2093.5,0.0,0.0
1760273834.975,SAFE,2136.0,0.0,0.0
1760273835.154,SAFE,2207.5,0.0,0.0
1760273835.325,SAFE,2287.0,0.0,0.0
1760273835.500,SAFE,2465.0,0.0,0.0
1760273835.671,SAFE,3088.0,0.0,0.0
1760273835.844,SAFE,4606.5,0.0,0.0
1760273836.015,SAFE,5052.5,0.0,0.0
1760273836.183,SAFE,5052.5,0.82,6.0
1760273836.359,WARN,1242.5,0.82,1.52
1760273836.529,WARN,1185.0,0.82,1.45
1760273836.702,WARN,1162.0,0.82,1.42
1760273836.881,WARN,1105.5,0.82,1.35
1760273837.052,WARN,1105.5,0.82,1.35
1760273837.236,SAFE,2885.0,0.0,0.0
1760273837.407,SAFE,3148.5,0.0,0.0
1760273837.578,SAFE,3460.0,0.0,0.0
1760273837.744,SAFE,3705.0,0.0,0.0
1760273837.909,SAFE,3705.0,0.0,0.0
1760273838.073,SAFE,3649.5,0.0,0.0
1760273838.241,SAFE,3617.5,0.0,0.0
1760273838.404,SAFE,3585.5,0.0,0.0
1760273838.570,SAFE,3274.0,0.0,0.0
1760273838.743,SAFE,3084.5,0.0,0.0
1760273838.909,SAFE,898.5,0.0,0.0
1760273839.078,BRAKE,898.5,0.82,1.1
1760273839.242,BRAKE,1298.5,0.82,1.58
1760273839.420,SAFE,5615.0,0.82,6.0
1760273839.579,SAFE,5615.0,0.82,6.0
1760273839.742,SAFE,5427.5,0.82,6.0
1760273839.905,SAFE,5360.5,0.82,6.0
1760273840.068,SAFE,5200.5,0.82,6.0
1760273840.237,SAFE,2783.5,0.82,3.39
1760273840.400,SAFE,2783.5,0.82,3.39
1760273840.570,SAFE,4597.5,0.82,5.61
1760273840.739,SAFE,4597.5,0.82,5.61
1760273840.906,SAFE,4418.0,0.82,5.39
1760273841.070,SAFE,4135.5,0.82,5.04
1760273841.238,SAFE,3790.5,2.04,1.86
1760273841.401,SAFE,3547.5,2.04,1.74
1760273841.569,WARN,3247.0,2.04,1.59
1760273841.735,WARN,2885.0,2.04,1.41
1760273841.913,WARN,2687.5,2.04,1.32
1760273842.078,BRAKE,2416.5,2.04,1.18
1760273842.237,BRAKE,2115.5,1.22,1.73
1760273842.402,SAFE,1949.0,1.22,1.6
