ts,state,d_min_mm,v_mps,ttc_s
1760269353.758,SAFE,,0.0,
1760269353.921,SAFE,2847.5,0.0,0.0
1760269354.102,SAFE,2844.375,0.0,0.0
1760269354.283,SAFE,2847.5,0.0,0.0
1760269354.461,SAFE,2841.25,0.0,0.0
1760269354.639,SAFE,2849.25,0.0,0.0
1760269354.812,SAFE,2844.0,0.0,0.0
1760269354.988,SAFE,2848.0,0.0,0.0
1760269355.161,SAFE,2844.0,0.0,0.0
1760269355.329,SAFE,2848.0,0.0,0.0
1760269355.505,SAFE,2843.5,0.0,0.0
1760269355.676,SAFE,2843.5,0.0,0.0
1760269355.846,SAFE,2843.5,0.0,0.0
1760269356.024,SAFE,2843.5,1.62,1.76
1760269356.197,SAFE,2843.75,2.22,1.28
1760269356.373,WARN,2844.75,2.55,1.12
1760269356.549,WARN,2844.75,2.61,1.09
1760269356.725,SAFE,2845.0,1.05,2.71
1760269356.898,SAFE,2844.25,0.42,6.0
1760269357.074,SAFE,2843.25,0.07,6.0
1760269357.242,SAFE,2843.0,0.01,0.0
1760269357.415,SAFE,2843.25,0.0,0.0
1760269357.589,SAFE,2843.0,0.0,0.0
1760269357.761,SAFE,2845.75,0.0,0.0
1760269357.929,SAFE,2845.75,0.0,0.0
1760269358.098,SAFE,2847.5,0.0,0.0
1760269358.269,SAFE,2847.5,0.0,0.0
1760269358.437,SAFE,2847.25,0.17,6.0
1760269358.607,SAFE,2846.0,1.0,2.85
1760269358.781,SAFE,2846.5,1.07,2.66
1760269358.951,SAFE,2846.25,1.1,2.59
1760269359.122,SAFE,2846.5,1.08,2.64
1760269359.295,SAFE,2847.0,1.08,2.64
1760269359.471,SAFE,2847.75,1.07,2.66
1760269359.641,SAFE,2848.0,1.06,2.69
1760269359.814,SAFE,2848.0,1.07,2.66
1760269359.988,SAFE,2848.0,1.07,2.66
1760269360.161,SAFE,2849.0,1.07,2.66
1760269360.329,SAFE,2848.75,1.07,2.66
1760269360.505,SAFE,2848.75,1.07,2.66
1760269360.675,SAFE,2848.75,1.06,2.69
1760269360.846,SAFE,2846.5,1.07,2.66
1760269361.019,SAFE,2849.25,1.06,2.69
1760269361.195,SAFE,2846.5,1.06,2.69
1760269361.361,SAFE,2846.0,1.06,2.68
1760269361.534,SAFE,2846.0,1.06,2.68
1760269361.707,SAFE,2847.0,1.07,2.66
1760269361.877,SAFE,2847.0,1.07,2.66
1760269362.046,SAFE,2847.0,1.06,2.69
1760269362.216,SAFE,2847.25,1.06,2.69
1760269362.387,SAFE,2847.25,1.06,2.69
1760269362.555,SAFE,2846.75,1.06,2.69
1760269362.723,SAFE,2846.75,1.06,2.69
