ts,state,d_min_mm,v_mps,ttc_s,target_deg,reason,corner_active,corner_score
1760016226.049,WARN,144.5,0.0,0.0,100,stop_mode_warn,False,0.0
1760016226.260,SAFE,371.5,0.0,0.0,0,stop_mode_safe,False,2.1908333333333334
1760016226.463,SAFE,366.5,0.0,0.0,0,stop_mode_safe,False,1.7575
1760016226.669,SAFE,415.5,0.0,0.0,0,stop_mode_safe,False,1.2291666666666667
1760016226.872,SAFE,1576.5,0.0,0.0,0,stop_mode_safe,False,1.2783333333333333
1760016227.061,SAFE,1559.0,0.0,0.0,0,stop_mode_safe,False,2.14
1760016227.245,SAFE,1559.75,0.0,0.0,0,stop_mode_safe,False,1.6275
1760016227.426,SAFE,1550.5,0.0,0.0,0,stop_mode_safe,False,1.9516666666666667
1760016227.607,SAFE,1545.0,0.0,0.0,0,stop_mode_safe,False,1.59875
1760016227.783,SAFE,620.5,0.0,0.0,0,stop_mode_safe,False,1.7491666666666668
1760016227.952,WARN,209.5,0.0,0.0,100,stop_mode_warn,False,1.9516666666666667
1760016228.124,WARN,190.0,0.0,0.0,100,stop_mode_warn,False,1.3541666666666667
1760016228.295,WARN,184.5,0.0,0.0,100,stop_mode_warn,False,1.3291666666666666
1760016228.461,WARN,185.5,0.0,0.0,100,stop_mode_warn,False,1.315
1760016228.629,WARN,186.25,0.0,0.0,100,stop_mode_warn,False,1.33125
1760016228.803,WARN,187.25,0.0,0.0,100,stop_mode_warn,False,1.33625
1760016228.974,WARN,188.25,0.0,0.0,100,stop_mode_warn,False,1.3379166666666666
1760016229.140,WARN,188.25,0.0,0.0,100,stop_mode_warn,False,1.3329166666666667
1760016229.314,WARN,189.75,0.0,0.0,100,stop_mode_warn,False,1.3283333333333334
1760016229.482,WARN,190.0,0.0,0.0,100,stop_mode_warn,False,1.3279166666666666
1760016229.653,WARN,187.25,0.0,0.0,100,stop_mode_warn,False,1.315
1760016229.824,WARN,193.5,0.0,0.0,100,stop_mode_warn,False,1.3170833333333334
1760016229.995,WARN,184.0,0.0,0.0,100,stop_mode_warn,False,1.3145833333333332
1760016230.166,WARN,189.25,0.0,0.0,100,stop_mode_warn,False,1.3283333333333334
1760016230.333,WARN,204.5,0.0,0.0,100,stop_mode_warn,False,1.4283333333333332
1760016230.507,WARN,260.0,0.0,0.0,100,stop_mode_warn,False,1.7575
1760016230.673,SAFE,1016.5,0.0,0.0,0,stop_mode_safe,False,1.5808333333333333
1760016230.831,SAFE,1400.5,0.0,0.0,0,stop_mode_safe,False,1.0116666666666667
1760016230.997,SAFE,1397.0,0.0,0.0,0,stop_mode_safe,False,1.0091666666666668
1760016231.155,SAFE,1393.5,0.0,0.0,0,stop_mode_safe,False,1.0141666666666667
1760016231.321,SAFE,1394.5,0.0,0.0,0,stop_mode_safe,False,1.02125
1760016231.492,SAFE,1403.25,0.0,0.0,0,stop_mode_safe,False,1.0241666666666667
1760016231.668,SAFE,1842.5,0.0,0.0,0,stop_mode_safe,False,1.0670833333333334
1760016231.861,SAFE,884.0,0.0,0.0,0,stop_mode_safe,False,2.1075
1760016232.060,WARN,133.0,0.0,0.0,100,stop_mode_warn,False,1.67
1760016232.251,WARN,124.0,0.0,0.0,100,stop_mode_warn,False,1.6858333333333333
1760016232.437,WARN,126.0,0.0,0.0,100,stop_mode_warn,False,1.8091666666666666
1760016232.625,SAFE,693.75,0.0,0.0,0,stop_mode_safe,False,1.2716666666666667
1760016232.812,WARN,205.5,0.0,0.0,100,stop_mode_warn,False,1.3004166666666666
1760016233.010,WARN,222.0,0.0,0.0,100,stop_mode_warn,False,1.3075
1760016233.208,WARN,233.0,0.0,0.0,100,stop_mode_warn,False,1.3391666666666666
1760016233.409,WARN,221.5,0.0,0.0,100,stop_mode_warn,False,1.5208333333333333
1760016233.610,WARN,191.0,0.0,0.0,100,stop_mode_warn,False,1.0
1760016233.816,WARN,191.5,0.0,0.0,100,stop_mode_warn,False,1.0141666666666667
1760016234.012,WARN,203.0,0.0,0.0,100,stop_mode_warn,False,1.0141666666666667
1760016234.208,WARN,197.5,0.0,0.0,100,stop_mode_warn,False,1.0191666666666666
1760016234.405,WARN,194.75,0.0,0.0,100,stop_mode_warn,False,1.0116666666666667
1760016234.606,WARN,128.5,0.0,0.0,100,stop_mode_warn,False,1.0595833333333333
1760016234.804,WARN,125.5,0.0,0.0,100,stop_mode_warn,False,1.03875
1760016234.998,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,2.0666666666666664
1760016235.194,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.5720833333333335
1760016235.390,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.5758333333333332
1760016235.583,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.5741666666666667
1760016235.775,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.5775000000000001
1760016235.970,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.5729166666666665
1760016236.159,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.5854166666666667
1760016236.352,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.5766666666666667
1760016236.548,WARN,124.25,0.0,0.0,100,stop_mode_warn,False,1.5633333333333335
1760016236.737,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.7429166666666667
1760016236.933,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,2.06
1760016237.129,WARN,125.75,0.0,0.0,100,stop_mode_warn,False,1.5808333333333333
1760016237.325,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.5791666666666666
1760016237.518,WARN,124.25,0.0,0.0,100,stop_mode_warn,False,1.5733333333333333
1760016237.714,WARN,124.25,0.0,0.0,100,stop_mode_warn,False,1.5733333333333333
1760016237.905,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.5720833333333335
1760016238.102,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.5920833333333333
1760016238.294,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.5954166666666667
1760016238.483,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.5945833333333335
1760016238.672,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.5891666666666666
1760016238.868,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.5991666666666666
1760016239.057,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.5945833333333335
1760016239.250,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.595
1760016239.441,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.59125
1760016239.629,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.5904166666666666
1760016239.823,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.5945833333333335
1760016240.016,WARN,124.5,0.0,0.0,100,stop_mode_warn,False,1.59125
1760016240.213,WARN,124.25,0.0,0.0,100,stop_mode_warn,False,1.5983333333333334
1760016240.409,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.7375
1760016240.605,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.1908333333333334
1760016240.801,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.1816666666666666
1760016240.994,WARN,125.5,0.0,0.0,100,stop_mode_warn,False,1.1554166666666668
1760016241.185,WARN,125.5,0.0,0.0,100,stop_mode_warn,False,1.1483333333333334
1760016241.374,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.1483333333333334
1760016241.559,WARN,125.75,0.0,0.0,100,stop_mode_warn,False,1.1266666666666667
1760016241.753,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.1325
1760016241.947,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.1266666666666667
1760016242.135,WARN,125.5,0.0,0.0,100,stop_mode_warn,False,1.1216666666666666
1760016242.329,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.1266666666666667
1760016242.519,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.1395833333333334
1760016242.718,WARN,126.0,0.0,0.0,100,stop_mode_warn,False,1.1375
1760016242.914,WARN,125.0,0.0,0.0,100,stop_mode_warn,False,1.1420833333333333
1760016243.108,WARN,129.5,0.0,0.0,100,stop_mode_warn,False,1.1529166666666666
1760016243.304,WARN,125.75,0.0,0.0,100,stop_mode_warn,False,1.1504166666666666
1760016243.497,WARN,126.25,0.0,0.0,100,stop_mode_warn,False,1.1391666666666667
1760016243.698,WARN,126.5,0.0,0.0,100,stop_mode_warn,False,1.17
1760016243.892,WARN,126.5,0.0,0.0,100,stop_mode_warn,False,1.1729166666666666
1760016244.083,WARN,126.5,0.0,0.0,100,stop_mode_warn,False,1.165
1760016244.276,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.1275
1760016244.465,WARN,126.0,0.0,0.0,100,stop_mode_warn,False,1.1545833333333333
1760016244.661,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.1270833333333332
1760016244.852,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.1533333333333333
1760016245.042,WARN,126.5,0.0,0.0,100,stop_mode_warn,False,1.1445833333333333
1760016245.237,WARN,126.0,0.0,0.0,100,stop_mode_warn,False,1.12375
1760016245.425,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.1241666666666668
1760016245.621,WARN,126.0,0.0,0.0,100,stop_mode_warn,False,1.1166666666666667
1760016245.815,WARN,125.25,0.0,0.0,100,stop_mode_warn,False,1.1158333333333332
1760016246.009,SAFE,308.0,0.0,0.0,0,stop_mode_safe,False,1.1216666666666666
1760016246.202,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.12125
1760016246.393,WARN,126.5,0.0,0.0,100,stop_mode_warn,False,1.125
1760016246.583,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.1208333333333333
1760016246.777,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.1204166666666666
1760016246.963,WARN,127.75,0.0,0.0,100,stop_mode_warn,False,1.12125
1760016247.156,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.1216666666666666
1760016247.347,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.1220833333333333
1760016247.536,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.1245833333333333
1760016247.723,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.1208333333333333
1760016247.914,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.1191666666666666
1760016248.106,WARN,124.25,0.0,0.0,100,stop_mode_warn,False,1.1179166666666667
1760016248.298,WARN,128.75,0.0,0.0,100,stop_mode_warn,False,1.115
1760016248.489,WARN,127.75,0.0,0.0,100,stop_mode_warn,False,1.1158333333333332
1760016248.677,WARN,127.75,0.0,0.0,100,stop_mode_warn,False,1.1125
1760016248.861,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.1145833333333333
1760016249.047,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.1145833333333333
1760016249.236,WARN,127.75,0.0,0.0,100,stop_mode_warn,False,1.11125
1760016249.424,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.1175
1760016249.613,WARN,125.5,0.0,0.0,100,stop_mode_warn,False,1.1129166666666666
1760016249.803,SAFE,305.75,0.0,0.0,0,stop_mode_safe,False,1.1120833333333333
1760016249.990,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.1129166666666666
1760016250.180,WARN,127.5,0.0,0.0,100,stop_mode_warn,False,1.11375
1760016250.374,WARN,127.5,0.0,0.0,100,stop_mode_warn,False,1.1158333333333332
1760016250.557,WARN,127.5,0.0,0.0,100,stop_mode_warn,False,1.1145833333333333
1760016250.744,WARN,127.5,0.0,0.0,100,stop_mode_warn,False,1.1129166666666666
1760016250.931,WARN,127.75,0.0,0.0,100,stop_mode_warn,False,1.1145833333333333
1760016251.117,WARN,126.5,0.0,0.0,100,stop_mode_warn,False,1.1129166666666666
1760016251.311,WARN,125.5,0.0,0.0,100,stop_mode_warn,False,1.1125
1760016251.498,SAFE,312.0,0.0,0.0,0,stop_mode_safe,False,1.1133333333333333
1760016251.688,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.1145833333333333
1760016251.878,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.1108333333333333
1760016252.062,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.1116666666666666
1760016252.253,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.1095833333333334
1760016252.439,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.1066666666666667
1760016252.627,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.10625
1760016252.813,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.11
1760016253.004,WARN,124.75,0.0,0.0,100,stop_mode_warn,False,1.1079166666666667
1760016253.191,SAFE,314.25,0.0,0.0,0,stop_mode_safe,False,1.1116666666666666
1760016253.379,WARN,127.75,0.0,0.0,100,stop_mode_warn,False,1.1129166666666666
1760016253.567,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.11
1760016253.756,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.10875
1760016253.939,WARN,127.5,0.0,0.0,100,stop_mode_warn,False,1.1116666666666666
1760016254.130,WARN,127.5,0.0,0.0,100,stop_mode_warn,False,1.11
1760016254.318,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.11
1760016254.509,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.1108333333333333
1760016254.701,WARN,129.25,0.0,0.0,100,stop_mode_warn,False,1.11375
1760016254.889,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.1116666666666666
1760016255.078,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.1120833333333333
1760016255.268,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.1129166666666666
1760016255.455,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.11125
1760016255.636,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.10875
1760016255.829,WARN,127.0,0.0,0.0,100,stop_mode_warn,False,1.1083333333333334
1760016256.013,WARN,126.5,0.0,0.0,100,stop_mode_warn,False,1.1108333333333333
1760016256.201,WARN,123.5,0.0,0.0,100,stop_mode_warn,False,1.1095833333333334
1760016256.392,WARN,129.75,0.0,0.0,100,stop_mode_warn,False,1.11125
1760016256.583,WARN,126.75,0.0,0.0,100,stop_mode_warn,False,1.11
1760016256.772,WARN,127.25,0.0,0.0,100,stop_mode_warn,False,1.1129166666666666
