ts,state,d_min_mm,ttc_s,target_deg,reason
1759987486.596,SAFE,,,0,no_measure_keep
1759987486.782,BRAKE,157.27499999999998,0.31,140,dist<600
1759987486.964,BRAKE,158.68499999999997,0.32,140,tick
1759987487.145,BRAKE,158.68499999999997,0.32,140,tick
1759987487.325,BRAKE,159.44099999999997,0.32,140,tick
1759987487.506,BRAKE,160.32459999999998,0.32,140,tick
1759987487.687,BRAKE,160.71475999999998,0.32,140,tick
1759987487.868,BRAKE,160.71475999999998,0.32,140,tick
1759987488.049,BRAKE,160.3795424,0.32,140,tick
1759987488.230,BRAKE,159.94181695999998,0.32,140,tick
1759987488.411,BRAKE,159.94181695999998,0.32,140,tick
1759987488.592,BRAKE,160.4320360704,0.32,140,tick
1759987488.773,BRAKE,160.90922164224,0.32,140,tick
1759987488.954,BRAKE,272.545532985344,0.55,140,tick
1759987489.135,BRAKE,676.4873197912063,1.35,140,tick
1759987489.321,SAFE,893.7123918747238,1.79,0,brake_release_ok
1759987489.502,SAFE,1022.2274351248343,2.04,0,tick
1759987489.683,SAFE,1100.0164610749007,2.2,0,tick
1759987489.864,SAFE,1147.3898766449404,2.29,0,tick
1759987490.045,SAFE,1176.1339259869642,2.35,0,tick
1759987490.226,SAFE,1194.1103555921786,2.39,0,tick
1759987490.407,SAFE,1206.2262133553072,2.41,0,tick
1759987490.588,SAFE,1213.0257280131843,2.43,0,tick
1759987490.769,SAFE,1218.9654368079107,2.44,0,tick
1759987490.949,SAFE,1223.2392620847463,2.45,0,tick
1759987491.130,SAFE,1225.4535572508478,2.45,0,tick
1759987491.311,SAFE,1225.4535572508478,2.45,0,tick
1759987491.493,SAFE,791.9468537402034,1.58,0,tick
1759987491.678,BRAKE,553.5087414960814,1.11,140,dist<600
1759987491.859,BRAKE,546.3634965984324,1.09,140,tick
1759987492.040,BRAKE,529.015398639373,1.06,140,tick
1759987492.221,BRAKE,517.5761594557491,1.04,140,tick
1759987492.402,BRAKE,485.8204637822996,0.97,140,tick
1759987492.583,BRAKE,467.8681855129198,0.94,140,tick
1759987492.764,BRAKE,363.3222742051679,0.73,140,tick
1759987492.945,BRAKE,243.57890968206715,0.49,140,tick
1759987493.126,BRAKE,193.25156387282686,0.39,140,tick
1759987493.307,BRAKE,175.06437532947845,0.35,140,tick
1759987493.488,BRAKE,175.06437532947845,0.35,140,tick
1759987493.669,BRAKE,257.3786251976871,0.51,140,tick
1759987493.850,BRAKE,631.7471751186122,1.26,140,tick
1759987494.031,BRAKE,875.3083050711673,1.75,140,tick
1759987494.216,SAFE,1019.0849830427004,2.04,0,brake_release_ok
1759987494.398,SAFE,1096.6709898256202,2.19,0,tick
1759987494.578,SAFE,1162.672593895372,2.33,0,tick
1759987494.759,SAFE,1192.0335563372232,2.38,0,tick
1759987494.940,SAFE,1210.0701338023339,2.42,0,tick
1759987495.121,SAFE,1220.9020802814005,2.44,0,tick
1759987495.302,SAFE,1228.4812481688402,2.46,0,tick
1759987495.483,SAFE,1232.5287489013042,2.47,0,tick
1759987495.664,SAFE,1238.7572493407824,2.48,0,tick
1759987495.845,SAFE,1241.5943496044695,2.48,0,tick
1759987496.026,SAFE,1241.5943496044695,2.48,0,tick
1759987496.207,SAFE,1214.9046439050726,2.43,0,tick
1759987496.388,SAFE,712.791857562029,1.43,0,tick
1759987496.573,BRAKE,487.22674302481164,0.97,140,dist<600
1759987496.755,BRAKE,480.58069720992467,0.96,140,tick
1759987496.936,BRAKE,321.1272788839699,0.64,140,tick
1759987497.117,BRAKE,245.12091155358797,0.49,140,tick
1759987497.298,BRAKE,212.28836462143516,0.42,140,tick
1759987497.479,BRAKE,192.34534584857406,0.38,140,tick
1759987497.660,BRAKE,174.91813833942962,0.35,140,tick
1759987497.841,BRAKE,157.6603532014631,0.32,140,tick
1759987498.021,BRAKE,157.26414128058525,0.31,140,tick
1759987498.203,BRAKE,157.26414128058525,0.31,140,tick
1759987498.383,BRAKE,157.26414128058525,0.31,140,tick
1759987498.564,BRAKE,157.39639390734047,0.31,140,tick
1759987498.745,BRAKE,157.45783634440429,0.31,140,tick
1759987498.926,BRAKE,157.45783634440429,0.31,140,tick
1759987499.107,BRAKE,157.49470180664255,0.31,140,tick
1759987499.288,BRAKE,158.65149137343766,0.32,140,tick
1759987499.469,BRAKE,159.4037284335942,0.32,140,tick
1759987499.650,BRAKE,158.77335792962504,0.32,140,tick
1759987499.831,BRAKE,158.77335792962504,0.32,140,tick
1759987500.012,BRAKE,158.77335792962504,0.32,140,tick
1759987500.193,BRAKE,158.29924236124398,0.32,140,tick
1759987500.374,BRAKE,158.29924236124398,0.32,140,tick
1759987500.555,BRAKE,157.34481816669856,0.31,140,tick
1759987500.736,BRAKE,157.3246969444976,0.31,140,tick
1759987500.917,BRAKE,157.34481816669856,0.31,140,tick
1759987501.097,BRAKE,158.98875636000764,0.32,140,tick
1759987501.278,BRAKE,158.98875636000764,0.32,140,tick
1759987501.459,BRAKE,158.15730152640182,0.32,140,tick
1759987501.640,BRAKE,157.49292061056073,0.31,140,tick
1759987501.822,BRAKE,157.49292061056073,0.31,140,tick
