ts,state,d_min_mm,v_mps,ttc_s
1760257982.185,SAFE,,0.0,
1760257982.356,SAFE,360.0,0.0,0.0
1760257982.534,SAFE,1637.625,0.0,0.0
1760257982.710,SAFE,2915.25,0.0,0.0
1760257982.880,SAFE,2919.0,0.0,0.0
1760257983.052,SAFE,2919.25,0.0,0.0
1760257983.222,SAFE,2923.5,0.0,0.0
1760257983.393,SAFE,2925.75,0.0,0.0
1760257983.561,SAFE,2926.0,0.0,0.0
1760257983.729,SAFE,2928.25,0.0,0.0
1760257983.900,SAFE,2928.25,0.0,0.0
1760257984.068,SAFE,2928.25,0.0,0.0
1760257984.236,SAFE,2925.5,0.0,0.0
1760257984.409,SAFE,2916.0,0.0,0.0
1760257984.575,SAFE,2911.0,0.0,0.0
1760257984.743,SAFE,2911.0,0.0,0.0
1760257984.916,BRAKE,2932.0,8.41,0.35
1760257985.082,BRAKE,2952.5,1.5,1.97
1760257985.255,SAFE,2996.0,0.41,6.0
1760257985.426,SAFE,3047.0,0.11,6.0
1760257985.601,SAFE,3077.5,0.02,0.0
1760257985.775,SAFE,3086.0,0.0,0.0
1760257985.945,SAFE,3086.0,0.0,0.0
1760257986.121,SAFE,3065.5,0.0,0.0
1760257986.289,SAFE,3029.0,0.0,0.0
1760257986.461,BRAKE,2998.0,7.84,0.38
1760257986.631,BRAKE,2955.75,3.55,0.83
1760257986.798,SAFE,2905.0,0.98,2.96
1760257986.964,SAFE,2871.5,0.27,6.0
1760257987.135,SAFE,2846.5,0.05,0.0
1760257987.316,SAFE,2841.0,0.01,0.0
1760257987.492,SAFE,2841.0,0.0,0.0
1760257987.665,BRAKE,2854.0,7.84,0.36
1760257987.833,BRAKE,2883.0,18.4,0.16
1760257988.006,BRAKE,2937.0,13.46,0.22
1760257988.179,BRAKE,2988.0,3.7,0.81
1760257988.355,SAFE,3043.5,0.66,4.61
1760257988.521,SAFE,3053.5,0.12,6.0
1760257988.693,SAFE,3055.75,0.03,0.0
1760257988.869,SAFE,3053.5,0.01,0.0
1760257989.040,SAFE,3042.75,0.0,0.0
1760257989.218,SAFE,3033.0,0.0,0.0
1760257989.394,SAFE,3033.0,0.0,0.0
1760257989.572,SAFE,3033.0,0.0,0.0
1760257989.740,SAFE,3035.5,0.0,0.0
1760257989.913,SAFE,3053.0,0.0,0.0
1760257990.084,SAFE,3067.0,0.0,0.0
1760257990.257,SAFE,3096.5,0.0,0.0
1760257990.435,SAFE,3101.5,0.0,0.0
1760257990.611,SAFE,3127.5,0.0,0.0
1760257990.784,SAFE,3156.0,0.0,0.0
1760257990.955,SAFE,3536.5,0.0,0.0
1760257991.123,SAFE,3844.5,0.0,0.0
1760257991.297,SAFE,3844.5,0.0,0.0
1760257991.470,SAFE,452.5,0.0,0.0
1760257991.645,SAFE,420.5,0.0,0.0
1760257991.826,SAFE,420.5,0.0,0.0
1760257992.002,SAFE,416.0,0.0,0.0
1760257992.177,SAFE,321.5,0.0,0.0
1760257992.361,CORNER,321.5,0.0,0.0
1760257992.531,CORNER,348.0,0.0,0.0
1760257992.709,CORNER,1005.5,0.0,0.0
1760257992.890,CORNER,1089.0,0.0,0.0
1760257993.073,CORNER,1107.5,7.84,0.14
1760257993.249,CORNER,1162.0,5.47,0.21
1760257993.433,BRAKE,3542.5,14.44,0.25
1760257993.600,BRAKE,3568.0,2.58,1.38
