ts,state,d_min_mm,v_mps,ttc_s
1760261961.232,SAFE,,0.0,
1760261961.403,SAFE,2783.5,0.0,0.0
1760261961.586,SAFE,2784.0,0.0,0.0
1760261961.764,SAFE,2784.0,0.0,0.0
1760261961.947,SAFE,2784.0,0.0,0.0
1760261962.123,SAFE,2782.0,0.0,0.0
1760261962.301,SAFE,2781.0,0.0,0.0
1760261962.475,SAFE,2781.0,0.0,0.0
1760261962.643,SAFE,2784.5,0.0,0.0
1760261962.816,SAFE,2832.5,0.0,0.0
1760261962.989,SAFE,2887.5,0.0,0.0
1760261963.162,SAFE,2928.0,0.0,0.0
1760261963.336,SAFE,2972.0,0.06,6.0
1760261963.513,SAFE,2988.5,0.1,6.0
1760261963.689,SAFE,3031.5,0.16,6.0
1760261963.865,SAFE,3659.0,0.18,6.0
1760261964.038,SAFE,3659.0,0.19,6.0
1760261964.214,SAFE,1376.5,0.2,6.0
1760261964.387,SAFE,1376.5,0.2,6.0
1760261964.563,SAFE,1356.0,0.2,6.0
1760261964.746,BRAKE,354.5,0.2,1.77
1760261964.926,BRAKE,332.0,0.2,1.66
1760261965.109,BRAKE,354.5,0.2,1.77
1760261965.285,BRAKE,3590.0,1.0,3.59
1760261965.474,SAFE,3652.0,1.94,1.88
1760261965.649,SAFE,3652.0,2.4,1.52
1760261965.825,SAFE,3639.0,2.62,1.39
1760261966.003,SAFE,3500.5,2.73,1.28
1760261966.179,WARN,2869.0,2.77,1.04
1760261966.347,SAFE,2832.5,1.46,1.94
1760261966.523,SAFE,2832.5,1.08,2.62
1760261966.696,SAFE,2751.5,0.63,4.37
1760261966.874,BRAKE,441.25,0.42,1.05
1760261967.045,BRAKE,419.0,0.31,1.35
1760261967.215,BRAKE,419.0,1.32,0.32
1760261967.386,BRAKE,431.0,2.52,0.17
1760261967.562,BRAKE,957.5,3.11,0.31
1760261967.742,BRAKE,957.5,3.4,0.28
1760261967.923,BRAKE,957.5,3.54,0.27
1760261968.111,BRAKE,1500.5,3.58,0.42
1760261968.299,BRAKE,1639.0,3.63,0.45
1760261968.483,BRAKE,2668.0,3.65,0.73
1760261968.684,SAFE,2668.0,3.66,0.73
1760261968.867,WARN,2331.5,3.67,0.64
1760261969.058,WARN,2137.0,2.63,0.81
1760261969.243,SAFE,2070.0,1.39,1.49
1760261969.426,SAFE,2070.0,0.79,2.62
1760261969.604,SAFE,2144.5,0.49,4.38
1760261969.776,SAFE,2436.5,0.4,6.0
1760261969.949,SAFE,2436.5,0.33,6.0
1760261970.124,SAFE,2365.5,0.3,6.0
1760261970.302,SAFE,1198.5,0.28,4.28
1760261970.468,SAFE,1198.5,0.4,3.0
1760261970.639,SAFE,1192.0,0.46,2.59
1760261970.804,SAFE,1192.0,0.47,2.54
1760261970.968,SAFE,1209.0,0.49,2.47
1760261971.141,SAFE,1224.75,0.56,2.19
1760261971.316,SAFE,1286.5,0.62,2.08
1760261971.477,SAFE,3467.0,0.65,5.33
1760261971.643,SAFE,3467.0,0.68,5.1
1760261971.819,SAFE,3242.0,0.68,4.77
1760261971.997,SAFE,2889.5,0.68,4.25
1760261972.180,SAFE,2518.0,0.68,3.7
1760261972.360,SAFE,2186.0,0.65,3.36
1760261972.531,SAFE,1846.5,0.63,2.93
1760261972.707,SAFE,1718.5,0.59,2.91
1760261972.880,WARN,1520.5,1.81,0.84
1760261973.062,BRAKE,1343.5,3.27,0.41
1760261973.229,BRAKE,1195.0,3.69,0.32
1760261973.400,BRAKE,1149.0,4.19,0.27
1760261973.567,BRAKE,1081.5,4.43,0.24
1760261973.736,BRAKE,1041.5,4.55,0.23
1760261973.899,BRAKE,1020.0,4.59,0.22
1760261974.062,BRAKE,1019.5,4.63,0.22
1760261974.225,BRAKE,1019.5,4.65,0.22
1760261974.386,BRAKE,1029.0,4.65,0.22
1760261974.556,BRAKE,1044.0,4.66,0.22
1760261974.722,BRAKE,1062.5,4.66,0.23
1760261974.880,BRAKE,1092.5,3.26,0.34
1760261975.048,BRAKE,1114.0,1.6,0.7
1760261975.220,SAFE,1125.0,0.78,1.44
1760261975.374,SAFE,1128.0,0.55,2.05
1760261975.542,SAFE,1129.0,0.27,4.18
1760261975.711,SAFE,1132.0,0.19,5.96
1760261975.874,SAFE,1132.25,0.09,6.0
1760261976.042,SAFE,1146.0,0.05,0.0
1760261976.213,SAFE,1156.5,0.02,0.0
1760261976.376,SAFE,1156.5,0.02,0.0
1760261976.544,SAFE,1156.0,0.01,0.0
1760261976.715,SAFE,1156.0,0.01,0.0
1760261976.880,SAFE,1160.0,0.0,0.0
1760261977.053,SAFE,1160.0,0.0,0.0
1760261977.224,SAFE,1166.5,0.0,0.0
1760261977.397,SAFE,1156.5,0.0,0.0
1760261977.560,SAFE,1153.75,0.0,0.0
1760261977.731,SAFE,1149.5,0.0,0.0
1760261977.899,SAFE,1149.0,0.0,0.0
1760261978.062,SAFE,1148.75,0.0,0.0
1760261978.235,SAFE,1149.0,0.0,0.0
1760261978.409,SAFE,1148.5,0.0,0.0
1760261978.576,SAFE,1147.25,0.0,0.0
1760261978.745,SAFE,1147.0,0.0,0.0
1760261978.913,SAFE,1144.0,0.0,0.0
1760261979.076,SAFE,1138.5,0.0,0.0
1760261979.247,SAFE,1138.5,0.0,0.0
1760261979.415,SAFE,1154.5,0.0,0.0
1760261979.583,SAFE,1172.5,0.0,0.0
