ts,state,d_min_mm,ttc_s,target_deg,reason
1760008471.606,SAFE,,,0,no_measure_keep
1760008471.807,BRAKE,157.27499999999998,0.31,140,dist<600
1760008472.007,BRAKE,158.68499999999997,0.32,140,tick
1760008472.207,BRAKE,158.68499999999997,0.32,140,tick
1760008472.407,BRAKE,159.44099999999997,0.32,140,tick
1760008472.608,BRAKE,160.32459999999998,0.32,140,tick
1760008472.808,BRAKE,160.71475999999998,0.32,140,tick
1760008473.008,BRAKE,160.71475999999998,0.32,140,tick
1760008473.209,BRAKE,160.3795424,0.32,140,tick
1760008473.409,BRAKE,159.94181695999998,0.32,140,tick
1760008473.609,BRAKE,159.94181695999998,0.32,140,tick
1760008473.809,BRAKE,160.4320360704,0.32,140,tick
1760008474.009,BRAKE,160.90922164224,0.32,140,tick
1760008474.210,BRAKE,272.545532985344,0.55,140,tick
1760008474.410,BRAKE,676.4873197912063,1.35,140,tick
1760008474.610,SAFE,893.7123918747238,1.79,0,brake_release_ok
1760008474.811,SAFE,1022.2274351248343,2.04,0,tick
1760008475.011,SAFE,1100.0164610749007,2.2,0,tick
1760008475.211,SAFE,1147.3898766449404,2.29,0,tick
1760008475.411,SAFE,1176.1339259869642,2.35,0,tick
1760008475.611,SAFE,1194.1103555921786,2.39,0,tick
1760008475.812,SAFE,1206.2262133553072,2.41,0,tick
1760008476.012,SAFE,1213.0257280131843,2.43,0,tick
1760008476.212,SAFE,1218.9654368079107,2.44,0,tick
1760008476.412,SAFE,1223.2392620847463,2.45,0,tick
1760008476.613,SAFE,1225.4535572508478,2.45,0,tick
1760008476.813,SAFE,1225.4535572508478,2.45,0,tick
1760008477.013,SAFE,791.9468537402034,1.58,0,tick
1760008477.214,BRAKE,553.5087414960814,1.11,140,dist<600
1760008477.414,BRAKE,546.3634965984324,1.09,140,tick
1760008477.614,BRAKE,529.015398639373,1.06,140,tick
1760008477.815,BRAKE,517.5761594557491,1.04,140,tick
1760008478.015,BRAKE,485.8204637822996,0.97,140,tick
1760008478.215,BRAKE,467.8681855129198,0.94,140,tick
1760008478.415,BRAKE,363.3222742051679,0.73,140,tick
1760008478.616,BRAKE,243.57890968206715,0.49,140,tick
1760008478.816,BRAKE,193.25156387282686,0.39,140,tick
1760008479.016,BRAKE,175.06437532947845,0.35,140,tick
1760008479.217,BRAKE,175.06437532947845,0.35,140,tick
1760008479.417,BRAKE,257.3786251976871,0.51,140,tick
1760008479.617,BRAKE,631.7471751186122,1.26,140,tick
1760008479.818,BRAKE,875.3083050711673,1.75,140,tick
1760008480.018,SAFE,1019.0849830427004,2.04,0,brake_release_ok
1760008480.218,SAFE,1096.6709898256202,2.19,0,tick
1760008480.419,SAFE,1162.672593895372,2.33,0,tick
1760008480.619,SAFE,1192.0335563372232,2.38,0,tick
1760008480.819,SAFE,1210.0701338023339,2.42,0,tick
1760008481.019,SAFE,1220.9020802814005,2.44,0,tick
1760008481.220,SAFE,1228.4812481688402,2.46,0,tick
1760008481.420,SAFE,1232.5287489013042,2.47,0,tick
1760008481.620,SAFE,1238.7572493407824,2.48,0,tick
1760008481.821,SAFE,1241.5943496044695,2.48,0,tick
1760008482.021,SAFE,1241.5943496044695,2.48,0,tick
1760008482.221,SAFE,1214.9046439050726,2.43,0,tick
1760008482.422,SAFE,712.791857562029,1.43,0,tick
1760008482.622,BRAKE,487.22674302481164,0.97,140,dist<600
1760008482.822,BRAKE,480.58069720992467,0.96,140,tick
1760008483.023,BRAKE,321.1272788839699,0.64,140,tick
1760008483.223,BRAKE,245.12091155358797,0.49,140,tick
1760008483.423,BRAKE,212.28836462143516,0.42,140,tick
1760008483.623,BRAKE,192.34534584857406,0.38,140,tick
1760008483.824,BRAKE,174.91813833942962,0.35,140,tick
1760008484.024,BRAKE,157.6603532014631,0.32,140,tick
1760008484.224,BRAKE,157.26414128058525,0.31,140,tick
1760008484.425,BRAKE,157.26414128058525,0.31,140,tick
1760008484.625,BRAKE,157.26414128058525,0.31,140,tick
1760008484.825,BRAKE,157.39639390734047,0.31,140,tick
1760008485.028,BRAKE,157.45783634440429,0.31,140,tick
1760008485.229,BRAKE,157.45783634440429,0.31,140,tick
1760008485.429,BRAKE,157.49470180664255,0.31,140,tick
1760008485.629,BRAKE,158.65149137343766,0.32,140,tick
1760008485.830,BRAKE,159.4037284335942,0.32,140,tick
1760008486.030,BRAKE,158.77335792962504,0.32,140,tick
1760008486.230,BRAKE,158.77335792962504,0.32,140,tick
1760008486.430,BRAKE,158.77335792962504,0.32,140,tick
1760008486.631,BRAKE,158.29924236124398,0.32,140,tick
1760008486.831,BRAKE,158.29924236124398,0.32,140,tick
1760008487.031,BRAKE,157.34481816669856,0.31,140,tick
1760008487.232,BRAKE,157.3246969444976,0.31,140,tick
1760008487.432,BRAKE,157.34481816669856,0.31,140,tick
1760008487.632,BRAKE,158.98875636000764,0.32,140,tick
1760008487.832,BRAKE,158.98875636000764,0.32,140,tick
1760008488.033,BRAKE,158.15730152640182,0.32,140,tick
1760008488.233,BRAKE,157.49292061056073,0.31,140,tick
1760008488.433,BRAKE,157.49292061056073,0.31,140,tick
1760008488.633,BRAKE,,,140,no_measure_keep
1760008488.834,BRAKE,,,140,no_measure_keep
1760008489.034,FAILSAFE,,,140,sensor_lost
1760008489.234,FAILSAFE,,,140,sensor_lost
1760008489.434,FAILSAFE,,,140,sensor_lost
1760008489.635,FAILSAFE,,,140,sensor_lost
1760008489.835,FAILSAFE,,,140,sensor_lost
1760008490.035,FAILSAFE,,,140,sensor_lost
1760008490.236,FAILSAFE,,,140,sensor_lost
1760008490.436,FAILSAFE,,,140,sensor_lost
1760008490.636,FAILSAFE,,,140,sensor_lost
1760008490.836,FAILSAFE,,,140,sensor_lost
1760008491.037,FAILSAFE,,,140,sensor_lost
1760008491.237,FAILSAFE,,,140,sensor_lost
1760008491.437,FAILSAFE,,,140,sensor_lost
1760008491.637,FAILSAFE,,,140,sensor_lost
1760008491.838,FAILSAFE,,,140,sensor_lost
1760008492.038,FAILSAFE,,,140,sensor_lost
1760008492.238,FAILSAFE,,,140,sensor_lost
1760008492.439,FAILSAFE,,,140,sensor_lost
1760008492.639,FAILSAFE,,,140,sensor_lost
1760008492.839,FAILSAFE,,,140,sensor_lost
1760008493.039,FAILSAFE,,,140,sensor_lost
1760008493.240,FAILSAFE,,,140,sensor_lost
1760008493.440,FAILSAFE,,,140,sensor_lost
1760008493.640,FAILSAFE,,,140,sensor_lost
1760008493.840,FAILSAFE,,,140,sensor_lost
1760008494.041,FAILSAFE,,,140,sensor_lost
1760008494.241,FAILSAFE,,,140,sensor_lost
1760008494.441,FAILSAFE,,,140,sensor_lost
1760008494.641,FAILSAFE,,,140,sensor_lost
1760008494.842,FAILSAFE,,,140,sensor_lost
1760008495.042,FAILSAFE,,,140,sensor_lost
1760008495.242,FAILSAFE,,,140,sensor_lost
1760008495.443,FAILSAFE,,,140,sensor_lost
1760008495.643,FAILSAFE,,,140,sensor_lost
1760008495.844,FAILSAFE,,,140,sensor_lost
1760008496.044,FAILSAFE,,,140,sensor_lost
1760008496.244,FAILSAFE,,,140,sensor_lost
1760008496.445,FAILSAFE,,,140,sensor_lost
1760008496.645,FAILSAFE,,,140,sensor_lost
1760008496.845,FAILSAFE,,,140,sensor_lost
1760008497.046,FAILSAFE,,,140,sensor_lost
1760008497.246,FAILSAFE,,,140,sensor_lost
1760008497.447,FAILSAFE,,,140,sensor_lost
1760008497.647,FAILSAFE,,,140,sensor_lost
1760008497.847,FAILSAFE,,,140,sensor_lost
1760008498.047,FAILSAFE,,,140,sensor_lost
1760008498.248,FAILSAFE,,,140,sensor_lost
1760008498.448,FAILSAFE,,,140,sensor_lost
1760008498.649,FAILSAFE,,,140,sensor_lost
1760008498.849,FAILSAFE,,,140,sensor_lost
1760008499.050,FAILSAFE,,,140,sensor_lost
1760008499.250,FAILSAFE,,,140,sensor_lost
1760008499.450,FAILSAFE,,,140,sensor_lost
1760008499.651,FAILSAFE,,,140,sensor_lost
1760008499.851,FAILSAFE,,,140,sensor_lost
1760008500.052,FAILSAFE,,,140,sensor_lost
1760008500.252,FAILSAFE,,,140,sensor_lost
1760008500.453,FAILSAFE,,,140,sensor_lost
1760008500.653,FAILSAFE,,,140,sensor_lost
1760008500.853,FAILSAFE,,,140,sensor_lost
1760008501.053,FAILSAFE,,,140,sensor_lost
1760008501.254,FAILSAFE,,,140,sensor_lost
1760008501.454,FAILSAFE,,,140,sensor_lost
1760008501.654,FAILSAFE,,,140,sensor_lost
1760008501.855,FAILSAFE,,,140,sensor_lost
1760008502.055,FAILSAFE,,,140,sensor_lost
1760008502.255,FAILSAFE,,,140,sensor_lost
1760008502.455,FAILSAFE,,,140,sensor_lost
1760008502.656,FAILSAFE,,,140,sensor_lost
1760008502.856,FAILSAFE,,,140,sensor_lost
1760008503.056,FAILSAFE,,,140,sensor_lost
