ts,d_q_mm,note
1760196949.005,NA,
1760196949.188,3814.5,
1760196949.374,3813.5,
1760196949.559,3814.5,
1760196949.750,3813.5,
1760196949.931,3813.5,
1760196950.112,3813.5,
1760196950.292,3815.0,
1760196950.465,3815.0,
1760196950.641,3814.5,
1760196950.822,3814.5,
1760196950.998,3816.5,
1760196951.171,3816.5,
1760196951.354,3815.5,
