ts,state,d_min_mm,v_mps,ttc_s
1760264554.946,SAFE,,0.0,
1760264555.119,CORNER,2908.75,0.0,0.0
1760264555.297,CORNER,2909.625,0.0,0.0
1760264555.470,CORNER,2908.75,0.0,0.0
1760264555.643,CORNER,2909.75,0.0,0.0
1760264555.818,CORNER,2907.0,0.0,0.0
1760264555.992,CORNER,2907.0,0.0,0.0
1760264556.163,CORNER,2907.0,0.0,0.0
1760264556.335,SAFE,2907.5,0.0,0.0
1760264556.503,CORNER,2907.5,0.0,0.0
1760264556.676,SAFE,2907.5,0.0,0.0
1760264556.839,CORNER,2909.0,0.0,0.0
1760264557.011,CORNER,2910.75,0.0,0.0
1760264557.180,SAFE,2909.75,0.0,0.0
1760264557.348,SAFE,2909.75,0.0,0.0
1760264557.528,CORNER,2908.5,0.0,0.0
1760264557.692,SAFE,2908.0,0.0,0.0
1760264557.862,SAFE,2908.0,0.0,0.0
1760264558.030,SAFE,2909.25,0.0,0.0
1760264558.206,SAFE,2909.25,0.0,0.0
1760264558.377,SAFE,2909.75,0.0,0.0
1760264558.545,SAFE,2908.75,0.0,0.0
1760264558.716,SAFE,2909.5,0.0,0.0
1760264558.886,SAFE,2909.25,0.0,0.0
1760264559.056,SAFE,2909.5,0.0,0.0
1760264559.227,SAFE,2909.25,0.0,0.0
1760264559.401,SAFE,2908.25,0.0,0.0
1760264559.566,SAFE,2908.25,0.0,0.0
1760264559.737,SAFE,2908.5,0.0,0.0
1760264559.910,SAFE,2909.25,0.0,0.0
1760264560.083,SAFE,2909.25,0.0,0.0
1760264560.252,SAFE,2909.25,0.0,0.0
1760264560.422,SAFE,2909.25,0.0,0.0
1760264560.593,SAFE,2909.5,0.0,0.0
1760264560.766,SAFE,2909.5,0.0,0.0
1760264560.939,SAFE,2908.75,0.0,0.0
1760264561.117,SAFE,2898.5,0.0,0.0
1760264561.290,SAFE,2889.5,0.0,0.0
1760264561.473,SAFE,2886.5,0.0,0.0
1760264561.652,SAFE,2885.0,0.0,0.0
1760264561.833,SAFE,2885.0,0.0,0.0
1760264562.011,SAFE,2885.0,0.0,0.0
1760264562.191,SAFE,2880.5,0.0,0.0
1760264562.377,CORNER,2792.5,0.0,0.0
1760264562.543,CORNER,389.0,0.0,0.0
1760264562.718,CORNER,348.0,0.0,0.0
1760264562.891,CORNER,336.5,0.0,0.0
1760264563.065,CORNER,334.5,0.0,0.0
1760264563.238,CORNER,332.5,0.0,0.0
1760264563.409,CORNER,326.0,0.0,0.0
1760264563.581,CORNER,318.5,0.0,0.0
1760264563.755,CORNER,313.25,0.0,0.0
1760264563.931,CORNER,313.25,0.0,0.0
1760264564.104,CORNER,316.5,0.0,0.0
1760264564.282,CORNER,319.0,0.0,0.0
1760264564.458,CORNER,319.0,0.0,0.0
1760264564.631,CORNER,311.0,0.0,0.0
1760264564.809,CORNER,307.5,0.0,0.0
1760264564.987,CORNER,305.5,0.0,0.0
1760264565.163,CORNER,305.5,0.0,0.0
1760264565.338,CORNER,306.5,0.0,0.0
1760264565.514,CORNER,307.5,0.0,0.0
1760264565.701,SAFE,312.5,0.0,0.0
1760264565.868,SAFE,2842.5,0.0,0.0
1760264566.041,SAFE,2845.5,0.0,0.0
1760264566.217,SAFE,2848.5,0.0,0.0
1760264566.390,SAFE,2851.5,0.0,0.0
1760264566.570,CORNER,2851.5,0.0,0.0
1760264566.742,CORNER,380.5,0.0,0.0
1760264566.917,CORNER,335.0,0.0,0.0
1760264567.093,CORNER,323.5,0.0,0.0
1760264567.271,CORNER,314.5,0.0,0.0
1760264567.449,CORNER,312.25,0.0,0.0
1760264567.622,CORNER,312.0,0.0,0.0
1760264567.801,SAFE,312.25,0.0,0.0
1760264567.972,SAFE,2834.5,0.0,0.0
1760264568.145,SAFE,2840.5,0.0,0.0
1760264568.317,SAFE,2850.0,0.0,0.0
1760264568.496,SAFE,2870.0,0.0,0.0
1760264568.672,SAFE,2880.5,0.0,0.0
1760264568.847,SAFE,2890.5,0.0,0.0
1760264569.020,SAFE,2897.75,0.0,0.0
1760264569.196,SAFE,2901.75,0.0,0.0
1760264569.367,SAFE,2901.75,0.0,0.0
1760264569.535,SAFE,2905.0,0.0,0.0
1760264569.706,SAFE,2909.0,0.0,0.0
1760264569.876,SAFE,2909.5,0.0,0.0
1760264570.045,SAFE,2910.0,0.0,0.0
1760264570.215,SAFE,2910.0,0.0,0.0
1760264570.388,SAFE,2910.0,0.0,0.0
1760264570.556,SAFE,2910.25,0.0,0.0
1760264570.725,SAFE,2910.25,0.0,0.0
1760264570.898,SAFE,2912.0,0.0,0.0
1760264571.066,SAFE,2912.0,0.0,0.0
1760264571.239,SAFE,2909.5,0.0,0.0
