ts,state,d_min_mm,v_mps,ttc_s,target_deg,reason,corner_active,corner_score
1760171808.511,SAFE,,,,0,tick,False,0.0
1760171809.019,SAFE,1468.5,,,0,dist_only_safe_no_ttc,True,3.745833333333333
1760171809.729,WARN,755.5,,,100,dist_only_warn_no_ttc,True,0.0
1760171810.337,WARN,941.75,,,100,dist_only_warn_no_ttc,False,0.71375
1760171810.847,WARN,748.25,,,100,dist_only_warn_no_ttc,False,5.775
1760171811.665,SAFE,1472.25,,,0,dist_only_safe_no_ttc,True,3.7570833333333336
1760171812.175,SAFE,1470.5,,,0,dist_only_safe_no_ttc,True,3.24125
1760171812.885,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.5016666666666667
1760171813.496,BRAKE,129.0,,,140,dist_only_brake_no_ttc,False,1.0070833333333333
1760171814.006,BRAKE,527.5,,,140,dist_only_brake_no_ttc,False,1.0029166666666667
1760171814.610,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0004166666666667
1760171815.120,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0125
1760171815.744,BRAKE,1465.5,,,140,tick,True,3.7325
1760171816.456,SAFE,1467.0,,,0,dist_only_release_no_ttc,True,3.243333333333333
1760171816.966,SAFE,1350.25,,,0,dist_only_safe_no_ttc,False,5.223333333333334
1760171817.776,BRAKE,480.0,,,140,dist_only_brake_no_ttc,False,1.5125
1760171818.286,BRAKE,399.75,,,140,dist_only_brake_no_ttc,False,1.0004166666666667
1760171818.893,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.00625
1760171819.402,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0129166666666667
1760171820.006,BRAKE,464.0,,,140,dist_only_brake_no_ttc,False,1.0058333333333334
1760171820.516,BRAKE,769.25,,,140,tick,False,1.0045833333333334
1760171821.122,BRAKE,723.5,,,140,tick,False,1.0020833333333334
1760171821.632,BRAKE,1136.5,,,140,tick,False,0.0
1760171822.236,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0654166666666667
1760171822.745,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0129166666666667
1760171823.352,BRAKE,128.0,,,140,dist_only_brake_no_ttc,True,6.781666666666666
1760171823.862,BRAKE,913.25,,,140,tick,False,5.154166666666667
1760171824.466,BRAKE,546.5,,,140,dist_only_brake_no_ttc,False,1.5008333333333332
1760171824.976,BRAKE,399.5,,,140,dist_only_brake_no_ttc,False,1.005
1760171825.583,BRAKE,556.25,,,140,dist_only_brake_no_ttc,False,1.0004166666666667
1760171826.093,BRAKE,551.0,,,140,dist_only_brake_no_ttc,False,1.0020833333333334
1760171826.715,BRAKE,1468.25,,,140,tick,False,1.06
1760171827.427,SAFE,1472.0,,,0,dist_only_release_no_ttc,True,3.736666666666667
1760171828.137,WARN,618.75,,,100,dist_only_warn_no_ttc,False,5.140833333333333
1760171828.947,SAFE,1113.5,,,0,dist_only_safe_no_ttc,True,3.1079166666666667
1760171829.658,WARN,960.5,,,100,dist_only_warn_no_ttc,True,0.0
1760171830.262,WARN,977.5,,,100,dist_only_warn_no_ttc,False,2.0704166666666666
1760171830.972,SAFE,2575.25,,,0,dist_only_safe_no_ttc,True,5.816666666666666
1760171831.780,BRAKE,319.25,,,140,dist_only_brake_no_ttc,False,1.5079166666666666
1760171832.290,BRAKE,645.5,,,140,tick,False,1.0154166666666666
1760171832.894,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.00625
1760171833.404,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0145833333333334
1760171834.028,BRAKE,1462.75,,,140,tick,True,3.144166666666667
1760171834.740,SAFE,1467.5,,,0,dist_only_release_no_ttc,True,2.625
1760171835.250,SAFE,1042.5,,,0,dist_only_safe_no_ttc,False,4.8566666666666665
1760171835.859,SAFE,1259.5,,,0,dist_only_safe_no_ttc,False,0.0
1760171836.368,SAFE,1005.5,,,0,dist_only_safe_no_ttc,False,0.0
1760171837.176,WARN,875.5,,,100,dist_only_warn_no_ttc,False,0.0
1760171837.886,SAFE,1110.5,,,0,dist_only_safe_no_ttc,False,0.0
1760171838.691,WARN,677.25,,,100,dist_only_warn_no_ttc,False,1.50375
1760171839.201,WARN,801.0,,,100,dist_only_warn_no_ttc,False,1.0154166666666666
1760171840.010,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.00125
1760171840.519,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0075
1760171841.124,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0120833333333332
1760171841.634,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0016666666666667
1760171842.241,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0129166666666667
1760171842.750,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0129166666666667
1760171843.354,BRAKE,372.5,,,140,dist_only_brake_no_ttc,True,5.35125
1760171843.863,BRAKE,880.5,,,140,tick,True,0.0
1760171844.469,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.5016666666666667
1760171844.979,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0125
1760171845.584,BRAKE,828.75,,,140,tick,False,1.6891666666666667
1760171846.094,BRAKE,836.75,,,140,tick,False,5.820833333333334
1760171846.701,BRAKE,1259.5,,,140,tick,False,1.5820833333333333
1760171847.210,BRAKE,874.5,,,140,tick,False,0.0
1760171847.814,BRAKE,624.5,,,140,tick,False,1.0045833333333334
1760171848.324,BRAKE,651.0,,,140,tick,False,1.0008333333333332
1760171848.931,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0095833333333333
1760171849.440,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0025
1760171850.045,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0016666666666667
1760171850.554,BRAKE,128.0,,,140,dist_only_brake_no_ttc,True,6.6154166666666665
1760171851.162,BRAKE,136.5,,,140,dist_only_brake_no_ttc,False,1.5129166666666667
1760171851.671,BRAKE,400.0,,,140,dist_only_brake_no_ttc,False,1.0058333333333334
1760171852.275,BRAKE,742.5,,,140,tick,False,1.0125
1760171852.785,BRAKE,588.5,,,140,dist_only_brake_no_ttc,False,1.0016666666666667
1760171853.391,BRAKE,876.5,,,140,tick,False,1.0020833333333334
1760171853.901,BRAKE,857.5,,,140,tick,False,0.0
1760171854.504,BRAKE,704.5,,,140,tick,False,1.03
1760171855.014,BRAKE,769.25,,,140,tick,False,1.0008333333333332
1760171855.635,BRAKE,1464.0,,,140,tick,False,1.0008333333333332
1760171856.348,SAFE,1471.5,,,0,dist_only_release_no_ttc,True,3.7329166666666667
1760171856.857,SAFE,1489.25,,,0,dist_only_safe_no_ttc,True,3.2333333333333334
1760171857.368,SAFE,1481.25,,,0,dist_only_safe_no_ttc,True,3.245416666666667
1760171857.878,SAFE,1496.25,,,0,dist_only_safe_no_ttc,True,6.949166666666667
1760171858.685,WARN,636.75,,,100,dist_only_warn_no_ttc,True,0.0
1760171859.396,BRAKE,582.25,,,140,dist_only_brake_no_ttc,True,0.0
1760171859.999,BRAKE,1298.75,,,140,tick,False,1.50625
1760171860.509,BRAKE,768.0,,,140,tick,False,1.0029166666666667
1760171861.117,BRAKE,463.75,,,140,dist_only_brake_no_ttc,False,1.0191666666666666
1760171861.628,BRAKE,388.0,,,140,dist_only_brake_no_ttc,False,1.0041666666666667
1760171862.233,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.00625
1760171862.743,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0016666666666667
1760171863.364,BRAKE,138.75,,,140,dist_only_brake_no_ttc,False,1.0158333333333334
1760171863.876,BRAKE,1469.25,,,140,tick,True,3.025
1760171864.587,SAFE,1485.5,,,0,dist_only_release_no_ttc,True,2.5883333333333334
1760171865.096,SAFE,1270.5,,,0,dist_only_safe_no_ttc,True,0.0
1760171865.901,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.5154166666666666
1760171866.410,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0129166666666667
1760171867.016,BRAKE,128.0,,,140,dist_only_brake_no_ttc,True,6.267083333333333
1760171867.527,BRAKE,2059.25,,,140,tick,True,6.618333333333333
1760171868.131,BRAKE,899.25,,,140,tick,True,0.0
1760171868.641,BRAKE,2208.25,,,140,tick,True,6.1433333333333335
1760171869.450,SAFE,1010.5,,,0,dist_only_release_no_ttc,True,0.0
1760171870.160,WARN,884.5,,,100,dist_only_warn_no_ttc,True,0.0
1760171870.965,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.5591666666666666
1760171871.475,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.015
1760171872.081,BRAKE,128.0,,,140,dist_only_brake_no_ttc,False,1.0016666666666667
