ts,state,d_min_mm,v_mps,ttc_s
1760263507.960,SAFE,,0.0,
1760263508.130,SAFE,2926.25,0.0,0.0
1760263508.308,SAFE,2923.75,0.0,0.0
1760263508.489,SAFE,2923.5,0.0,0.0
1760263508.662,SAFE,2923.5,0.0,0.0
1760263508.835,SAFE,2926.75,0.0,0.0
1760263509.006,SAFE,2926.75,0.0,0.0
1760263509.177,SAFE,2928.0,0.0,0.0
1760263509.350,SAFE,2926.25,0.0,0.0
1760263509.520,SAFE,2926.25,0.0,0.0
1760263509.693,SAFE,2926.25,0.0,0.0
1760263509.867,SAFE,2927.5,0.0,0.0
1760263510.037,SAFE,2927.5,0.0,0.0
1760263510.213,SAFE,2926.0,0.0,0.0
1760263510.389,SAFE,2922.0,0.0,0.0
1760263510.567,SAFE,2914.5,0.0,0.0
1760263510.740,SAFE,2906.0,0.0,0.0
1760263510.913,SAFE,2905.0,0.0,0.0
1760263511.086,SAFE,2905.0,0.0,0.0
1760263511.259,SAFE,2898.0,0.53,5.47
1760263511.433,SAFE,2908.0,1.1,2.64
1760263511.598,SAFE,2966.0,1.37,2.16
1760263511.769,SAFE,3165.0,1.45,2.18
1760263511.940,SAFE,3239.0,1.55,2.09
1760263512.115,SAFE,3373.0,1.17,2.88
1760263512.286,SAFE,3505.5,2.68,1.31
1760263512.462,WARN,3589.5,3.42,1.05
1760263512.630,WARN,3621.0,3.63,1.0
1760263512.803,WARN,3621.0,3.78,0.96
1760263512.984,BRAKE,1101.5,3.96,0.28
1760263513.147,BRAKE,1094.5,3.95,0.28
1760263513.317,BRAKE,891.5,3.94,0.23
1760263513.496,BRAKE,862.0,3.94,0.22
1760263513.664,BRAKE,857.5,3.94,0.22
1760263513.834,BRAKE,857.5,3.93,0.22
1760263514.005,BRAKE,852.25,3.93,0.22
1760263514.176,BRAKE,852.25,3.93,0.22
1760263514.346,BRAKE,1087.0,3.93,0.28
1760263514.514,BRAKE,1087.0,3.93,0.28
1760263514.690,BRAKE,1247.0,3.93,0.32
1760263514.863,BRAKE,1256.0,3.93,0.32
1760263515.037,BRAKE,1778.5,2.75,0.65
1760263515.219,SAFE,1964.5,1.35,1.46
1760263515.390,SAFE,1964.5,0.66,2.98
1760263515.568,SAFE,1940.5,0.32,6.0
1760263515.744,SAFE,1940.5,0.23,6.0
1760263515.920,SAFE,1940.5,0.11,6.0
1760263516.101,SAFE,1944.5,0.05,0.0
1760263516.279,SAFE,2915.0,0.03,0.0
1760263516.459,SAFE,2915.0,0.02,0.0
1760263516.633,SAFE,2749.5,0.01,0.0
1760263516.811,SAFE,2608.0,0.0,0.0
1760263516.984,SAFE,2389.5,0.0,0.0
1760263517.155,SAFE,2371.0,0.06,6.0
1760263517.323,SAFE,2268.5,1.23,1.84
1760263517.494,SAFE,2219.5,1.81,1.23
1760263517.659,WARN,2163.5,2.09,1.04
1760263517.827,WARN,2163.5,2.17,1.0
1760263517.996,WARN,2151.5,2.22,0.97
1760263518.161,SAFE,2171.5,1.65,1.32
1760263518.324,SAFE,2345.0,0.92,2.55
1760263518.493,SAFE,2345.0,0.56,4.19
1760263518.663,SAFE,1344.0,0.46,2.92
1760263518.824,SAFE,1290.0,0.41,3.15
1760263518.989,SAFE,1221.0,0.39,3.13
1760263519.165,SAFE,1221.0,0.41,2.98
1760263519.330,SAFE,1266.0,0.43,2.94
1760263519.499,SAFE,1337.0,0.45,2.97
1760263519.664,SAFE,3605.0,0.48,6.0
1760263519.828,SAFE,3605.0,0.53,6.0
1760263519.996,SAFE,3262.0,0.54,6.0
1760263520.166,SAFE,3057.5,0.55,5.56
1760263520.335,SAFE,2761.5,0.55,5.02
1760263520.517,SAFE,2478.5,0.53,4.68
1760263520.696,SAFE,2328.0,0.53,4.39
1760263520.879,SAFE,2083.5,0.5,4.17
1760263521.070,SAFE,1814.0,0.5,3.63
1760263521.245,SAFE,1565.0,0.49,3.19
1760263521.419,SAFE,1332.0,0.46,2.9
1760263521.584,SAFE,1332.0,0.45,2.96
1760263521.747,SAFE,2533.0,0.45,5.63
1760263521.917,SAFE,2533.0,0.45,5.63
1760263522.099,SAFE,2326.0,0.45,5.17
1760263522.272,SAFE,2326.0,0.47,4.95
1760263522.447,SAFE,2299.5,0.51,4.51
1760263522.626,SAFE,1230.0,0.57,2.16
1760263522.796,SAFE,1190.0,0.6,1.98
1760263522.964,SAFE,1190.0,0.61,1.95
1760263523.125,SAFE,1190.0,0.61,1.95
1760263523.295,SAFE,1190.0,0.62,1.92
1760263523.464,SAFE,1205.5,0.62,1.94
1760263523.622,SAFE,3721.5,0.6,6.0
1760263523.797,SAFE,3721.5,0.57,6.0
1760263523.966,SAFE,3563.0,0.57,6.0
1760263524.136,SAFE,3410.0,0.53,6.0
1760263524.307,SAFE,3250.5,0.5,6.0
1760263524.478,SAFE,3153.0,0.49,6.0
1760263524.646,SAFE,3153.0,0.46,6.0
1760263524.812,SAFE,3134.0,0.42,6.0
1760263524.984,SAFE,3100.5,0.41,6.0
1760263525.150,SAFE,3100.5,0.42,6.0
1760263525.316,SAFE,3142.75,0.43,6.0
1760263525.482,SAFE,3142.75,0.43,6.0
1760263525.645,SAFE,3114.0,0.45,6.0
1760263525.811,SAFE,3114.0,0.48,6.0
1760263525.979,SAFE,3653.0,0.52,6.0
1760263526.144,SAFE,3653.0,0.57,6.0
1760263526.310,SAFE,3304.0,0.6,5.51
1760263526.481,SAFE,2980.0,0.61,4.89
1760263526.641,SAFE,2801.5,0.61,4.59
1760263526.807,SAFE,2473.5,0.61,4.05
1760263526.975,SAFE,2136.5,0.61,3.5
1760263527.136,SAFE,1991.0,0.58,3.43
1760263527.310,CORNER,1262.0,0.56,2.25
1760263527.472,CORNER,1262.0,0.55,2.29
1760263527.633,CORNER,1012.0,0.5,2.02
1760263527.806,CORNER,803.5,0.47,1.71
1760263527.977,SAFE,803.5,0.46,1.75
1760263528.142,SAFE,934.5,0.45,2.08
1760263528.308,SAFE,934.5,0.45,2.08
1760263528.478,SAFE,922.75,0.45,2.05
1760263528.644,SAFE,922.75,0.45,2.05
1760263528.810,SAFE,924.5,0.44,2.1
1760263528.989,CORNER,934.5,0.44,2.12
1760263529.158,CORNER,970.0,0.44,2.2
1760263529.329,CORNER,1163.5,0.44,2.64
1760263529.506,SAFE,1639.5,0.31,5.29
1760263529.683,SAFE,1639.5,0.15,6.0
1760263529.859,SAFE,2407.5,0.11,6.0
1760263530.032,SAFE,3649.0,0.05,0.0
1760263530.208,SAFE,3649.0,0.03,0.0
1760263530.383,SAFE,256.5,0.01,0.0
1760263530.554,SAFE,247.0,0.01,0.0
1760263530.725,SAFE,247.0,0.0,0.0
1760263530.898,SAFE,1966.0,0.0,0.0
1760263531.066,SAFE,2261.0,0.0,0.0
1760263531.229,SAFE,2751.5,0.0,0.0
1760263531.400,SAFE,2823.5,0.0,0.0
1760263531.563,SAFE,2866.0,0.0,0.0
1760263531.729,SAFE,2866.0,0.06,6.0
1760263531.904,SAFE,2866.0,0.13,6.0
1760263532.075,SAFE,2837.0,0.16,6.0
1760263532.248,SAFE,2735.5,0.18,6.0
1760263532.419,SAFE,2631.5,0.19,6.0
1760263532.597,SAFE,2478.5,0.22,6.0
1760263532.767,SAFE,2429.0,0.22,6.0
1760263532.951,SAFE,2219.0,0.23,6.0
1760263533.126,SAFE,2048.5,0.26,6.0
1760263533.305,SAFE,1791.5,0.29,6.0
1760263533.480,SAFE,1577.5,0.3,5.26
1760263533.648,SAFE,1577.5,0.31,5.09
1760263533.817,SAFE,2790.5,0.34,6.0
1760263533.985,SAFE,3627.0,0.35,6.0
1760263534.153,SAFE,3627.0,0.35,6.0
1760263534.321,SAFE,3421.5,0.36,6.0
1760263534.489,SAFE,3189.5,0.35,6.0
1760263534.657,SAFE,3061.0,0.35,6.0
1760263534.826,SAFE,2850.5,0.35,6.0
1760263535.001,SAFE,2615.0,0.37,6.0
1760263535.164,SAFE,2479.5,0.38,6.0
1760263535.327,SAFE,2260.0,0.38,5.95
1760263535.498,SAFE,2208.5,0.4,5.52
1760263535.664,SAFE,2135.0,0.41,5.21
1760263535.829,SAFE,2135.0,0.42,5.08
1760263536.000,SAFE,1866.0,0.42,4.44
1760263536.171,SAFE,1682.0,0.42,4.0
1760263536.344,SAFE,1478.0,0.42,3.52
1760263536.525,SAFE,1240.0,0.44,2.82
1760263536.703,SAFE,1050.5,0.45,2.33
1760263536.879,SAFE,969.5,0.45,2.15
1760263537.059,BRAKE,859.5,2.68,0.32
1760263537.232,BRAKE,859.5,3.32,0.26
1760263537.415,BRAKE,965.5,4.08,0.24
1760263537.599,BRAKE,2889.0,4.46,0.65
1760263537.789,SAFE,2889.0,4.64,0.62
1760263537.972,BRAKE,2801.5,4.69,0.6
1760263538.161,BRAKE,2747.0,4.76,0.58
1760263538.349,BRAKE,2745.0,4.79,0.57
1760263538.535,BRAKE,2745.0,4.8,0.57
1760263538.718,BRAKE,2715.0,4.81,0.56
1760263538.914,BRAKE,2715.0,4.81,0.56
1760263539.102,BRAKE,2724.5,2.36,1.15
1760263539.285,SAFE,2728.0,1.65,1.65
1760263539.463,SAFE,2724.5,0.81,3.36
1760263539.649,SAFE,2723.75,0.4,6.0
1760263539.830,SAFE,2723.75,0.19,6.0
1760263540.013,SAFE,2723.75,0.1,6.0
1760263540.196,SAFE,2682.5,0.05,0.0
1760263540.377,SAFE,2679.0,0.55,4.87
1760263540.563,SAFE,2653.5,0.86,3.09
1760263540.748,SAFE,2581.0,1.24,2.08
1760263540.934,SAFE,2499.0,1.42,1.76
1760263541.122,WARN,1161.0,1.51,0.77
1760263541.310,BRAKE,490.5,1.56,0.31
1760263541.484,BRAKE,492.0,2.14,0.23
1760263541.659,BRAKE,492.0,2.82,0.17
1760263541.835,BRAKE,1321.0,3.02,0.44
1760263542.016,BRAKE,1342.5,3.25,0.41
1760263542.189,BRAKE,1342.5,3.32,0.4
1760263542.359,BRAKE,1330.0,3.4,0.39
1760263542.535,BRAKE,1330.0,3.44,0.39
1760263542.716,BRAKE,1355.5,3.46,0.39
1760263542.892,BRAKE,1355.5,3.47,0.39
1760263543.065,BRAKE,1344.0,3.47,0.39
1760263543.241,BRAKE,1344.0,3.48,0.39
1760263543.419,BRAKE,1344.5,3.48,0.39
1760263543.594,BRAKE,1344.5,2.43,0.55
1760263543.773,BRAKE,1305.25,1.19,1.1
1760263543.952,SAFE,1305.25,0.58,2.25
1760263544.122,SAFE,1336.0,0.29,4.61
1760263544.305,SAFE,1336.0,0.14,6.0
1760263544.480,SAFE,1340.0,0.1,6.0
1760263544.659,SAFE,1340.0,0.05,0.0
1760263544.842,SAFE,1341.25,0.02,0.0
1760263545.020,SAFE,1356.75,0.01,0.0
1760263545.198,SAFE,1386.5,0.07,6.0
1760263545.367,WARN,1386.5,1.93,0.72
1760263545.542,BRAKE,1386.5,2.46,0.56
1760263545.710,BRAKE,1404.0,3.1,0.45
1760263545.883,BRAKE,1404.0,3.28,0.43
1760263546.052,BRAKE,1393.5,3.83,0.36
1760263546.227,BRAKE,1388.5,4.32,0.32
1760263546.405,BRAKE,1388.5,4.56,0.3
1760263546.583,BRAKE,1388.5,4.63,0.3
1760263546.754,BRAKE,1369.5,4.71,0.29
1760263546.939,BRAKE,1369.5,4.75,0.29
1760263547.118,BRAKE,1373.0,4.77,0.29
1760263547.296,BRAKE,1373.0,4.78,0.29
1760263547.464,BRAKE,1373.0,4.78,0.29
1760263547.640,BRAKE,1379.5,4.79,0.29
1760263547.813,BRAKE,1384.5,4.79,0.29
1760263547.989,BRAKE,1384.5,3.35,0.41
1760263548.167,BRAKE,1371.5,2.35,0.58
1760263548.348,BRAKE,1371.5,1.15,1.19
1760263548.527,SAFE,1368.0,0.56,2.44
1760263548.704,SAFE,1418.0,0.28,5.06
1760263548.880,SAFE,1354.0,0.19,6.0
1760263549.055,SAFE,1356.5,0.09,6.0
1760263549.234,SAFE,1356.5,0.05,0.0
1760263549.407,SAFE,1378.75,0.02,0.0
1760263549.580,SAFE,1378.75,0.01,0.0
1760263549.750,SAFE,1397.5,0.01,0.0
1760263549.924,SAFE,3496.0,0.0,0.0
1760263550.099,SAFE,3496.0,0.06,6.0
1760263550.270,SAFE,3330.5,2.18,1.53
1760263550.441,WARN,3100.0,3.22,0.96
1760263550.614,WARN,2931.5,3.72,0.79
1760263550.790,WARN,2931.5,3.87,0.76
1760263550.960,WARN,2687.5,4.16,0.65
1760263551.135,BRAKE,2532.0,4.31,0.59
1760263551.306,BRAKE,2532.0,4.38,0.58
1760263551.475,BRAKE,2368.5,4.4,0.54
1760263551.648,BRAKE,1251.0,3.57,0.35
1760263551.819,BRAKE,1228.5,4.05,0.3
1760263551.992,BRAKE,1222.5,4.28,0.29
1760263552.165,BRAKE,1213.0,4.35,0.28
1760263552.338,BRAKE,1186.0,4.43,0.27
1760263552.511,BRAKE,1186.0,4.47,0.27
1760263552.682,BRAKE,1191.0,4.49,0.27
1760263552.850,BRAKE,1207.5,4.5,0.27
1760263553.021,BRAKE,1207.5,4.5,0.27
1760263553.194,BRAKE,1216.0,4.51,0.27
1760263553.359,BRAKE,1216.0,4.51,0.27
1760263553.533,BRAKE,1208.5,4.51,0.27
1760263553.706,BRAKE,1208.5,2.21,0.55
1760263553.876,BRAKE,1208.0,1.55,0.78
1760263554.052,SAFE,1189.5,0.76,1.57
1760263554.221,SAFE,1189.5,0.37,3.21
1760263554.399,SAFE,1192.5,0.18,6.0
1760263554.564,SAFE,1192.5,0.13,6.0
1760263554.738,SAFE,1195.5,0.06,6.0
1760263554.911,SAFE,1195.5,0.03,0.0
1760263555.081,SAFE,1195.5,0.01,0.0
1760263555.252,SAFE,1278.5,0.01,0.0
1760263555.428,SAFE,3755.0,0.01,0.0
1760263555.606,SAFE,3755.0,0.11,6.0
1760263555.786,SAFE,3605.5,0.14,6.0
1760263555.962,SAFE,3529.5,0.17,6.0
1760263556.143,SAFE,3362.0,0.19,6.0
1760263556.326,SAFE,3193.0,1.53,2.09
1760263556.504,WARN,3030.5,3.1,0.98
1760263556.680,WARN,2873.5,3.87,0.74
1760263556.858,WARN,2794.5,4.09,0.68
1760263557.041,WARN,2641.0,4.34,0.61
1760263557.221,BRAKE,2641.0,4.44,0.59
1760263557.390,BRAKE,3004.0,4.5,0.67
1760263557.575,SAFE,3004.0,4.52,0.66
1760263557.749,WARN,2925.5,3.25,0.9
1760263557.927,WARN,2757.5,3.61,0.76
1760263558.108,WARN,2721.5,3.78,0.72
1760263558.291,WARN,2717.0,3.87,0.7
1760263558.474,WARN,2627.0,3.91,0.67
1760263558.655,WARN,2627.0,3.92,0.67
1760263558.836,WARN,2793.0,2.81,0.99
1760263559.016,WARN,2793.0,2.7,1.03
1760263559.199,WARN,2698.0,2.65,1.02
1760263559.383,WARN,2397.5,2.63,0.91
1760263559.566,WARN,2397.5,2.61,0.92
1760263559.742,WARN,2490.0,2.6,0.96
1760263559.912,WARN,2490.0,2.6,0.96
1760263560.091,WARN,2157.5,1.88,1.15
1760263560.266,WARN,2049.5,2.6,0.79
1760263560.456,CORNER,1102.0,2.95,0.37
1760263560.625,CORNER,944.5,3.12,0.3
1760263560.813,CORNER,811.0,3.2,0.25
1760263560.997,CORNER,716.0,3.24,0.22
1760263561.175,CORNER,647.0,3.26,0.2
1760263561.348,CORNER,616.0,3.27,0.19
1760263561.526,CORNER,597.0,3.28,0.18
1760263561.707,CORNER,597.0,3.28,0.18
1760263561.885,CORNER,633.5,3.28,0.19
1760263562.063,CORNER,657.0,2.3,0.29
1760263562.236,CORNER,3508.0,1.61,2.18
1760263562.418,SAFE,3508.0,0.79,4.44
1760263562.590,SAFE,3164.0,0.39,6.0
1760263562.771,SAFE,3164.0,0.19,6.0
1760263562.947,SAFE,3166.0,0.13,6.0
1760263563.127,SAFE,3167.75,0.06,6.0
1760263563.305,SAFE,3167.75,0.03,0.0
1760263563.483,SAFE,3168.25,0.02,0.0
1760263563.659,SAFE,3168.25,0.01,0.0
1760263563.835,SAFE,3169.0,0.01,0.0
1760263564.011,SAFE,3169.0,0.0,0.0
1760263564.189,SAFE,3169.0,0.0,0.0
1760263564.367,SAFE,3169.0,0.0,0.0
1760263564.540,SAFE,3168.75,0.0,0.0
1760263564.718,SAFE,3168.0,0.0,0.0
1760263564.891,SAFE,3168.75,0.0,0.0
1760263565.070,SAFE,3169.0,0.0,0.0
1760263565.245,SAFE,3169.0,0.0,0.0
1760263565.426,SAFE,3167.75,0.0,0.0
1760263565.604,SAFE,3167.75,0.0,0.0
1760263565.780,SAFE,3169.5,0.0,0.0
1760263565.956,SAFE,3169.5,0.0,0.0
1760263566.129,SAFE,3169.25,0.0,0.0
1760263566.305,SAFE,3168.5,0.0,0.0
1760263566.481,SAFE,3169.25,0.0,0.0
1760263566.653,SAFE,3168.5,0.0,0.0
