ts,state,d_min_mm,v_mps,ttc_s
1760266882.993,SAFE,,0.0,
1760266883.182,SAFE,2901.0,0.0,0.0
1760266883.362,SAFE,2902.125,0.0,0.0
1760266883.543,SAFE,2901.0,0.0,0.0
1760266883.724,SAFE,2903.25,0.0,0.0
1760266883.897,SAFE,2902.75,0.0,0.0
1760266884.073,SAFE,2903.5,0.0,0.0
1760266884.241,SAFE,2902.75,0.0,0.0
1760266884.414,SAFE,2903.5,0.0,0.0
1760266884.585,SAFE,2897.75,0.0,0.0
1760266884.755,SAFE,2903.25,0.0,0.0
1760266884.931,SAFE,2903.25,0.0,0.0
1760266885.107,SAFE,2903.25,0.0,0.0
1760266885.288,SAFE,2902.0,0.0,0.0
1760266885.476,SAFE,2897.5,0.0,0.0
1760266885.657,SAFE,2877.0,0.0,0.0
1760266885.832,SAFE,2860.0,0.0,0.0
1760266886.010,SAFE,2860.0,0.0,0.0
1760266886.184,SAFE,2866.5,0.0,0.0
1760266886.357,SAFE,2898.0,0.0,0.0
1760266886.527,SAFE,2964.5,0.0,0.0
1760266886.700,SAFE,3024.5,0.0,0.0
1760266886.868,SAFE,3106.0,0.0,0.0
1760266887.049,SAFE,3180.0,0.0,0.0
1760266887.223,SAFE,3252.5,2.64,1.23
1760266887.395,SAFE,3313.0,2.59,1.28
1760266887.566,SAFE,3392.5,1.03,3.29
1760266887.744,SAFE,3488.0,0.16,6.0
1760266887.918,SAFE,3625.5,0.03,0.0
1760266888.091,SAFE,3632.5,0.0,0.0
1760266888.261,SAFE,3758.5,0.12,6.0
1760266888.437,SAFE,3864.5,2.4,1.61
1760266888.610,SAFE,4017.5,2.76,1.46
1760266888.783,SAFE,4135.0,0.44,6.0
1760266888.951,SAFE,4135.0,0.18,6.0
1760266889.122,SAFE,4261.5,0.03,0.0
1760266889.296,SAFE,4390.0,0.0,0.0
1760266889.466,SAFE,4487.0,0.0,0.0
1760266889.642,SAFE,4487.0,1.66,2.7
1760266889.815,SAFE,5332.5,2.52,2.12
1760266889.986,SAFE,5430.5,1.05,5.17
1760266890.156,SAFE,5430.5,0.42,6.0
1760266890.327,SAFE,2027.5,0.07,6.0
1760266890.505,SAFE,1656.0,0.01,0.0
1760266890.683,SAFE,1656.0,0.0,0.0
1760266890.867,SAFE,1700.0,0.0,0.0
1760266891.047,SAFE,1700.0,0.0,0.0
1760266891.233,SAFE,1700.0,0.0,0.0
1760266891.421,SAFE,3475.0,0.0,0.0
1760266891.599,SAFE,3475.0,0.0,0.0
1760266891.780,SAFE,3051.5,0.12,6.0
1760266891.956,SAFE,2751.5,0.95,2.9
1760266892.136,SAFE,2599.0,1.39,1.87
1760266892.312,SAFE,2599.0,0.58,4.48
1760266892.490,SAFE,2593.5,0.09,6.0
1760266892.666,SAFE,2495.5,0.04,0.0
1760266892.847,SAFE,2361.5,0.01,0.0
1760266893.028,SAFE,2200.0,0.0,0.0
1760266893.208,SAFE,2060.0,0.12,6.0
1760266893.384,WARN,1982.5,3.21,0.62
1760266893.558,BRAKE,1956.5,3.7,0.53
1760266893.728,BRAKE,1956.5,1.48,1.32
1760266893.902,SAFE,2007.5,0.24,6.0
1760266894.058,BRAKE,2218.0,3.96,0.56
1760266894.220,BRAKE,2587.0,4.39,0.59
1760266894.383,BRAKE,3193.0,4.56,0.7
1760266894.549,SAFE,5357.0,0.73,6.0
1760266894.721,SAFE,5357.0,0.12,6.0
1760266894.892,SAFE,5281.0,0.16,6.0
1760266895.058,SAFE,5210.5,1.89,2.76
1760266895.226,SAFE,5134.0,2.09,2.46
1760266895.389,SAFE,5051.5,0.87,5.81
1760266895.550,SAFE,4972.0,0.14,6.0
1760266895.715,SAFE,4837.5,0.06,6.0
1760266895.878,SAFE,4690.0,3.08,1.52
1760266896.039,WARN,4540.0,4.25,1.07
1760266896.207,WARN,4338.5,4.91,0.88
1760266896.368,SAFE,4205.0,0.79,5.32
1760266896.529,SAFE,4046.5,0.43,6.0
1760266896.689,SAFE,3863.0,0.39,6.0
1760266896.848,SAFE,3713.5,0.15,6.0
1760266897.013,SAFE,3465.5,0.26,6.0
1760266897.181,SAFE,3277.0,0.38,6.0
1760266897.344,SAFE,3086.0,0.16,6.0
1760266897.515,SAFE,2836.5,0.28,6.0
1760266897.686,SAFE,2668.5,0.36,6.0
1760266897.856,SAFE,2481.0,0.41,6.0
1760266898.032,SAFE,2219.0,0.33,6.0
1760266898.207,SAFE,1935.5,0.42,4.61
1760266898.379,SAFE,1790.5,0.17,6.0
1760266898.547,SAFE,1556.0,0.34,4.58
1760266898.717,SAFE,1320.0,0.44,3.0
1760266898.883,SAFE,1187.0,0.18,6.0
1760266899.041,SAFE,1034.5,0.03,0.0
1760266899.207,SAFE,938.0,0.01,0.0
1760266899.370,SAFE,905.0,0.0,0.0
1760266899.530,SAFE,887.0,0.0,0.0
1760266899.696,SAFE,871.0,0.0,0.0
1760266899.854,SAFE,870.0,0.0,0.0
1760266900.025,SAFE,864.5,0.0,0.0
1760266900.188,SAFE,863.5,0.0,0.0
1760266900.344,SAFE,863.5,0.0,0.0
1760266900.514,SAFE,874.0,0.0,0.0
1760266900.682,SAFE,895.5,0.0,0.0
1760266900.850,CORNER,939.5,0.0,0.0
1760266901.021,CORNER,1028.0,0.0,0.0
1760266901.187,CORNER,1085.0,0.0,0.0
1760266901.353,CORNER,1138.5,0.0,0.0
1760266901.521,CORNER,1211.0,0.0,0.0
1760266901.689,CORNER,1250.5,0.0,0.0
1760266901.856,SAFE,1294.5,0.0,0.0
1760266902.018,SAFE,1316.0,0.0,0.0
1760266902.190,SAFE,1421.0,0.0,0.0
1760266902.354,SAFE,1421.0,0.0,0.0
1760266902.522,SAFE,1171.0,0.0,0.0
1760266902.688,SAFE,1046.0,0.0,0.0
1760266902.851,SAFE,924.0,0.0,0.0
1760266903.014,SAFE,851.0,0.0,0.0
1760266903.180,SAFE,851.0,0.12,6.0
1760266903.349,BRAKE,869.0,3.08,0.28
1760266903.513,BRAKE,930.5,3.42,0.27
1760266903.684,BRAKE,2550.5,1.42,1.8
1760266903.859,SAFE,2550.5,0.23,6.0
1760266904.030,SAFE,2364.5,0.04,0.0
1760266904.216,SAFE,2308.5,1.6,1.44
1760266904.407,WARN,2308.5,2.41,0.96
1760266904.587,SAFE,2308.5,1.0,2.31
1760266904.772,BRAKE,493.0,0.16,3.08
1760266904.942,BRAKE,493.0,0.06,6.0
1760266905.118,SAFE,594.5,0.01,0.0
1760266905.288,SAFE,5843.0,2.19,2.67
1760266905.473,SAFE,5843.0,3.34,1.75
1760266905.661,SAFE,5712.5,1.39,4.11
1760266905.852,SAFE,5569.5,0.22,6.0
1760266906.038,SAFE,5421.5,0.04,0.0
1760266906.221,SAFE,5298.0,2.21,2.4
1760266906.397,SAFE,5203.5,3.37,1.54
1760266906.568,SAFE,5203.5,3.5,1.49
1760266906.738,SAFE,5190.5,0.56,6.0
1760266906.909,SAFE,1628.5,0.09,6.0
1760266907.085,WARN,1597.0,2.35,0.68
1760266907.258,BRAKE,1597.0,3.57,0.45
1760266907.423,BRAKE,5526.5,3.71,1.49
1760266907.594,SAFE,5526.5,0.59,6.0
1760266907.753,SAFE,5370.5,0.24,6.0
1760266907.913,SAFE,5273.0,2.55,2.07
1760266908.076,SAFE,5140.0,3.86,1.33
1760266908.239,SAFE,5036.0,4.01,1.26
1760266908.407,SAFE,4876.0,1.61,3.03
1760266908.573,SAFE,4716.0,0.26,6.0
1760266908.736,SAFE,4591.0,3.02,1.52
1760266908.902,WARN,4383.5,4.59,0.96
1760266909.065,SAFE,4232.0,1.91,2.22
1760266909.228,SAFE,4132.0,0.51,6.0
1760266909.399,SAFE,3949.5,0.41,6.0
1760266909.562,SAFE,3871.0,0.36,6.0
1760266909.725,SAFE,3780.5,0.14,6.0
1760266909.893,SAFE,3759.0,0.25,6.0
1760266910.056,SAFE,3489.5,0.36,6.0
1760266910.217,SAFE,3454.0,0.15,6.0
1760266910.380,SAFE,3387.0,0.06,6.0
1760266910.541,SAFE,3268.0,0.31,6.0
1760266910.706,SAFE,3152.0,0.34,6.0
1760266910.869,SAFE,2951.0,0.14,6.0
1760266911.030,SAFE,2814.5,0.25,6.0
1760266911.196,SAFE,2516.0,0.35,6.0
