ts,state,d_min_mm,v_mps,ttc_s
1760263237.487,SAFE,,0.0,
1760263237.669,SAFE,2972.25,0.0,0.0
1760263237.852,SAFE,2963.375,0.0,0.0
1760263238.035,SAFE,2971.75,0.0,0.0
1760263238.216,SAFE,2971.75,0.0,0.0
1760263238.394,SAFE,2972.5,0.0,0.0
1760263238.572,SAFE,2973.0,0.0,0.0
1760263238.745,SAFE,2972.5,0.0,0.0
1760263238.919,SAFE,2887.75,0.0,0.0
1760263239.092,SAFE,125.0,0.0,0.0
1760263239.267,SAFE,125.0,0.0,0.0
1760263239.446,SAFE,126.0,0.0,0.0
1760263239.616,SAFE,126.0,0.0,0.0
1760263239.795,SAFE,127.0,0.0,0.0
1760263239.968,SAFE,127.0,0.0,0.0
1760263240.141,SAFE,2884.0,0.0,0.0
1760263240.312,SAFE,2889.5,0.0,0.0
1760263240.485,SAFE,2889.5,0.0,0.0
1760263240.658,SAFE,2827.25,0.0,0.0
1760263240.824,SAFE,2794.5,0.0,0.0
1760263240.997,SAFE,2794.5,0.0,0.0
1760263241.167,SAFE,2794.5,0.0,0.0
1760263241.336,SAFE,2800.75,0.0,0.0
1760263241.509,SAFE,2971.75,0.0,0.0
1760263241.677,SAFE,2971.75,0.0,0.0
1760263241.847,SAFE,2971.75,0.0,0.0
1760263242.018,SAFE,2972.5,0.0,0.0
1760263242.199,SAFE,2972.5,0.0,0.0
1760263242.367,SAFE,2970.0,0.0,0.0
1760263242.538,SAFE,2960.5,0.0,0.0
1760263242.708,SAFE,2955.5,0.0,0.0
1760263242.879,SAFE,2947.5,0.0,0.0
1760263243.052,SAFE,2947.5,0.0,0.0
1760263243.223,SAFE,2979.0,0.0,0.0
1760263243.394,SAFE,3172.0,0.0,0.0
1760263243.572,SAFE,3244.5,0.0,0.0
1760263243.742,SAFE,3244.5,0.0,0.0
1760263243.913,SAFE,1615.5,0.0,0.0
1760263244.086,SAFE,250.0,0.0,0.0
1760263244.264,SAFE,250.0,0.0,0.0
1760263244.440,SAFE,250.0,0.0,0.0
1760263244.611,SAFE,240.5,0.0,0.0
1760263244.779,SAFE,240.5,0.0,0.0
1760263244.944,SAFE,3400.0,0.0,0.0
1760263245.113,SAFE,3400.0,0.0,0.0
1760263245.276,SAFE,3002.0,0.0,0.0
1760263245.444,SAFE,2914.0,0.0,0.0
1760263245.617,SAFE,2808.5,0.06,6.0
1760263245.785,SAFE,2708.0,0.13,6.0
1760263245.954,SAFE,2664.0,0.16,6.0
1760263246.122,SAFE,2495.5,0.18,6.0
1760263246.300,SAFE,2310.0,0.19,6.0
1760263246.471,SAFE,2200.5,0.2,6.0
1760263246.641,SAFE,2088.5,0.2,6.0
1760263246.812,SAFE,2034.5,0.2,6.0
1760263246.980,SAFE,2034.5,0.2,6.0
1760263247.153,SAFE,1886.5,0.2,6.0
1760263247.324,SAFE,1886.5,0.2,6.0
1760263247.492,SAFE,1930.5,0.2,6.0
1760263247.657,SAFE,1930.5,0.14,6.0
1760263247.823,SAFE,1897.5,0.07,6.0
1760263247.994,SAFE,1884.0,0.05,0.0
1760263248.160,SAFE,1884.0,0.02,0.0
1760263248.330,SAFE,1870.75,0.01,0.0
1760263248.496,SAFE,1870.75,0.01,0.0
1760263248.664,SAFE,1847.0,0.0,0.0
1760263248.835,SAFE,1847.0,0.0,0.0
1760263249.010,SAFE,2090.5,0.0,0.0
1760263249.188,SAFE,2090.5,1.37,1.53
1760263249.359,WARN,2082.5,2.33,0.89
1760263249.535,BRAKE,2006.5,3.47,0.58
1760263249.701,BRAKE,2006.5,3.79,0.53
1760263249.879,BRAKE,2014.0,4.37,0.46
1760263250.050,BRAKE,2154.5,4.49,0.48
1760263250.215,BRAKE,2215.0,4.64,0.48
1760263250.386,BRAKE,2486.5,4.69,0.53
1760263250.562,BRAKE,2823.0,4.74,0.6
1760263250.735,BRAKE,2932.5,4.77,0.61
1760263250.904,SAFE,3001.0,4.78,0.63
1760263251.068,WARN,3001.0,4.78,0.63
1760263251.236,WARN,3001.0,4.79,0.63
1760263251.402,WARN,3021.5,4.79,0.63
1760263251.575,WARN,3021.5,4.79,0.63
1760263251.752,BRAKE,1581.5,4.79,0.33
1760263251.911,BRAKE,1443.0,4.79,0.3
1760263252.084,BRAKE,1295.5,2.35,0.55
1760263252.258,BRAKE,1234.0,1.25,0.99
1760263252.428,SAFE,1196.0,0.72,1.66
1760263252.594,SAFE,1196.0,0.56,2.14
1760263252.770,SAFE,1199.0,0.38,3.16
1760263252.935,SAFE,1199.0,0.29,4.13
1760263253.099,SAFE,1176.0,0.25,4.7
1760263253.264,SAFE,1162.5,0.23,5.05
1760263253.429,SAFE,1154.0,0.22,5.25
1760263253.596,SAFE,1154.0,0.21,5.5
1760263253.768,SAFE,1212.5,0.21,5.77
1760263253.939,SAFE,1262.0,0.21,6.0
1760263254.102,SAFE,1306.0,0.26,5.02
1760263254.270,SAFE,3768.5,0.3,6.0
1760263254.436,SAFE,3768.5,0.35,6.0
1760263254.600,SAFE,3595.0,0.37,6.0
1760263254.768,SAFE,3362.0,0.38,6.0
1760263254.928,SAFE,3232.0,0.38,6.0
1760263255.099,SAFE,2714.5,0.41,6.0
1760263255.267,SAFE,2631.5,0.43,6.0
1760263255.440,SAFE,2579.0,0.45,5.73
1760263255.608,SAFE,2334.0,0.44,5.3
1760263255.792,SAFE,2103.0,0.43,4.89
1760263255.972,SAFE,1930.5,0.42,4.6
1760263256.148,SAFE,1669.0,0.44,3.79
1760263256.324,SAFE,1421.5,0.46,3.09
1760263256.495,SAFE,1187.5,0.47,2.53
1760263256.663,SAFE,1065.5,0.45,2.37
1760263256.831,SAFE,1065.5,0.42,2.54
1760263256.999,SAFE,2288.5,0.41,5.58
1760263257.177,SAFE,2288.5,0.45,5.09
1760263257.355,SAFE,2288.5,0.47,4.87
1760263257.531,SAFE,2206.5,0.48,4.6
1760263257.716,BRAKE,433.5,0.48,0.9
1760263257.878,BRAKE,433.5,0.49,0.88
1760263258.046,BRAKE,522.5,0.48,1.09
1760263258.214,BRAKE,1179.5,0.46,2.56
1760263258.391,SAFE,1188.0,0.45,2.64
1760263258.560,SAFE,1254.0,0.45,2.79
1760263258.733,SAFE,1426.5,0.4,3.57
1760263258.904,WARN,1580.0,1.94,0.81
1760263259.082,BRAKE,1580.0,2.7,0.59
1760263259.250,BRAKE,1580.0,2.92,0.54
1760263259.428,BRAKE,1600.0,3.18,0.5
1760263259.602,BRAKE,1600.0,3.26,0.49
1760263259.770,BRAKE,1582.5,3.34,0.47
1760263259.945,BRAKE,1582.5,3.39,0.47
1760263260.119,BRAKE,1582.5,3.41,0.46
1760263260.294,BRAKE,1563.5,3.42,0.46
1760263260.465,BRAKE,1558.75,3.42,0.46
1760263260.628,BRAKE,1558.75,3.43,0.45
1760263260.794,BRAKE,1558.75,2.4,0.65
1760263260.968,SAFE,1545.0,1.18,1.31
1760263261.132,SAFE,1545.0,0.82,1.88
1760263261.301,SAFE,1542.0,0.58,2.66
1760263261.466,SAFE,1505.0,0.28,5.37
1760263261.645,SAFE,1505.0,0.14,6.0
1760263261.818,SAFE,1480.0,0.07,6.0
1760263261.988,SAFE,1461.0,0.03,0.0
1760263262.159,SAFE,1423.0,0.02,0.0
1760263262.327,SAFE,1408.0,0.01,0.0
1760263262.503,SAFE,1408.0,0.01,0.0
1760263262.684,SAFE,1516.5,0.0,0.0
1760263262.857,SAFE,1524.5,0.0,0.0
1760263263.040,SAFE,1541.5,0.0,0.0
1760263263.215,SAFE,1534.75,0.0,0.0
1760263263.381,SAFE,1541.5,0.0,0.0
1760263263.550,SAFE,1678.0,0.06,6.0
1760263263.720,SAFE,1684.5,0.13,6.0
1760263263.888,SAFE,3778.5,0.16,6.0
1760263264.062,SAFE,3778.5,0.18,6.0
1760263264.234,SAFE,3698.5,0.19,6.0
1760263264.401,SAFE,3568.0,0.2,6.0
1760263264.571,SAFE,3405.0,0.2,6.0
1760263264.744,SAFE,3293.5,0.21,6.0
1760263264.922,SAFE,3153.5,0.21,6.0
1760263265.091,SAFE,2985.5,0.24,6.0
1760263265.266,SAFE,2795.0,0.26,6.0
1760263265.429,SAFE,2703.0,0.28,6.0
1760263265.592,SAFE,2703.0,0.29,6.0
1760263265.756,SAFE,2838.5,0.3,6.0
1760263265.911,SAFE,2940.0,1.54,1.91
1760263266.077,WARN,3178.5,3.03,1.05
1760263266.245,WARN,3355.0,3.45,0.97
1760263266.401,WARN,3178.5,3.75,0.85
1760263266.567,BRAKE,1953.0,4.11,0.48
1760263266.729,BRAKE,1910.5,4.52,0.42
1760263266.890,BRAKE,1894.0,4.72,0.4
1760263267.055,BRAKE,1910.5,4.78,0.4
1760263267.219,BRAKE,3712.0,4.61,0.81
1760263267.383,SAFE,3712.0,4.46,0.83
1760263267.547,WARN,3591.0,4.29,0.84
1760263267.711,WARN,2878.0,4.2,0.69
1760263267.874,WARN,3441.5,4.16,0.83
1760263268.039,WARN,3349.5,4.15,0.81
1760263268.195,WARN,3349.5,4.14,0.81
1760263268.358,WARN,3237.0,4.13,0.78
1760263268.525,WARN,3167.5,4.35,0.73
1760263268.684,WARN,2980.0,4.61,0.65
1760263268.856,BRAKE,2729.5,4.69,0.58
1760263269.014,BRAKE,2607.0,3.43,0.76
1760263269.178,SAFE,2417.5,3.79,0.64
1760263269.341,BRAKE,2341.0,4.21,0.56
1760263269.495,BRAKE,1761.0,4.42,0.4
1760263269.663,BRAKE,1761.0,4.52,0.39
1760263269.829,BRAKE,2132.5,4.55,0.47
1760263269.992,BRAKE,2394.5,4.57,0.52
1760263270.163,BRAKE,2714.0,4.6,0.59
1760263270.333,BRAKE,2714.0,4.61,0.59
1760263270.502,BRAKE,2712.0,4.61,0.59
1760263270.670,BRAKE,2702.5,4.62,0.58
1760263270.845,BRAKE,2702.5,4.62,0.58
1760263271.006,BRAKE,2711.25,4.62,0.59
1760263271.172,BRAKE,2764.0,2.26,1.22
1760263271.347,SAFE,2831.0,1.58,1.79
1760263271.498,SAFE,2864.0,0.78,3.67
1760263271.663,SAFE,2905.0,0.54,5.38
1760263271.824,SAFE,2905.0,0.27,6.0
1760263271.990,SAFE,3062.5,0.19,6.0
1760263272.158,SAFE,3609.5,0.09,6.0
1760263272.326,SAFE,3654.5,0.04,0.0
1760263272.491,SAFE,3654.5,0.02,0.0
1760263272.657,SAFE,3646.5,0.08,6.0
1760263272.821,SAFE,3558.0,0.98,3.63
1760263272.981,SAFE,3558.0,1.24,2.87
1760263273.149,SAFE,3664.5,1.55,2.36
1760263273.312,SAFE,3664.5,1.7,2.16
1760263273.481,SAFE,3608.5,1.78,2.03
1760263273.646,SAFE,3495.5,1.8,1.94
1760263273.814,SAFE,2915.5,1.82,1.6
1760263273.980,SAFE,2756.0,2.29,1.2
1760263274.153,WARN,2518.0,2.85,0.88
1760263274.324,WARN,2404.5,3.12,0.77
1760263274.497,WARN,2321.5,3.26,0.71
