ts,state,d_min_mm,v_mps,ttc_s
1760262876.010,SAFE,,0.0,
1760262876.182,SAFE,3062.0,0.0,0.0
1760262876.368,SAFE,3077.0,0.0,0.0
1760262876.549,SAFE,3092.0,0.0,0.0
1760262876.727,SAFE,3103.5,0.0,0.0
1760262876.905,SAFE,3126.5,0.0,0.0
1760262877.081,SAFE,3136.5,0.0,0.0
1760262877.256,SAFE,3145.5,0.0,0.0
1760262877.432,SAFE,3151.0,0.0,0.0
1760262877.611,SAFE,3151.25,0.0,0.0
1760262877.784,SAFE,3153.5,0.0,0.0
1760262877.957,SAFE,3153.5,0.0,0.0
1760262878.130,SAFE,3153.5,0.0,0.0
1760262878.303,SAFE,3155.0,0.0,0.0
1760262878.476,SAFE,3164.0,0.0,0.0
1760262878.655,SAFE,3204.5,0.06,6.0
1760262878.830,SAFE,3250.5,1.15,2.83
1760262879.009,SAFE,3250.5,1.69,1.92
1760262879.193,BRAKE,937.5,1.95,0.48
1760262879.365,BRAKE,937.5,2.03,0.46
1760262879.543,BRAKE,1128.0,2.12,0.53
1760262879.726,BRAKE,1185.0,2.16,0.55
1760262879.905,BRAKE,1208.5,2.18,0.55
1760262880.073,BRAKE,1351.5,2.2,0.61
1760262880.249,SAFE,2148.5,2.2,0.98
1760262880.421,WARN,2148.5,2.2,0.98
1760262880.597,WARN,1973.0,2.2,0.9
1760262880.773,SAFE,1857.0,1.18,1.57
1760262880.948,SAFE,1973.0,0.68,2.9
1760262881.132,SAFE,3194.5,0.44,6.0
1760262881.310,SAFE,3194.5,0.37,6.0
1760262881.491,SAFE,3122.5,0.26,6.0
1760262881.664,SAFE,3122.5,0.24,6.0
1760262881.845,SAFE,3133.0,0.22,6.0
1760262882.028,SAFE,3134.75,0.21,6.0
1760262882.206,SAFE,3134.75,0.21,6.0
1760262882.379,SAFE,3163.5,0.21,6.0
1760262882.555,SAFE,3196.5,0.21,6.0
1760262882.736,SAFE,3196.5,1.05,3.04
1760262882.916,SAFE,3443.0,1.46,2.36
1760262883.089,SAFE,2988.0,1.67,1.79
1760262883.260,SAFE,2988.0,1.72,1.74
1760262883.436,SAFE,2712.0,1.79,1.52
1760262883.604,SAFE,2660.5,1.32,2.02
1760262883.772,SAFE,2699.5,0.76,3.55
1760262883.940,SAFE,2699.5,0.49,5.51
1760262884.111,SAFE,2751.0,0.35,6.0
1760262884.269,SAFE,2751.0,1.76,1.56
1760262884.437,WARN,2711.5,3.43,0.79
1760262884.608,WARN,2703.0,4.25,0.64
1760262884.773,WARN,2562.5,3.1,0.83
1760262884.939,WARN,1396.5,1.73,0.81
1760262885.108,SAFE,1350.0,1.06,1.27
1760262885.266,SAFE,1332.0,0.88,1.51
1760262885.434,SAFE,1332.0,0.67,1.99
1760262885.601,SAFE,3640.5,0.58,6.0
1760262885.765,SAFE,3640.5,0.56,6.0
1760262885.933,SAFE,3391.5,0.54,6.0
1760262886.094,SAFE,3239.5,0.53,6.0
1760262886.262,SAFE,3004.0,0.49,6.0
1760262886.437,SAFE,2772.5,0.47,5.9
1760262886.608,SAFE,2638.0,0.44,6.0
1760262886.776,SAFE,2446.5,1.83,1.34
1760262886.950,WARN,2279.5,3.49,0.65
1760262887.127,BRAKE,2118.5,4.3,0.49
1760262887.296,BRAKE,2031.0,3.27,0.62
1760262887.476,CORNER,1870.0,3.76,0.5
1760262887.649,CORNER,1671.5,4.35,0.38
1760262887.820,CORNER,1573.5,4.63,0.34
1760262887.996,CORNER,1573.5,4.77,0.33
1760262888.177,CORNER,1837.5,4.69,0.39
1760262888.350,CORNER,2677.5,4.59,0.58
1760262888.525,BRAKE,2677.5,4.54,0.59
1760262888.698,SAFE,2677.5,3.27,0.82
1760262888.862,WARN,2626.0,2.4,1.09
1760262889.038,SAFE,2626.0,1.36,1.93
1760262889.218,BRAKE,467.5,0.85,0.55
1760262889.391,BRAKE,415.0,0.6,0.69
1760262889.565,BRAKE,406.5,0.53,0.77
1760262889.738,BRAKE,406.5,0.45,0.9
1760262889.908,BRAKE,315.5,1.3,0.24
1760262890.084,BRAKE,198.5,2.32,0.09
1760262890.257,BRAKE,197.0,2.62,0.08
1760262890.431,BRAKE,195.0,2.97,0.07
1760262890.604,BRAKE,191.0,3.15,0.06
1760262890.774,BRAKE,191.0,3.2,0.06
1760262890.945,BRAKE,191.0,3.26,0.06
1760262891.126,BRAKE,201.0,3.28,0.06
1760262891.304,BRAKE,664.5,3.29,0.2
1760262891.482,BRAKE,201.0,3.3,0.06
1760262891.668,BRAKE,664.5,3.31,0.2
1760262891.854,BRAKE,200.0,3.31,0.06
1760262892.039,BRAKE,190.25,1.62,0.12
1760262892.225,BRAKE,189.75,0.79,0.24
1760262892.413,BRAKE,188.5,0.39,0.48
1760262892.602,BRAKE,188.5,0.27,0.7
1760262892.787,BRAKE,189.75,0.09,2.11
1760262892.975,SAFE,567.5,0.05,0.0
1760262893.153,SAFE,601.75,0.03,0.0
1760262893.337,SAFE,701.25,0.02,0.0
1760262893.523,SAFE,701.25,0.01,0.0
1760262893.706,SAFE,625.75,0.0,0.0
1760262893.889,SAFE,625.75,0.0,0.0
1760262894.075,SAFE,687.5,0.0,0.0
