ts,state,d_min_mm,ttc_s
1760196986.702,SAFE,,
1760196986.888,SAFE,3815.5,6.0
1760196987.073,SAFE,3814.625,6.0
1760196987.267,SAFE,3813.75,6.0
1760196987.445,SAFE,3813.75,6.0
1760196987.626,SAFE,3813.0,6.0
1760196987.807,SAFE,3812.75,6.0
1760196987.990,SAFE,3812.75,6.0
1760196988.160,SAFE,3814.0,6.0
1760196988.336,SAFE,3814.25,6.0
1760196988.524,SAFE,3814.25,6.0
1760196988.692,SAFE,3815.0,6.0
1760196988.873,SAFE,3815.75,6.0
1760196989.046,SAFE,3815.75,6.0
1760196989.230,SAFE,3815.75,6.0
1760196989.405,SAFE,3814.25,6.0
1760196989.583,SAFE,3814.25,6.0
1760196989.761,SAFE,3815.0,6.0
1760196989.940,SAFE,3816.25,6.0
1760196990.120,SAFE,3816.25,6.0
1760196990.296,SAFE,3813.5,6.0
1760196990.474,SAFE,3813.5,6.0
1760196990.652,SAFE,3814.5,6.0
1760196990.825,SAFE,3814.5,6.0
1760196991.004,SAFE,3817.5,6.0
1760196991.177,SAFE,3814.5,6.0
1760196991.355,SAFE,3815.0,6.0
1760196991.531,SAFE,3815.0,6.0
1760196991.714,SAFE,3815.0,6.0
1760196991.885,SAFE,3816.0,6.0
1760196992.065,SAFE,3816.5,6.0
1760196992.239,SAFE,3816.75,6.0
1760196992.422,SAFE,3816.5,6.0
1760196992.597,SAFE,3815.25,6.0
1760196992.773,SAFE,3814.0,6.0
1760196992.949,SAFE,3814.0,6.0
1760196993.129,BRAKE,240.5,0.48
1760196993.313,BRAKE,192.5,0.39
1760196993.486,BRAKE,188.0,0.38
1760196993.669,BRAKE,181.5,0.36
1760196993.845,BRAKE,181.5,0.36
1760196994.025,BRAKE,182.0,0.36
1760196994.207,BRAKE,226.0,0.45
1760196994.385,BRAKE,3816.0,6.0
1760196994.560,SAFE,3817.0,6.0
1760196994.738,SAFE,3816.0,6.0
1760196994.919,SAFE,3814.0,6.0
1760196995.100,SAFE,3814.0,6.0
1760196995.280,SAFE,3814.5,6.0
1760196995.461,SAFE,3814.5,6.0
1760196995.637,BRAKE,243.0,0.49
1760196995.815,BRAKE,176.5,0.35
1760196995.991,BRAKE,172.0,0.34
1760196996.166,BRAKE,171.0,0.34
1760196996.337,BRAKE,167.0,0.33
1760196996.523,BRAKE,167.0,0.33
1760196996.708,BRAKE,183.0,0.37
1760196996.882,BRAKE,3815.0,6.0
1760196997.060,SAFE,3815.0,6.0
1760196997.233,SAFE,3816.5,6.0
1760196997.416,SAFE,3816.5,6.0
1760196997.595,SAFE,3817.75,6.0
1760196997.770,SAFE,3815.0,6.0
1760196997.949,SAFE,3814.5,6.0
1760196998.124,SAFE,3814.5,6.0
1760196998.302,SAFE,3814.5,6.0
1760196998.475,SAFE,3815.5,6.0
1760196998.656,SAFE,3816.25,6.0
1760196998.831,SAFE,3816.25,6.0
1760196999.015,SAFE,3816.25,6.0
1760196999.193,SAFE,3815.5,6.0
1760196999.366,SAFE,3815.5,6.0
1760196999.544,SAFE,3815.5,6.0
1760196999.720,SAFE,3815.75,6.0
1760196999.898,SAFE,3815.75,6.0
1760197000.072,SAFE,3815.0,6.0
1760197000.250,SAFE,3815.0,6.0
1760197000.426,SAFE,3815.25,6.0
1760197000.606,SAFE,3815.5,6.0
