ts,state,d_min_mm,v_mps,ttc_s
1760267558.563,SAFE,,0.0,
1760267558.741,SAFE,2915.5,0.0,0.0
1760267558.921,SAFE,2914.5,0.0,0.0
1760267559.102,SAFE,2915.5,0.0,0.0
1760267559.283,SAFE,2915.5,0.0,0.0
1760267559.456,SAFE,2916.5,0.0,0.0
1760267559.627,SAFE,2916.5,0.0,0.0
1760267559.805,SAFE,2916.5,0.0,0.0
1760267559.971,SAFE,2908.5,0.0,0.0
1760267560.149,SAFE,2908.5,0.0,0.0
1760267560.322,SAFE,2908.5,0.0,0.0
1760267560.495,SAFE,2630.0,0.0,0.0
1760267560.673,SAFE,2630.0,0.0,0.0
1760267560.852,SAFE,2633.0,0.0,0.0
1760267561.030,SAFE,2638.0,0.0,0.0
1760267561.201,SAFE,2639.0,0.0,0.0
1760267561.369,SAFE,2671.5,0.0,0.0
1760267561.544,SAFE,2921.5,0.0,0.0
1760267561.710,SAFE,2930.0,0.0,0.0
1760267561.889,SAFE,2943.5,0.0,0.0
1760267562.069,SAFE,2943.5,0.0,0.0
1760267562.242,SAFE,2911.0,0.0,0.0
1760267562.418,SAFE,2911.0,0.0,0.0
1760267562.589,SAFE,2969.5,0.0,0.0
1760267562.759,SAFE,3072.5,0.0,0.0
1760267562.933,SAFE,3161.5,0.0,0.0
1760267563.101,SAFE,3338.5,0.0,0.0
1760267563.274,SAFE,3481.5,1.81,1.92
1760267563.445,WARN,3481.5,3.08,1.13
1760267563.618,WARN,3356.0,3.36,1.0
1760267563.789,WARN,2487.5,3.43,0.73
1760267563.957,WARN,2487.5,3.44,0.72
1760267564.132,WARN,2657.5,2.53,1.05
1760267564.303,WARN,2877.0,3.3,0.87
1760267564.487,WARN,3848.5,3.85,1.0
1760267564.662,WARN,3848.5,3.93,0.98
1760267564.845,BRAKE,2307.5,3.99,0.58
1760267565.024,BRAKE,2307.5,1.04,2.22
1760267565.192,SAFE,2386.5,2.78,0.86
1760267565.368,WARN,2386.5,3.17,0.75
1760267565.543,WARN,2100.0,3.26,0.64
1760267565.724,BRAKE,1951.0,3.28,0.59
1760267565.887,BRAKE,1518.0,3.28,0.46
