ts,state,d_min_mm,ttc_s,target_deg,reason
1760008705.377,SAFE,,,0,no_measure_keep
1760008705.565,BRAKE,237.09999999999997,0.47,140,dist<600
1760008705.746,BRAKE,241.64,0.48,140,tick
1760008705.927,BRAKE,241.64,0.48,140,tick
1760008706.107,BRAKE,244.01399999999998,0.49,140,tick
1760008706.288,BRAKE,245.98839999999998,0.49,140,tick
1760008706.469,BRAKE,247.07304,0.49,140,tick
1760008706.649,BRAKE,247.643824,0.5,140,tick
1760008706.830,BRAKE,248.2562944,0.5,140,tick
1760008707.011,BRAKE,248.56377664,0.5,140,tick
1760008707.192,BRAKE,248.8733063936,0.5,140,tick
1760008707.372,BRAKE,248.908265984,0.5,140,tick
1760008707.553,BRAKE,249.09398383616,0.5,140,tick
1760008707.734,BRAKE,249.31639030169598,0.5,140,tick
1760008707.914,BRAKE,249.78983418101757,0.5,140,tick
1760008708.095,BRAKE,250.43390050861052,0.5,140,tick
1760008708.276,BRAKE,250.9903403051663,0.5,140,tick
1760008708.456,BRAKE,251.1742041830998,0.5,140,tick
1760008708.637,BRAKE,251.37452250985987,0.5,140,tick
1760008708.818,BRAKE,252.17388540236635,0.5,140,tick
1760008708.998,BRAKE,252.4347135059159,0.5,140,tick
1760008709.179,BRAKE,252.22873249656794,0.5,140,tick
1760008709.360,BRAKE,252.6843312414198,0.51,140,tick
1760008709.540,BRAKE,254.2798957991763,0.51,140,tick
1760008709.721,BRAKE,254.2798957991763,0.51,140,tick
1760008709.902,BRAKE,253.39195831967052,0.51,140,tick
1760008710.083,BRAKE,253.39195831967052,0.51,140,tick
1760008710.263,BRAKE,253.52306999672092,0.51,140,tick
1760008710.444,BRAKE,253.54653679921302,0.51,140,tick
1760008710.625,BRAKE,253.65384199803253,0.51,140,tick
1760008710.805,BRAKE,253.54653679921302,0.51,140,tick
1760008710.986,BRAKE,253.66792207952778,0.51,140,tick
1760008711.167,BRAKE,254.91330129908664,0.51,140,tick
1760008711.348,BRAKE,255.00798077945197,0.51,140,tick
1760008711.528,BRAKE,255.22478846767117,0.51,140,tick
1760008711.709,BRAKE,255.22478846767117,0.51,140,tick
1760008711.890,BRAKE,255.6548730806027,0.51,140,tick
1760008712.070,BRAKE,342.6911695393446,0.69,140,tick
1760008712.251,BRAKE,407.8747017236068,0.82,140,tick
1760008712.432,BRAKE,454.40482103416406,0.91,140,tick
1760008712.613,BRAKE,483.66289262049844,0.97,140,tick
1760008712.793,BRAKE,484.05309422891963,0.97,140,tick
1760008712.974,BRAKE,484.05309422891963,0.97,140,tick
1760008713.155,BRAKE,484.05309422891963,0.97,140,tick
1760008713.335,BRAKE,481.18623769156784,0.96,140,tick
1760008713.516,BRAKE,424.7016970459763,0.85,140,tick
1760008713.697,BRAKE,424.5914072910343,0.85,140,tick
1760008713.877,BRAKE,389.8856788183905,0.78,140,tick
1760008714.058,BRAKE,424.5914072910343,0.85,140,tick
1760008714.239,BRAKE,390.64397509993927,0.78,140,tick
1760008714.420,BRAKE,390.64397509993927,0.78,140,tick
1760008714.600,BRAKE,390.64397509993927,0.78,140,tick
1760008714.781,BRAKE,422.3455540239854,0.84,140,tick
1760008714.962,BRAKE,432.92733241439123,0.87,140,tick
1760008715.142,BRAKE,807.2763994486347,1.61,140,tick
1760008715.328,SAFE,1019.9458396691807,2.04,0,brake_release_ok
1760008715.509,SAFE,1140.6875038015085,2.28,0,tick
1760008715.690,SAFE,1210.012502280905,2.42,0,tick
1760008715.870,SAFE,1252.3775013685429,2.5,0,tick
1760008716.051,SAFE,1279.2665008211256,2.56,0,tick
1760008716.231,SAFE,1295.6299004926755,2.59,0,tick
1760008716.412,SAFE,1305.3279402956052,2.61,0,tick
1760008716.593,SAFE,1311.236764177363,2.62,0,tick
1760008716.774,SAFE,1313.9720585064179,2.63,0,tick
1760008716.955,SAFE,1314.7432351038506,2.63,0,tick
1760008717.135,SAFE,1315.0359410623103,2.63,0,tick
1760008717.316,SAFE,1315.521564637386,2.63,0,tick
1760008717.497,SAFE,1316.5329387824315,2.63,0,tick
1760008717.677,SAFE,1316.5329387824315,2.63,0,tick
1760008717.858,SAFE,1316.6497632694588,2.63,0,tick
1760008718.039,SAFE,1316.4999053077834,2.63,0,tick
1760008718.219,SAFE,1313.8285863643207,2.63,0,tick
1760008718.400,SAFE,1313.8285863643207,2.63,0,tick
1760008718.581,SAFE,1314.9971518185923,2.63,0,tick
1760008718.762,SAFE,1316.0382910911553,2.63,0,tick
1760008718.942,SAFE,1316.0382910911553,2.63,0,tick
1760008719.123,SAFE,1314.0899139171263,2.63,0,tick
1760008719.303,SAFE,1314.0899139171263,2.63,0,tick
1760008719.484,SAFE,1314.0899139171263,2.63,0,tick
1760008719.665,SAFE,1314.3239483502757,2.63,0,tick
1760008719.845,SAFE,1309.2995793401103,2.62,0,tick
1760008720.026,SAFE,1317.2397476040662,2.63,0,tick
1760008720.207,SAFE,1320.5298157699904,2.64,0,tick
1760008720.388,SAFE,1320.5298157699904,2.64,0,tick
1760008720.568,SAFE,890.9419263079961,1.78,0,tick
1760008720.754,BRAKE,559.0867705231985,1.12,140,dist<600
1760008720.935,BRAKE,374.0247082092794,0.75,140,tick
1760008721.115,BRAKE,289.07988328371175,0.58,140,tick
1760008721.296,BRAKE,254.09695331348468,0.51,140,tick
1760008721.477,BRAKE,242.05378132539386,0.48,140,tick
1760008721.657,BRAKE,240.7549075180945,0.48,140,tick
1760008721.839,BRAKE,240.7549075180945,0.48,140,tick
1760008722.019,BRAKE,242.2129445108567,0.48,140,tick
1760008722.200,BRAKE,243.287766706514,0.49,140,tick
1760008722.380,BRAKE,244.26266002390838,0.49,140,tick
1760008722.561,BRAKE,245.46759601434502,0.49,140,tick
1760008722.742,BRAKE,246.1652230434428,0.49,140,tick
1760008722.923,BRAKE,246.62913382606567,0.49,140,tick
1760008723.104,BRAKE,246.62913382606567,0.49,140,tick
1760008723.284,BRAKE,246.86499211825574,0.49,140,tick
1760008723.465,BRAKE,247.0374802956394,0.49,140,tick
1760008723.645,BRAKE,247.76899527095344,0.5,140,tick
1760008723.826,BRAKE,247.90139716257204,0.5,140,tick
1760008724.007,BRAKE,248.3308382975432,0.5,140,tick
1760008724.188,BRAKE,248.68850297852592,0.5,140,tick
1760008724.368,BRAKE,248.68850297852592,0.5,140,tick
1760008724.549,BRAKE,248.7963444289077,0.5,140,tick
1760008724.729,BRAKE,248.7963444289077,0.5,140,tick
1760008724.911,BRAKE,248.7963444289077,0.5,140,tick
1760008725.091,BRAKE,246.23412266293784,0.49,140,tick
1760008725.272,BRAKE,245.9586490651751,0.49,140,tick
1760008725.453,BRAKE,245.45845962607004,0.49,140,tick
1760008725.633,BRAKE,243.158383850428,0.49,140,tick
1760008725.814,BRAKE,241.2110121241027,0.48,140,tick
1760008725.995,BRAKE,241.2110121241027,0.48,140,tick
1760008726.175,BRAKE,242.97364290978464,0.49,140,tick
1760008726.356,BRAKE,243.1841857458708,0.49,140,tick
1760008726.537,BRAKE,243.1841857458708,0.49,140,tick
1760008726.718,BRAKE,270.5905114475225,0.54,140,tick
1760008726.898,BRAKE,652.0343068685135,1.3,140,tick
1760008727.079,BRAKE,905.9005841211081,1.81,140,tick
1760008727.264,SAFE,1058.3403504726648,2.12,0,brake_release_ok
1760008727.445,SAFE,1153.784210283599,2.31,0,tick
1760008727.626,SAFE,1258.6205261701593,2.52,0,tick
1760008727.807,SAFE,1309.5629262808382,2.62,0,tick
1760008727.987,SAFE,1309.5629262808382,2.62,0,tick
1760008728.168,SAFE,1309.5629262808382,2.62,0,tick
1760008728.349,SAFE,1344.1361023074012,2.69,0,tick
1760008728.530,SAFE,1367.5616613844406,2.74,0,tick
1760008728.710,SAFE,1379.7469968306643,2.76,0,tick
1760008728.891,SAFE,1379.7469968306643,2.76,0,tick
1760008729.071,SAFE,1359.0603675436157,2.72,0,tick
1760008729.252,SAFE,1359.0603675436157,2.72,0,tick
1760008729.433,SAFE,1382.2262205261693,2.76,0,tick
