ts,state,d_min_mm,v_mps,ttc_s
1760260568.639,SAFE,,0.0,
1760260568.815,SAFE,3105.25,0.0,0.0
1760260568.995,SAFE,3106.125,0.0,0.0
1760260569.174,SAFE,3107.0,0.0,0.0
1760260569.352,SAFE,3107.0,0.0,0.0
1760260569.527,SAFE,3107.0,0.0,0.0
1760260569.704,SAFE,3107.0,0.0,0.0
1760260569.879,SAFE,3108.75,0.0,0.0
1760260570.057,SAFE,3108.75,0.0,0.0
1760260570.231,SAFE,3109.75,0.0,0.0
1760260570.404,SAFE,3109.75,0.0,0.0
1760260570.579,SAFE,3109.75,0.0,0.0
1760260570.750,SAFE,3112.5,0.0,0.0
1760260570.933,CORNER,3109.75,0.0,0.0
1760260571.109,SAFE,3109.75,0.0,0.0
1760260571.279,SAFE,3093.75,0.0,0.0
1760260571.450,SAFE,3092.25,0.0,0.0
1760260571.628,SAFE,555.5,0.0,0.0
1760260571.802,SAFE,509.0,0.0,0.0
1760260571.975,SAFE,496.0,0.0,0.0
1760260572.145,SAFE,486.5,0.0,0.0
1760260572.316,SAFE,468.5,0.0,0.0
1760260572.484,SAFE,430.5,0.0,0.0
1760260572.660,SAFE,405.5,0.0,0.0
1760260572.820,SAFE,390.5,0.0,0.0
1760260572.986,SAFE,390.5,0.0,0.0
1760260573.152,SAFE,393.5,0.0,0.0
1760260573.317,SAFE,399.0,0.0,0.0
1760260573.486,SAFE,411.5,0.0,0.0
1760260573.656,SAFE,440.0,0.0,0.0
1760260573.824,SAFE,462.5,0.0,0.0
1760260573.992,SAFE,481.25,0.0,0.0
1760260574.163,SAFE,519.0,0.0,0.0
1760260574.336,SAFE,519.0,0.0,0.0
1760260574.504,SAFE,483.0,0.0,0.0
1760260574.675,SAFE,466.5,0.0,0.0
1760260574.841,SAFE,458.0,0.0,0.0
1760260575.009,SAFE,449.0,0.0,0.0
1760260575.187,SAFE,431.5,0.0,0.0
1760260575.355,SAFE,426.5,0.0,0.0
1760260575.528,SAFE,426.5,0.0,0.0
1760260575.696,SAFE,431.5,0.0,0.0
1760260575.870,SAFE,448.0,0.0,0.0
1760260576.035,SAFE,458.5,0.0,0.0
1760260576.211,SAFE,495.0,0.0,0.0
1760260576.389,SAFE,722.0,0.0,0.0
1760260576.569,SAFE,722.0,0.0,0.0
1760260576.743,SAFE,706.0,0.0,0.0
1760260576.921,SAFE,706.0,0.0,0.0
1760260577.099,SAFE,711.5,0.0,0.0
1760260577.278,SAFE,711.5,0.0,0.0
1760260577.448,SAFE,721.0,0.0,0.0
1760260577.629,SAFE,725.75,0.0,0.0
1760260577.802,SAFE,735.25,0.0,0.0
1760260577.980,SAFE,746.5,0.0,0.0
1760260578.154,SAFE,746.5,0.0,0.0
1760260578.324,SAFE,1576.5,0.0,0.0
1760260578.502,SAFE,1576.5,0.0,0.0
1760260578.680,SAFE,3178.5,0.0,0.0
1760260578.856,SAFE,3792.0,0.0,0.0
1760260579.032,SAFE,3800.5,0.0,0.0
1760260579.205,SAFE,3798.0,0.0,0.0
1760260579.383,SAFE,3802.0,0.0,0.0
1760260579.564,SAFE,3799.0,0.0,0.0
1760260579.735,SAFE,3799.0,0.0,0.0
1760260579.903,SAFE,3798.5,0.0,0.0
1760260580.076,SAFE,3798.0,0.0,0.0
1760260580.249,SAFE,3773.0,0.0,0.0
1760260580.422,SAFE,3730.0,0.0,0.0
1760260580.596,SAFE,3730.0,0.0,0.0
1760260580.769,SAFE,3730.0,0.0,0.0
1760260580.942,SAFE,3728.0,0.0,0.0
1760260581.120,SAFE,3728.0,0.0,0.0
1760260581.296,SAFE,3721.0,0.0,0.0
1760260581.472,SAFE,3599.5,0.0,0.0
1760260581.642,SAFE,3599.5,0.0,0.0
1760260581.813,SAFE,3557.0,0.0,0.0
1760260581.987,SAFE,3792.5,0.0,0.0
1760260582.154,SAFE,3792.5,0.0,0.0
1760260582.322,SAFE,3808.25,0.0,0.0
1760260582.491,SAFE,3808.25,0.0,0.0
1760260582.669,SAFE,3788.0,0.0,0.0
1760260582.842,SAFE,3527.0,0.0,0.0
1760260583.020,SAFE,3527.0,0.0,0.0
1760260583.193,SAFE,3528.0,0.0,0.0
1760260583.374,SAFE,3529.5,0.0,0.0
1760260583.547,SAFE,3528.0,0.0,0.0
1760260583.728,SAFE,3534.5,0.0,0.0
1760260583.901,SAFE,3524.5,0.0,0.0
1760260584.072,SAFE,3534.5,0.0,0.0
1760260584.248,SAFE,3528.0,0.0,0.0
1760260584.426,SAFE,3532.5,0.0,0.0
1760260584.599,SAFE,3530.0,0.0,0.0
1760260584.777,SAFE,3532.5,0.0,0.0
1760260584.960,SAFE,3530.0,0.0,0.0
1760260585.143,SAFE,3504.0,0.0,0.0
1760260585.324,SAFE,3500.5,0.0,0.0
1760260585.500,SAFE,3157.0,0.09,6.0
1760260585.680,SAFE,3157.0,0.15,6.0
1760260585.856,SAFE,3216.0,0.23,6.0
1760260586.032,SAFE,3269.5,0.26,6.0
1760260586.205,SAFE,3330.0,0.28,6.0
1760260586.378,SAFE,3428.0,0.29,6.0
1760260586.554,SAFE,3533.5,0.29,6.0
1760260586.730,SAFE,3632.5,0.3,6.0
1760260586.908,SAFE,3682.0,0.3,6.0
1760260587.079,SAFE,3779.5,2.2,1.72
1760260587.254,SAFE,3779.5,3.13,1.21
1760260587.433,BRAKE,1257.0,3.59,0.35
1760260587.605,BRAKE,1257.0,3.72,0.34
1760260587.781,BRAKE,3840.0,3.88,0.99
1760260587.955,SAFE,3840.0,3.96,0.97
1760260588.131,BRAKE,921.5,4.25,0.22
1760260588.301,BRAKE,911.25,4.34,0.21
1760260588.476,BRAKE,911.25,4.44,0.21
1760260588.657,BRAKE,1313.5,4.49,0.29
1760260588.833,BRAKE,1376.0,4.52,0.3
1760260589.003,BRAKE,1376.0,4.52,0.3
1760260589.174,BRAKE,1856.0,4.53,0.41
1760260589.357,BRAKE,1856.0,4.54,0.41
1760260589.538,BRAKE,1833.0,4.54,0.4
1760260589.721,BRAKE,1828.0,4.54,0.4
1760260589.897,BRAKE,1833.0,4.54,0.4
1760260590.075,BRAKE,2975.0,3.18,0.94
1760260590.265,SAFE,2975.0,1.71,1.74
1760260590.441,SAFE,2685.5,0.99,2.71
1760260590.620,SAFE,2531.0,0.78,3.24
1760260590.792,SAFE,2380.5,0.54,4.41
1760260590.968,SAFE,2195.0,0.42,5.23
1760260591.144,SAFE,1985.5,0.36,5.52
1760260591.312,SAFE,1933.0,0.34,5.69
1760260591.480,SAFE,1796.5,0.32,5.61
1760260591.661,BRAKE,1796.5,3.38,0.53
1760260591.821,BRAKE,1904.0,4.88,0.39
1760260591.985,BRAKE,2161.5,5.31,0.41
1760260592.155,BRAKE,2161.5,5.48,0.39
1760260592.333,BRAKE,1226.0,7.39,0.17
1760260592.504,BRAKE,1195.0,7.94,0.15
1760260592.670,BRAKE,1202.0,9.78,0.12
1760260592.845,BRAKE,1202.0,10.68,0.11
1760260593.011,BRAKE,1290.5,12.57,0.1
1760260593.172,BRAKE,3556.5,13.12,0.27
1760260593.342,BRAKE,3556.5,13.76,0.26
1760260593.510,BRAKE,3331.0,13.95,0.24
1760260593.679,BRAKE,2932.5,14.66,0.2
1760260593.862,BRAKE,2515.5,15.35,0.16
1760260594.046,BRAKE,2165.5,14.32,0.15
1760260594.226,BRAKE,2000.5,13.81,0.14
1760260594.397,BRAKE,1716.5,12.44,0.14
1760260594.568,BRAKE,1492.5,12.04,0.12
1760260594.741,BRAKE,1307.0,11.57,0.11
1760260594.906,BRAKE,1208.5,11.43,0.11
1760260595.067,BRAKE,1138.5,11.27,0.1
1760260595.240,BRAKE,1059.5,7.96,0.13
1760260595.408,BRAKE,1059.5,4.76,0.22
1760260595.580,CORNER,1127.5,3.83,0.29
1760260595.747,CORNER,1127.5,2.74,0.41
1760260595.912,CORNER,1082.5,2.2,0.49
1760260596.073,CORNER,1043.0,1.68,0.62
1760260596.239,CORNER,1043.0,1.77,0.59
1760260596.405,CORNER,1057.5,1.79,0.59
1760260596.568,CORNER,1116.0,1.82,0.61
1760260596.741,CORNER,1213.5,1.84,0.66
1760260596.912,CORNER,1330.0,1.84,0.72
1760260597.085,CORNER,1519.5,1.85,0.82
1760260597.269,WARN,1985.5,1.85,1.07
1760260597.441,WARN,1985.5,1.85,1.07
1760260597.617,WARN,1435.5,1.85,0.78
1760260597.795,WARN,1435.5,1.85,0.78
1760260597.973,WARN,1475.5,1.85,0.8
1760260598.149,WARN,1475.5,1.3,1.14
1760260598.320,SAFE,1430.0,0.64,2.23
1760260598.500,SAFE,1430.0,0.44,3.25
1760260598.679,SAFE,2366.5,0.22,6.0
1760260598.857,SAFE,2366.5,0.11,6.0
1760260599.027,SAFE,2328.0,0.05,0.0
1760260599.211,SAFE,2009.5,0.04,0.0
1760260599.383,SAFE,1972.5,0.02,0.0
1760260599.557,SAFE,1828.5,0.01,0.0
1760260599.737,SAFE,1667.0,0.01,0.0
1760260599.910,SAFE,1667.0,0.0,0.0
1760260600.081,SAFE,1694.5,0.91,1.86
1760260600.254,WARN,1777.5,1.88,0.95
1760260600.438,WARN,1833.5,2.36,0.78
1760260600.618,WARN,2027.5,2.59,0.78
1760260600.797,WARN,2348.0,2.71,0.87
1760260600.975,WARN,2348.0,2.74,0.86
1760260601.148,WARN,2300.5,2.78,0.83
1760260601.324,WARN,2271.5,2.04,1.11
1760260601.499,WARN,2271.5,2.5,0.91
1760260601.670,WARN,2298.5,3.05,0.75
1760260601.843,WARN,2374.0,3.32,0.72
1760260602.019,WARN,2442.0,3.4,0.72
1760260602.185,WARN,2537.0,3.49,0.73
1760260602.353,WARN,2643.0,3.53,0.75
1760260602.526,WARN,2664.0,2.57,1.04
1760260602.686,WARN,2664.0,2.86,0.93
1760260602.855,WARN,2664.0,3.2,0.83
1760260603.025,WARN,2889.0,3.29,0.88
1760260603.186,WARN,3026.0,3.41,0.89
1760260603.351,WARN,3138.0,3.47,0.9
1760260603.515,WARN,3217.0,3.49,0.92
1760260603.673,WARN,3298.0,3.5,0.94
1760260603.838,SAFE,3383.0,2.55,1.33
1760260604.006,SAFE,3434.5,2.7,1.27
1760260604.167,SAFE,3505.0,2.88,1.22
1760260604.338,SAFE,3576.0,2.97,1.2
1760260604.506,SAFE,3630.0,3.0,1.21
