ts,state,d_min_mm,v_mps,ttc_s
1760267051.422,SAFE,,0.0,
1760267051.595,SAFE,2921.75,0.0,0.0
1760267051.774,SAFE,2925.375,0.0,0.0
1760267051.952,SAFE,2926.5,0.0,0.0
1760267052.125,SAFE,2929.0,0.0,0.0
1760267052.301,SAFE,2926.5,0.0,0.0
1760267052.471,SAFE,2931.25,0.0,0.0
1760267052.640,SAFE,2932.0,0.0,0.0
1760267052.810,SAFE,2932.0,0.0,0.0
1760267052.983,SAFE,2931.5,0.0,0.0
1760267053.151,SAFE,2931.5,0.0,0.0
1760267053.327,SAFE,2931.0,0.0,0.0
1760267053.500,SAFE,2929.0,0.0,0.0
1760267053.671,SAFE,2928.75,0.0,0.0
1760267053.847,SAFE,2929.0,0.0,0.0
1760267054.020,SAFE,2932.0,0.0,0.0
1760267054.188,SAFE,2932.0,0.0,0.0
1760267054.361,SAFE,2932.0,0.0,0.0
1760267054.535,SAFE,2936.5,0.0,0.0
1760267054.702,SAFE,2936.5,0.0,0.0
1760267054.871,SAFE,2933.5,0.0,0.0
1760267055.039,SAFE,2913.25,0.0,0.0
1760267055.207,SAFE,633.0,0.0,0.0
1760267055.373,SAFE,583.0,0.0,0.0
1760267055.544,SAFE,538.5,0.0,0.0
1760267055.712,SAFE,538.5,0.0,0.0
1760267055.882,SAFE,2912.75,0.0,0.0
1760267056.058,SAFE,2928.5,0.0,0.0
1760267056.229,SAFE,2928.5,0.0,0.0
1760267056.407,SAFE,2926.5,0.0,0.0
1760267056.577,SAFE,2923.5,0.0,0.0
1760267056.763,SAFE,2905.5,0.0,0.0
1760267056.941,SAFE,2874.5,0.0,0.0
1760267057.117,SAFE,2851.5,0.0,0.0
1760267057.293,SAFE,2844.0,0.0,0.0
1760267057.468,SAFE,2843.5,0.0,0.0
1760267057.647,SAFE,2843.5,0.0,0.0
1760267057.817,SAFE,2853.0,0.0,0.0
1760267057.995,SAFE,2869.5,0.0,0.0
1760267058.174,SAFE,2914.0,0.0,0.0
1760267058.349,SAFE,2971.5,0.0,0.0
1760267058.522,SAFE,3044.0,0.0,0.0
1760267058.690,SAFE,3084.5,0.0,0.0
1760267058.861,SAFE,3605.0,0.0,0.0
1760267059.034,SAFE,3858.5,0.0,0.0
1760267059.207,SAFE,3858.5,2.8,1.38
1760267059.383,WARN,3578.5,2.99,1.2
1760267059.563,WARN,3578.5,3.03,1.18
1760267059.737,SAFE,3706.0,3.04,1.22
1760267059.910,SAFE,3802.0,3.05,1.25
1760267060.075,SAFE,3896.0,3.05,1.28
1760267060.246,SAFE,3960.5,2.91,1.36
1760267060.419,SAFE,4102.5,3.12,1.31
1760267060.592,SAFE,4178.5,3.28,1.27
1760267060.768,SAFE,4888.0,3.32,1.47
1760267060.944,SAFE,5003.5,3.33,1.5
1760267061.112,SAFE,5124.5,3.33,1.54
1760267061.285,SAFE,5298.5,1.77,2.99
1760267061.458,SAFE,5476.0,1.69,3.24
1760267061.632,SAFE,5476.0,1.86,2.94
1760267061.810,WARN,2004.0,1.89,1.06
1760267061.985,WARN,2004.0,1.91,1.05
1760267062.159,WARN,2105.0,1.92,1.1
1760267062.332,WARN,2105.0,1.92,1.1
1760267062.505,SAFE,2105.0,0.58,3.63
1760267062.686,SAFE,2198.5,0.83,2.65
1760267062.869,SAFE,2978.5,1.15,2.59
1760267063.052,SAFE,3643.0,1.23,2.96
1760267063.233,SAFE,3643.0,1.25,2.91
1760267063.409,SAFE,3360.5,1.26,2.67
1760267063.587,SAFE,3261.5,1.26,2.59
1760267063.765,SAFE,2969.0,0.63,4.71
1760267063.943,SAFE,2714.5,0.16,6.0
1760267064.116,SAFE,2714.5,0.08,6.0
1760267064.298,SAFE,2577.5,0.11,6.0
1760267064.470,SAFE,2577.5,0.18,6.0
1760267064.646,SAFE,2504.0,0.2,6.0
1760267064.816,SAFE,2440.0,0.2,6.0
1760267064.980,SAFE,2373.5,0.2,6.0
1760267065.141,WARN,2310.5,2.34,0.99
1760267065.315,BRAKE,2310.5,3.93,0.59
1760267065.477,BRAKE,2677.5,4.2,0.64
1760267065.648,SAFE,2861.0,4.4,0.65
1760267065.808,SAFE,3134.5,2.37,1.32
1760267065.976,SAFE,5153.5,4.18,1.23
1760267066.142,WARN,5153.5,4.48,1.15
1760267066.313,WARN,4990.5,4.71,1.06
1760267066.481,WARN,4900.5,4.77,1.03
1760267066.647,WARN,4722.0,4.29,1.1
1760267066.812,WARN,4533.5,4.58,0.99
1760267066.978,WARN,4448.0,4.8,0.93
1760267067.138,WARN,4291.0,4.84,0.89
1760267067.304,SAFE,4092.0,1.47,2.78
1760267067.462,SAFE,3975.0,0.62,6.0
1760267067.628,SAFE,3752.5,0.41,6.0
1760267067.788,SAFE,3592.0,0.37,6.0
1760267067.951,SAFE,3437.0,0.36,6.0
1760267068.119,SAFE,3234.0,0.36,6.0
1760267068.288,SAFE,3060.0,0.36,6.0
1760267068.458,SAFE,2875.5,0.35,6.0
1760267068.637,SAFE,2664.0,0.35,6.0
1760267068.812,SAFE,2516.5,0.35,6.0
1760267068.988,SAFE,2349.5,0.35,6.0
1760267069.164,SAFE,2154.0,0.36,5.98
1760267069.342,SAFE,1942.5,0.36,5.4
1760267069.515,SAFE,1727.0,0.36,4.8
1760267069.692,BRAKE,1635.5,3.85,0.42
1760267069.854,BRAKE,1455.5,4.43,0.33
1760267070.025,BRAKE,1281.0,4.86,0.26
1760267070.190,BRAKE,1185.0,4.94,0.24
1760267070.353,BRAKE,1050.0,4.99,0.21
1760267070.524,BRAKE,947.0,5.0,0.19
1760267070.690,BRAKE,909.5,5.01,0.18
1760267070.851,BRAKE,891.5,1.25,0.71
1760267071.024,BRAKE,890.25,0.31,2.87
1760267071.188,SAFE,890.25,0.16,5.56
1760267071.350,SAFE,892.25,0.04,0.0
1760267071.518,SAFE,902.5,0.02,0.0
1760267071.681,SAFE,902.5,0.0,0.0
1760267071.847,SAFE,902.5,0.0,0.0
1760267072.012,SAFE,924.5,0.0,0.0
1760267072.178,SAFE,959.5,0.0,0.0
1760267072.341,SAFE,1013.0,0.0,0.0
1760267072.512,SAFE,1089.5,0.0,0.0
1760267072.680,SAFE,1160.0,0.0,0.0
1760267072.850,SAFE,1184.0,0.0,0.0
1760267073.024,SAFE,1216.0,0.0,0.0
1760267073.194,SAFE,1246.0,0.0,0.0
1760267073.360,SAFE,1250.0,0.0,0.0
1760267073.525,SAFE,1250.0,0.0,0.0
1760267073.691,SAFE,1246.0,0.0,0.0
1760267073.854,SAFE,1172.0,0.0,0.0
1760267074.022,SAFE,1048.5,0.0,0.0
1760267074.186,SAFE,929.0,0.0,0.0
1760267074.354,SAFE,869.5,0.0,0.0
1760267074.519,SAFE,842.0,0.0,0.0
1760267074.685,SAFE,842.0,0.1,6.0
