ts,state,d_min_mm,ttc_s
1760202976.935,SAFE,,
1760202977.124,SAFE,3817.0,6.0
1760202977.313,SAFE,3816.5,6.0
1760202977.498,SAFE,3816.25,6.0
1760202977.681,SAFE,3816.25,6.0
1760202977.859,SAFE,3816.75,6.0
1760202978.040,SAFE,3817.25,6.0
1760202978.218,SAFE,3817.25,6.0
1760202978.396,SAFE,3817.75,6.0
1760202978.577,SAFE,3816.75,6.0
1760202978.750,SAFE,3815.75,6.0
1760202978.928,SAFE,3815.75,6.0
1760202979.109,SAFE,3816.0,6.0
1760202979.277,SAFE,3816.25,6.0
1760202979.463,SAFE,3816.25,6.0
1760202979.641,BRAKE,296.0,0.59
1760202979.819,BRAKE,264.5,0.53
1760202980.000,BRAKE,250.0,0.5
1760202980.171,BRAKE,246.0,0.49
1760202980.349,BRAKE,244.25,0.49
1760202980.522,BRAKE,240.25,0.48
1760202980.703,BRAKE,240.25,0.48
1760202980.883,BRAKE,269.0,0.54
1760202981.057,BRAKE,287.0,0.57
1760202981.230,BRAKE,3817.75,6.0
1760202981.408,SAFE,3817.75,6.0
1760202981.586,SAFE,3817.75,6.0
1760202981.762,SAFE,3817.75,6.0
1760202981.940,SAFE,3817.0,6.0
1760202982.119,SAFE,3817.0,6.0
1760202982.299,SAFE,3817.0,6.0
1760202982.467,SAFE,3817.5,6.0
1760202982.646,SAFE,3818.5,6.0
1760202982.819,SAFE,3817.5,6.0
1760202983.000,SAFE,3818.5,6.0
1760202983.173,SAFE,3816.5,6.0
1760202983.351,SAFE,3818.75,6.0
1760202983.527,SAFE,3818.0,6.0
1760202983.707,SAFE,3818.0,6.0
1760202983.885,SAFE,3816.75,6.0
1760202984.061,SAFE,3816.75,6.0
1760202984.242,SAFE,3816.75,6.0
1760202984.420,SAFE,3817.5,6.0
1760202984.600,SAFE,3817.75,6.0
1760202984.781,SAFE,3817.5,6.0
1760202984.955,SAFE,3817.75,6.0
1760202985.135,SAFE,3817.75,6.0
