ts,state,d_min_mm,v_mps,ttc_s
1760261098.688,SAFE,,0.0,
1760261098.866,SAFE,3116.0,0.0,0.0
1760261099.052,SAFE,3116.125,0.0,0.0
1760261099.238,SAFE,3116.0,0.0,0.0
1760261099.418,SAFE,3113.75,0.0,0.0
1760261099.597,SAFE,3113.75,0.0,0.0
1760261099.772,SAFE,3117.25,0.0,0.0
1760261099.953,SAFE,3117.25,0.0,0.0
1760261100.131,SAFE,3117.0,0.0,0.0
1760261100.310,SAFE,3117.0,0.0,0.0
1760261100.485,SAFE,3117.25,0.0,0.0
1760261100.663,SAFE,3117.75,0.0,0.0
1760261100.839,SAFE,3117.75,0.0,0.0
1760261101.017,SAFE,3117.75,0.0,0.0
1760261101.195,SAFE,3118.0,0.0,0.0
1760261101.374,SAFE,3118.0,0.0,0.0
1760261101.547,SAFE,3118.25,0.0,0.0
1760261101.725,SAFE,3118.25,0.0,0.0
1760261101.905,SAFE,3118.25,0.0,0.0
1760261102.086,SAFE,3118.25,0.0,0.0
1760261102.267,SAFE,3117.25,0.0,0.0
1760261102.443,SAFE,3117.0,0.0,0.0
1760261102.618,SAFE,3117.0,0.0,0.0
1760261102.802,SAFE,3109.5,0.0,0.0
1760261102.975,SAFE,3090.0,0.0,0.0
1760261103.153,SAFE,3082.0,0.0,0.0
1760261103.331,SAFE,3082.0,0.0,0.0
1760261103.507,SAFE,3095.75,0.0,0.0
1760261103.683,SAFE,3125.5,0.0,0.0
1760261103.861,SAFE,3179.0,0.0,0.0
1760261104.034,SAFE,3235.0,0.0,0.0
1760261104.212,SAFE,3235.0,0.0,0.0
1760261104.391,BRAKE,3295.0,9.83,0.34
1760261104.558,BRAKE,3400.5,7.01,0.49
1760261104.732,BRAKE,3472.5,5.64,0.62
1760261104.905,SAFE,3472.5,5.24,0.66
1760261105.080,WARN,3555.0,4.77,0.75
1760261105.256,WARN,3713.5,4.53,0.82
1760261105.429,WARN,3713.5,4.47,0.83
1760261105.601,BRAKE,1499.5,3.22,0.47
1760261105.774,BRAKE,469.0,5.17,0.09
1760261105.946,BRAKE,403.5,6.13,0.07
1760261106.122,BRAKE,394.0,6.41,0.06
1760261106.295,BRAKE,390.5,6.73,0.06
1760261106.473,BRAKE,394.0,4.93,0.08
